search URL:,https://patents.google.com/?assignee=OMTHERA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2860512-C,Dpa-enriched compositions of omega-3 polyunsaturated fatty acids in free acid form ,"Omthera Pharmaceuticals, Inc., Chrysalis Pharma Ag, Timothy J. Maines, Bernardus N M MACHIELSE, Bharat M. Mehta, Gerald WISLER, Michael Davidson, Peter Ralph WOOD","Timothy J. Maines, Bernardus N M MACHIELSE, Bharat M. Mehta, Gerald WISLER, Michael Davidson, Peter Ralph WOOD",2012-01-06,2013-01-04,2019-02-05,2019-02-05,https://patents.google.com/patent/CA2860512C/en,
US-9492545-B2,Compositions of statins and omega-3 fatty acids ,Omthera Pharmaceuticals Inc.,"Bernardus Nicolaas Machielse, Timothy J. MAINES, Michael H. Davidson, Bharat M. Mehta",2012-05-07,2013-05-07,2016-11-15,2016-11-15,https://patents.google.com/patent/US9492545B2/en,https://patentimages.storage.googleapis.com/00/44/d8/d767b684a90fe7/US09492545-20161115-D00000.png
US-2013095179-A1,"Methods and compositions for treating, reversing, inhibiting or preventing resistance to antiplatelet therapy ","Omthera Pharmaceuticals, Inc.","Michael H. Davidson, Gerald L. Wisler",2011-09-15,2012-09-14,2013-04-18,,https://patents.google.com/patent/US20130095179A1/en,https://patentimages.storage.googleapis.com/54/2b/5f/cccf75fe6b6f83/US20130095179A1-20130418-D00001.png
US-2014316003-A1,Methods and compositions for treating or preventing attention deficit hyperactivity disorder ,"Omthera Pharmaceuticals, Inc.","Michael H. Davidson, Gerald L. Wisler",2011-10-21,2012-10-19,2014-10-23,,https://patents.google.com/patent/US20140316003A1/en,https://patentimages.storage.googleapis.com/7a/61/22/b03d4a6aaf2571/US20140316003A1-20141023-D00001.png
CA-2975549-C,Millicapsule formulations comprising polyunsaturated free fatty acids ,"Omthera Pharmaceuticals Inc, Hironori Kubota, Etienne Thierry Charles Rogeau, Toru AMEMIYA, Julien Georges Meissonnier, Anders Gillis Holmen, Andreas Radevik, Hans Carlsson, Bengt Staffan Schantz","Hironori Kubota, Etienne Thierry Charles Rogeau, Toru AMEMIYA, Julien Georges Meissonnier, Anders Gillis Holmen, Andreas Radevik, Hans Carlsson, Bengt Staffan Schantz",2015-02-23,2016-02-19,2019-04-02,2019-04-02,https://patents.google.com/patent/CA2975549C/en,
AU-2013201793-B2,DPA-enriched compositions of omega-3 polyunsaturated fatty acids in free acid form ,"Chrysalis Pharma Ag, Omthera Pharmaceuticals, Inc.","Michael Davidson, Bernardus N. M. Machielse, Timothy Maines, Bharat M. Mehta, Gerald WISLER, Peter Ralph WOOD",2012-01-06,2013-01-04,2015-03-19,2015-03-19,https://patents.google.com/patent/AU2013201793B2/en,
WO-2016073335-A1,Methods of treatment ,Omthera Pharmaceuticals Inc.,"Karl Erik Goeran GANNEDAHL, Jan Peter Mikael OSCARSSON, Robert Eugene WARD",2014-11-05,2015-11-02,2016-05-12,,https://patents.google.com/patent/WO2016073335A1/en,
WO-2016069446-A1,Methods for modulating plasma levels of lipoproteins ,Omthera Pharmaceuticals Inc,"Michael Harvey DAVIDSON, Douglas Fitzgerald KLING",2014-10-28,2015-10-26,2016-05-06,,https://patents.google.com/patent/WO2016069446A1/en,
WO-2016130417-A1,Omega-3 fatty acid prodrug compounds and uses thereof ,Omthera Pharmaceuticals Inc,Lin Zhi,2015-02-11,2016-02-05,2016-08-18,,https://patents.google.com/patent/WO2016130417A1/en,
US-2018044574-A1,Ultra-high-molecular-weight polyolefin proppants ,"Repsol, S.A.","Manuel López Reyes, Ricardo César BEZERRA DE MELO, Jacobo CANAL VILA, Itziar MARTÍNEZ CEBRIÁN, Richard Llewellyn LOLLEY BOWEN, Ana Isabel MONTENEGRO GARCÍA",2015-02-26,2016-02-25,2018-02-15,,https://patents.google.com/patent/US20180044574A1/en,
NZ-732235-A,Dpa-enriched compositions of omega-3 polyunsaturated fatty acids in free acid form ,"Omthera Pharmaceuticals Inc, Chrysalis Pharma Ag","Timothy Maines, Bernardus N M Machielse, Bharat M Mehta, Gerald Wisler, Michael Davidson, Peter Ralph Wood",2012-01-06,2013-01-04,2018-08-31,,https://patents.google.com/patent/NZ732235A/en,
AU-2015203404-A1,DPA-enriched compositions of omega-3 polyunsaturated fatty acids in free acid form ,"Chrysalis Pharma Ag, Omthera Pharmaceuticals, Inc.","Michael Davidson, Bernardus N.M. Machielse, Timothy Maines, Bharat M. Mehta, Gerald WISLER, Peter Ralph WOOD",2012-01-06,2015-06-19,2015-07-16,,https://patents.google.com/patent/AU2015203404A1/en,
CR-20140350-A,Dpa enriched compositions of omega-3 polyunsaturated fatty acids in free acid form ,"Omthera Pharmaceuticals Inc, Chrysalis Pharma Ag","Timothy J Maines, Bernardus N M Machielse, Bharat M Mehta, Gerald Wisler, Michael Davidson, Peter Ralph Wood",2012-01-06,2014-07-22,2015-02-23,,https://patents.google.com/patent/CR20140350A/en,
