search URL:,https://patents.google.com/?assignee=ONCOMED+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2010245011-B2,Method for making heteromultimeric molecules ,"Oncomed Pharmaceuticals, Inc.","Austin L. Gurney, Aaron Ken Sato",2009-04-27,2010-04-27,2015-09-03,2015-09-03,https://patents.google.com/patent/AU2010245011B2/en,
US-7939263-B2,Compositions and methods for treating and diagnosing cancer ,"The Regents Of The University Of Michigan, Oncomed Pharmaceuticals, Inc.","Michael F. Clarke, Xinhao Wang, John A. Lewicki, Austin L. Gurney",2005-06-13,2009-07-30,2011-05-10,2011-05-10,https://patents.google.com/patent/US7939263B2/en,https://patentimages.storage.googleapis.com/f6/21/14/585d1ecf5c4ba5/US07939263-20110510-D00001.png
US-7723112-B2,Compositions and methods for treating and diagnosing cancer ,"The Regents Of The University Of Michigan, Oncomed Pharmaceuticals, Inc.","Michael F. Clarke, Tim Hoey, Xinhao Wang, Scott Dylla, Austin Gurney, Piero Dalerba, Mark Prince, Grace Chen",2005-10-31,2006-10-31,2010-05-25,2010-05-25,https://patents.google.com/patent/US7723112B2/en,https://patentimages.storage.googleapis.com/8d/10/16/27d218e4ac9351/US07723112-20100525-D00003.png
AU-2007305443-B2,Compositions and methods for diagnosing and treating cancer ,"Oncomed Pharmaceuticals, Inc.","Fumiko Axelrod, Austin Gurney, Timothy Hoey, Sanjeev Satyal",2006-09-29,2007-09-28,2012-08-23,2012-08-23,https://patents.google.com/patent/AU2007305443B2/en,
US-8945547-B2,Notch1 receptor antibodies and methods of treatment ,"Oncomed Pharmaceuticals, Inc.","Austin L. Gurney, Timothy Charles Hoey, Maureen Fitch Bruhns, Fumiko Takada Axelrod",2008-07-08,2013-03-14,2015-02-03,2015-02-03,https://patents.google.com/patent/US8945547B2/en,https://patentimages.storage.googleapis.com/47/99/af/c19dc53263fb82/US08945547-20150203-D00001.png
US-9610348-B2,Compositions and methods for treating and diagnosing cancer ,"Oncomed Pharmaceuticals, Inc",Austin L. Gurney,2007-07-02,2014-10-02,2017-04-04,2017-04-04,https://patents.google.com/patent/US9610348B2/en,https://patentimages.storage.googleapis.com/12/7c/df/bbafe2eb54c6cf/US09610348-20170404-D00001.png
EP-2032166-B1,Compositions and methods for diagnosing and treating cancer ,"OncoMed Pharmaceuticals, Inc.","John Lewicki, Austin Gurney, Timothy Hoey, Wan-Ching Yen, Sanjeev Satyal",2006-06-13,2007-05-31,2013-04-10,2013-04-10,https://patents.google.com/patent/EP2032166B1/en,https://patentimages.storage.googleapis.com/0c/6d/05/f8fb3b8bb9c844/imgf0001.png
US-9573998-B2,Antibodies against human FZD5 and FZD8 ,"Oncomed Pharmaceuticals, Inc.","Austin L. Gurney, Aaron Ken Sato, Fumiko Takada Axelrod, Timothy Charles Hoey, Sanjeev H. Satyal, Satyajit Sujit Kumar Mitra",2008-09-26,2015-01-26,2017-02-21,2017-02-21,https://patents.google.com/patent/US9573998B2/en,https://patentimages.storage.googleapis.com/ce/4c/6f/0aff7fd5b7aece/US09573998-20170221-D00001.png
US-9206256-B2,DDR1-binding agents and methods of use thereof ,"Oncomed Pharmaceuticals, Inc.","Austin L. Gurney, Edward Thein Htun van der Horst, Sanjeev H. Satyal",2008-08-12,2014-01-06,2015-12-08,2015-12-08,https://patents.google.com/patent/US9206256B2/en,https://patentimages.storage.googleapis.com/eb/06/f5/77a095e63c8a34/US09206256-20151208-D00001.png
US-9574009-B2,Polynucleotides encoding VEGF/DLL4 binding agents ,"Oncomed Pharmaceuticals, Inc.","Austin L. Gurney, Aaron Ken Sato, Christopher John Bond",2011-09-23,2016-05-24,2017-02-21,2017-02-21,https://patents.google.com/patent/US9574009B2/en,https://patentimages.storage.googleapis.com/4a/4b/3e/f18e53cf88e95c/US09574009-20170221-D00001.png
