search URL:,https://patents.google.com/?assignee=ONCONOVA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2439288-C,"Method for protecting cells and tissues from ionizing radiation toxicity with .alpha.,.beta. unsaturated aryl sulfones ","Temple University Of The Commonwealth System Of Higher Education, Premkumar E. Reddy, Ramana M.V. Reddy, Stephen C. Cosenza, Lawrence Helson, Onconova Therapeutics, Inc.","Premkumar E. Reddy, Ramana M.V. Reddy, Stephen C. Cosenza, Lawrence Helson",2001-02-28,2002-02-28,2011-08-09,2011-08-09,https://patents.google.com/patent/CA2439288C/en,
AU-2003213660-C1,"Amino-substituted (E)-2,6-dialkoxystyryl 4-substituted benzylsulfones for treating proliferative disorders ","Onconova Therapeutics, Inc., Temple University Of The Commonwealth System Of Higher Education","Stanley C. Bell, Premkumar E. Reddy, Ramana M. V. Reddy",2002-02-28,2003-02-28,2010-10-28,2010-10-28,https://patents.google.com/patent/AU2003213660C1/en,
AU-2002305942-A1,"Method for protecting cells and tissues from ionizing radiation toxicity with Alpha, Beta unsaturated aryl sulfones ","Onconova Therapeutics, Inc., Temple University - Of The Commonwealth System Of Higher Education","Stephen C. Cosenza, Lawrence Helson, Premkumar E. Reddy, Ramana M.V. Reddy",2001-02-28,2002-02-28,2003-03-13,,https://patents.google.com/patent/AU2002305942A1/en,
EP-1379508-B9,N-(aryl)-2-arylethenesulfonamides and therapeutic uses thereof ,"Temple University - Of The Commonwealth System of Higher Education, Onconova Therapeutics, Inc.","E. Premkumar Reddy, M. V. Ramana Reddy, Stanley C. Bell",2001-02-28,2002-02-28,2011-02-09,2011-02-09,https://patents.google.com/patent/EP1379508B9/en,https://patentimages.storage.googleapis.com/be/43/8a/1d1d9f6726341e/imgf0001.png
CA-2559187-C,Substituted phenoxy- and phenylthio- derivatives for treating proliferative disorders ,"Temple University - Of The Commonwealth System Of Higher Education, E. Premkumar Reddy, M. V. Ramana Reddy, Stanley C. Bell, Onconova Therapeutics Inc.","E. Premkumar Reddy, M. V. Ramana Reddy, Stanley C. Bell",2004-03-16,2005-03-15,2014-02-11,2014-02-11,https://patents.google.com/patent/CA2559187C/en,
US-7161031-B2,Amino-substituted sulfonanilides and derivatives thereof for treating proliferative disorders ,"Temple University - Of The Commonwealth System Of Higher Education, Onconova Therapeutics, Inc.","E. Premkumar Reddy, M.V. Ramana Reddy, Stanley C. Bell",2002-02-28,2003-02-28,2007-01-09,2007-01-09,https://patents.google.com/patent/US7161031B2/en,
EP-1689706-B1,"Alpha, beta-unsaturated sulfoxides for treating proliferative disorders ","Temple University - Of The Commonwealth System of Higher Education, Onconova Therapeutics, Inc.","Premkumar E. Reddy, Ramana M. V. Reddy, Stanley C. Bell",2003-11-14,2004-11-08,2017-01-11,2017-01-11,https://patents.google.com/patent/EP1689706B1/en,
AU-2005265412-B2,"Formulations for parenteral administration of (e)-2,6-dialkoxystyryl 4-substituted benzylsulfones ","Onconova Therapeutics, Inc.","Staneley C. Bell, Manoj Maniar, Albert Wong",2004-07-19,2005-07-15,2010-09-02,2010-09-02,https://patents.google.com/patent/AU2005265412B2/en,
US-8476320-B2,"Formulations for parenteral administration of amino-substituted (E)-2, 6-dialkoxystyryl 4-substituted benzylsulfones ","Onconova Therapeutics, Inc","Stanley C. Bell, Manoj Maniar",2007-01-16,2008-01-16,2013-07-02,2013-07-02,https://patents.google.com/patent/US8476320B2/en,https://patentimages.storage.googleapis.com/33/6f/23/d3113f45e12e35/US08476320-20130702-D00001.png
US-7094903-B2,Processes for the preparation of substituted isoxazoles and 2-isoxazolines ,"Onconova Therapeutics, Inc.","M. V. Ramana Reddy, Stanley C. Bell",2001-10-12,2004-10-07,2006-08-22,2006-08-22,https://patents.google.com/patent/US7094903B2/en,
