search URL:,https://patents.google.com/?assignee=OPHTHOTECH+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8187597-B2,Combination therapy for the treatment of ocular neovascular disorders ,Ophthotech Corporation,"David Shima, Perry Calias, Anthony P. Adamis",2003-08-27,2009-09-22,2012-05-29,2012-05-29,https://patents.google.com/patent/US8187597B2/en,https://patentimages.storage.googleapis.com/b0/53/de/a2d56b56fbe84b/US08187597-20120529-D00001.png
US-2012100136-A1,Methods for treating or preventing ophthalmological diseases ,Ophthotech Corporation,"Samir Patel, Harvey Masonson",2009-05-01,2011-10-28,2012-04-26,,https://patents.google.com/patent/US20120100136A1/en,https://patentimages.storage.googleapis.com/ce/d9/b4/eec1a8745bfcb0/US20120100136A1-20120426-D00001.png
US-2015182623-A1,Compositions Comprising an Anti-PDGF Aptamer and a VEGF Antagonist ,Ophthotech Corporation,"Richard Everett, Byeong Seon Chang",2012-06-01,2014-11-26,2015-07-02,,https://patents.google.com/patent/US20150182623A1/en,https://patentimages.storage.googleapis.com/6d/d1/4d/117cac4cf7deac/US20150182623A1-20150702-D00001.png
US-2011110932-A1,Combination treatment for ocular diseases ,Ophthotech Corp.,Samir Patel,2009-05-07,2010-04-27,2011-05-12,,https://patents.google.com/patent/US20110110932A1/en,https://patentimages.storage.googleapis.com/23/68/c2/732a983171af91/US20110110932A1-20110512-D00001.png
US-2015157709-A1,Compositions Comprising an Anti-PDGF Aptamer and a VEGF Antagonist ,Ophthotech Corporation,"Richard Everett, Byeong Seon Chang",2012-06-01,2014-10-23,2015-06-11,,https://patents.google.com/patent/US20150157709A1/en,https://patentimages.storage.googleapis.com/39/58/ef/35a28e378dab4d/US20150157709A1-20150611-D00001.png
US-2016038589-A1,Methods for treating or preventing ophthalmological conditions ,Ophthotech Corporation,Samir Patel,2014-08-11,2015-08-07,2016-02-11,,https://patents.google.com/patent/US20160038589A1/en,https://patentimages.storage.googleapis.com/44/17/d5/1c579ca453f554/US20160038589A1-20160211-D00001.png
US-2015017163-A1,Methods for Treating or Preventing Ophthalmological Conditions ,Ophthotech Corporation,"Samir Patel, Harvey Masonson, David Guyer",2013-07-12,2014-07-11,2015-01-15,,https://patents.google.com/patent/US20150017163A1/en,https://patentimages.storage.googleapis.com/70/fd/3d/16fdeb9a9807f8/US20150017163A1-20150115-D00001.png
AU-2012265582-B2,Combination therapy for the treatment of ocular neovascular disorders ,Ophthotech Corporation,"Anthony P. Adamis, Perry Calias, David Shima",2004-03-26,2012-12-06,2015-04-16,2015-04-16,https://patents.google.com/patent/AU2012265582B2/en,
WO-2019040397-A1,A method for treating or preventing neovascular age-related macular degeneration ,Ophthotech Corporation,Kourous REZAEI,2017-08-21,2018-08-21,2019-02-28,,https://patents.google.com/patent/WO2019040397A1/en,
AU-2015204293-A1,Combination therapy for the treatment of ocular neovascular disorders ,Ophthotech Corporation,"Anthony P. Adamis, Perry Calias, David Shima",2004-03-26,2015-07-14,2015-08-06,,https://patents.google.com/patent/AU2015204293A1/en,
AR-103941-A2,Combination therapy for treatment of ocular neovascular disorders ,Ophthotech Corp,"P Adamis Antonhy, Calias Perry, T Shima David",2003-08-27,2016-03-16,2017-06-14,,https://patents.google.com/patent/AR103941A2/en,
WO-2015027219-A2,Apparatus and methods useful for dispensing one or more substances from a single container ,Ophthotech Corporation,"Richard Lewis BECKMAN, Douglas K. KOLLMORGEN, Keith WESTBY",2013-08-23,2014-08-22,2015-02-26,,https://patents.google.com/patent/WO2015027219A2/en,
WO-2019099786-A1,A method for treating or preventing idiopathic polypoidal choroidal vasculopathy (ipcv) ,Ophthotech Corporation,Kourous REZAEI,2017-11-16,2018-11-16,2019-05-23,,https://patents.google.com/patent/WO2019099786A1/en,
