search URL:,https://patents.google.com/?assignee=OPTIMER+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8420676-B2,Oxazolidinone derivatives ,Dong-A Pharmaceuticals Co. Ltd.,"Jae Keol Rhee, Weon Bin Im, Chong Hwan Cho, Sung Hak Choi, Tae Ho Lee",2003-12-18,2008-09-16,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420676B2/en,
US-8728796-B2,Tiacumicin production ,"Optimer Pharmaceuticals, Inc.","Youe-Kong Shue, Chi-Jen Frank Du, Ming-His Chiou, Mei-Chiao Wu, Yuan-Ting Chen, Franklin W. Okumu, Jonathan James Duffield",2002-07-29,2012-06-12,2014-05-20,2014-05-20,https://patents.google.com/patent/US8728796B2/en,https://patentimages.storage.googleapis.com/88/21/f9/98bfe8407ab156/US08728796-20140520-D00001.png
US-8604209-B2,Methods for preparing oxazolidinones and compositions containing them ,"Trius Therapeutics, Inc.","Jacqueline A Ware, Carrie A Costello, Robert J. Duguid, Douglas Phillipson",2008-10-10,2009-10-09,2013-12-10,2013-12-10,https://patents.google.com/patent/US8604209B2/en,
US-8343936-B2,Antibacterial agents ,"Optimer Pharmaceuticals, Inc.","Jonathan Duffield, Youe-Kong Shue, Yoshitaka Ichikawa, Chan-Kou Hwang",2003-03-10,2011-07-26,2013-01-01,2013-01-01,https://patents.google.com/patent/US8343936B2/en,
US-2013079323-A1,Gyrase inhibitors ,"Trius Therapeutics, Inc.","Christopher J. Creighton, Leslie William Tari, Zhiyong Chen, Mark Hilgers, Thanh To Lam, Xiaoming Li, Michael Trzoss, Junhu Zhang, John Finn, Daniel Bensen",2009-09-11,2010-09-10,2013-03-28,,https://patents.google.com/patent/US20130079323A1/en,
US-8859510-B2,"Macrocyclic polymorphs, compositions comprising such polymorphs, and methods of use and manufacture thereof ","Optimer Pharmaceuticals, Inc.","Yu-Hung Chiu, Tessie Mary Che, Alex Romero, Yoshi Ichikawa, Youe-Kong Shue",2007-01-22,2008-01-22,2014-10-14,2014-10-14,https://patents.google.com/patent/US8859510B2/en,https://patentimages.storage.googleapis.com/ca/18/3a/4f6312a8174c4a/US08859510-20141014-D00001.png
US-8426389-B2,Crystalline form of R)-3-(4-(2-(2-methyltetrazol-5-yl)pyridin-5-yl)-3-fluorophenyl)-5-hydroxymethyl oxazolidin-2-one dihydrogen phosphate ,"Trius Therapeutics, Inc.","Katharina Reichenbächer, Robert J. Duguid, Jacqueline A. Ware, Douglas Phillipson",2009-02-03,2010-02-03,2013-04-23,2013-04-23,https://patents.google.com/patent/US8426389B2/en,https://patentimages.storage.googleapis.com/5c/85/b5/9274ca4582f2a3/US08426389-20130423-D00001.png
CA-2596387-C,18-membered macrocycles and analogs thereof ,"Optimer Pharmaceuticals, Inc., Youe-Kong Shue, Chan-Kou Hwang, Yu-Hung Chiu, Alex Romero, Farah Babakhani, Pamela Sears, Franklin Okumu, Optimer Pharmaceuticals Llc, Merck Sharp & Dohme Corp.","Youe-Kong Shue, Chan-Kou Hwang, Yu-Hung Chiu, Alex Romero, Farah Babakhani, Pamela Sears, Franklin Okumu",2005-01-31,2005-01-31,2012-11-20,2012-11-20,https://patents.google.com/patent/CA2596387C/en,
CA-2676003-C,Compositions of stable tiacumicins ,"Optimer Pharmaceuticals, Inc., Suketu Sanghvi, Mark Roach, Joseph F. Zhou, Ping He, Michael Mittleberg, Optimer Pharmaceuticals Llc, Merck Sharp & Dohme Corp.","Suketu Sanghvi, Mark Roach, Joseph F. Zhou, Ping He, Michael Mittleberg",2007-01-19,2008-01-17,2012-04-10,2012-04-10,https://patents.google.com/patent/CA2676003C/en,
CA-2566687-C,The use of tiacumicin b in the treatment of antibiotic resistant staphylococcus or vancomycin-resistant enterococci infections ,"Optimer Pharmaceuticals, Inc., Youe-Kong Shue, Farah Kondori Babakhani, Franklin W. Okumu, Pamela Suzanne Sears, Starr Louise Miller-Shangle, Robert Brian Walsh, Optimer Pharmaceuticals Llc, Merck Sharp & Dohme Corp.","Youe-Kong Shue, Farah Kondori Babakhani, Franklin W. Okumu, Pamela Suzanne Sears, Starr Louise Miller-Shangle, Robert Brian Walsh",2004-05-14,2005-05-13,2012-07-24,2012-07-24,https://patents.google.com/patent/CA2566687C/en,
