search URL:,https://patents.google.com/?assignee=OREXIGEN+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7462626-B2,Compositions for affecting weight loss ,"Orexigen Therapeutics, Inc.","Eckard Weber, Michael Alexander Cowley",2003-04-29,2006-02-17,2008-12-09,2008-12-09,https://patents.google.com/patent/US7462626B2/en,
US-7425571-B2,Method for treating obesity ,"Orexigen Therapeutics, Inc.","Kishore M. Gadde, K. Ranga R. Krishnan",2002-05-17,2004-04-23,2008-09-16,2008-09-16,https://patents.google.com/patent/US7425571B2/en,https://patentimages.storage.googleapis.com/US7425571B2/US07425571-20080916-D00001.png
US-8318788-B2,Layered pharmaceutical formulations ,"Orexigen Therapeutics, Inc.","Anthony McKinney, Gary Tollefson, Eckard Weber, Rick Soltero",2006-11-09,2011-12-19,2012-11-27,2012-11-27,https://patents.google.com/patent/US8318788B2/en,https://patentimages.storage.googleapis.com/77/3c/e1/5df39576389d40/US08318788-20121127-D00001.png
US-9125868-B2,Methods for administering weight loss medications ,"Orexigen Therapeutics, Inc.","Anthony A. McKinney, Gary Tollefson, Eckard Weber, Rick Soltero",2006-11-09,2014-03-20,2015-09-08,2015-09-08,https://patents.google.com/patent/US9125868B2/en,https://patentimages.storage.googleapis.com/b6/97/99/e261fd7863df07/US09125868-20150908-D00001.png
US-7429580-B2,Compositions of an anticonvulsant and an antipsychotic drug and methods of using the same for affecting weight loss ,"Orexigen Therapeutics, Inc., Duke University","Kishore M. Gadde, K. Ranga R. Krishnan",2004-01-13,2005-01-11,2008-09-30,2008-09-30,https://patents.google.com/patent/US7429580B2/en,
US-2006058293-A1,Combination of bupropion and a second compound for affecting weight loss ,"Eckard Weber, Cowley Michael A","Eckard Weber, Michael Cowley",2004-08-03,2005-08-01,2006-03-16,,https://patents.google.com/patent/US20060058293A1/en,
US-2011028505-A1,Compositions and methods for reducing food cravings ,"Orexigen Therapeutics, Inc.","Anthony A. McKinney, Gary Tollefson, Michael A. Cowley",2005-11-23,2010-10-12,2011-02-03,,https://patents.google.com/patent/US20110028505A1/en,https://patentimages.storage.googleapis.com/3d/27/18/d800264fc10b7e/US20110028505A1-20110203-D00001.png
US-2005026977-A1,Zonisamide use in eating disorders ,Jennings Julianne E.,Julianne Jennings,2002-05-06,2004-09-02,2005-02-03,,https://patents.google.com/patent/US20050026977A1/en,
ES-2402522-T3,Compositions and methods for increasing insulin sensitivity ,"Orexigen Therapeutics, Inc.","Michael A. Cowley, Anthony A. Mckinney, Gary Tollefson",2005-11-22,2006-11-20,2013-05-06,2013-05-06,https://patents.google.com/patent/ES2402522T3/en,
US-2007185084-A1,Compositions of an anticonvulsant and methods of using the same for reversing weight gain ,"Orexigen Therapeutics, Inc.","Anthony McKinney, Gary Tollefson, Michael Cowley",2006-01-12,2007-01-11,2007-08-09,,https://patents.google.com/patent/US20070185084A1/en,https://patentimages.storage.googleapis.com/ed/52/e1/c3478124529b11/US20070185084A1-20070809-D00001.png
US-2005215552-A1,Method for treating obesity ,"Gadde Kishore M, Krishnan K Ranga R","Kishore Gadde, K. Ranga Krishnan",2002-05-17,2005-02-15,2005-09-29,,https://patents.google.com/patent/US20050215552A1/en,https://patentimages.storage.googleapis.com/c5/b5/61/8ee8732cc9e6b7/US20050215552A1-20050929-D00001.png
US-9107837-B2,Sustained release formulation of naltrexone ,"Orexigen Therapeutics, Inc.","Anthony A. McKinney, Gary D. Tollefson, Richard Soltero, Thea Elise Dunzo",2006-06-05,2014-11-26,2015-08-18,2015-08-18,https://patents.google.com/patent/US9107837B2/en,https://patentimages.storage.googleapis.com/f9/6b/50/4ab04c864306bf/US09107837-20150818-D00000.png
US-2006276412-A1,Methods and compositions for managing psychotic disorders ,Gary Tollefson,Gary Tollefson,2005-05-31,2006-05-25,2006-12-07,,https://patents.google.com/patent/US20060276412A1/en,
WO-2005107806-A1,Compositions for affecting weight loss ,"Orexigen Therapeutics, Inc.","Eckard Weber, Michael Alexander Cowley",2004-04-21,2005-04-19,2005-11-17,,https://patents.google.com/patent/WO2005107806A1/en,
EP-1954241-B1,Sustained-release formulation of zonisamide ,"Orexigen Therapeutics, Inc.","Anthony A. Mckinney, Gary Tollefson, Simon Yau, Ron Vladyka, Rick Soltero",2005-11-28,2006-11-27,2012-02-29,2012-02-29,https://patents.google.com/patent/EP1954241B1/en,https://patentimages.storage.googleapis.com/b4/f0/ed/741fb425c3ed3f/imgf0001.png
US-2007117827-A1,Compositions for affecting weight loss ,"Gary Tollefson, Mckinney Anthony, Higgin Michelle S, Mccall John M","Gary Tollefson, Anthony McKinney, Michelle Higgin, John McCall",2005-07-27,2006-07-24,2007-05-24,,https://patents.google.com/patent/US20070117827A1/en,
