search URL:,https://patents.google.com/?assignee=OSIRIS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2296704-C,Cardiac muscle regeneration using mesenchymal stem cells ,"Osiris Therapeutics, Inc., Mark F. Pittenger, Stephen L. Gordon, Alastair Morgan Mackay, Mesoblast International Sarl","Mark F. Pittenger, Stephen L. Gordon, Alastair Morgan Mackay",1997-07-14,1998-07-14,2010-10-19,2010-10-19,https://patents.google.com/patent/CA2296704C/en,
AU-731468-B2,Regeneration and augmentation of bone using mesenchymal stem cells ,Mesoblast International Sarl,"Scott P Bruder, Sudha Kadiyala",1996-04-19,1997-04-17,2001-03-29,2001-03-29,https://patents.google.com/patent/AU731468B2/en,
AU-719098-B2,Lineage-directed induction of human mesenchymal stem cell differentiation ,"Case Western Reserve University, Osiris Therapeutics","Scott P Bruder, Arnold I. Caplan, Stephen E Haynesworth",1995-01-24,1996-01-05,2000-05-04,2000-05-04,https://patents.google.com/patent/AU719098B2/en,
AU-749675-B2,Uses for human non-autologous mesenchymal stem cells ,Mesoblast International Sarl,"Scott P Bruder, Daniel R. Marshak, Kevin R. Mcintosh, Joseph D. Mosca",1998-03-13,1999-03-12,2002-07-04,2002-07-04,https://patents.google.com/patent/AU749675B2/en,
CA-2262014-C,Adipogenic differentiation of human mesenchymal stem cells ,"Osiris Therapeutics, Inc., Mark F. Pittenger",Mark F. Pittenger,1996-07-30,1997-07-21,2010-09-14,2010-09-14,https://patents.google.com/patent/CA2262014C/en,
AU-755888-B2,Mesenchymal stem cells for prevention and treatment of immune responses in transplantation ,Mesoblast International Sarl,"Elena N. Klyushnenkova, Kevin R. Mcintosh, Joseph D. Mosca",1998-03-18,1999-03-12,2003-01-02,2003-01-02,https://patents.google.com/patent/AU755888B2/en,
US-6010696-A,Enhancing hematopoietic progenitor cell engraftment using mesenchymal stem cells ,"Osiris Therapeutics, Inc.","Arnold I. Caplan, Stephen E. Haynesworth, Stanton L. Gerson, Hillard M. Lazarus",1990-11-16,1998-03-25,2000-01-04,2000-01-04,https://patents.google.com/patent/US6010696A/en,
US-9694035-B2,Mesenchymal stem cells and uses therefor ,Mesoblast International Sarl,"Sudeepta Aggarwal, Mark F. Pittenger, Timothy Varney",2004-03-22,2014-07-17,2017-07-04,2017-07-04,https://patents.google.com/patent/US9694035B2/en,https://patentimages.storage.googleapis.com/d9/6f/91/1b48cbfbd75866/US09694035-20170704-D00001.png
US-6030836-A,Vitro maintenance of hematopoietic stem cells ,"Osiris Therapeutics, Inc.","Mark A. Thiede, Mark F. Pittenger, Gabriel Mbalaviele",1998-06-08,1999-06-08,2000-02-29,2000-02-29,https://patents.google.com/patent/US6030836A/en,https://patentimages.storage.googleapis.com/8a/c8/20/c0dd480c954659/US6030836-drawings-page-2.png
US-5811094-A,Connective tissue regeneration using human mesenchymal stem cell preparations ,"Osiris Therapeutics, Inc.","Arnold I. Caplan, Stephen E. Haynesworth",1990-11-16,1995-04-11,1998-09-22,1998-09-22,https://patents.google.com/patent/US5811094A/en,https://patentimages.storage.googleapis.com/8a/54/da/d2046e42ea397a/US5811094-drawings-page-2.png
US-6685936-B2,Suppressor cells induced by culture with mesenchymal stem cells for treatment of immune responses in transplantation ,"Osiris Therapeutics, Inc.","Kevin McIntosh, Elena Klyushnenkova",1999-10-12,1999-10-12,2004-02-03,2004-02-03,https://patents.google.com/patent/US6685936B2/en,https://patentimages.storage.googleapis.com/65/12/43/0a194552d252f4/US6685936-drawings-page-2.png
EP-1028737-B1,Human mesenchymal stem cells from peripheral blood ,"Osiris Therapeutics, Inc.","Mireya Fernandez, José J. MINGUELL",1997-07-03,1998-07-01,2007-04-04,2007-04-04,https://patents.google.com/patent/EP1028737B1/en,https://patentimages.storage.googleapis.com/e5/b0/be/1913ea0dd53c7c/imgf0001.png
US-5733542-A,Enhancing bone marrow engraftment using MSCS ,"Haynesworth; Stephen E., Caplan; Arnold I., Gerson; Stanton L., Lazarus; Hillard M.","Stephen E. Haynesworth, Arnold I. Caplan, Stanton L. Gerson, Hillard M. Lazarus",1990-11-16,1995-01-24,1998-03-31,1998-03-31,https://patents.google.com/patent/US5733542A/en,
US-5197985-A,Method for enhancing the implantation and differentiation of marrow-derived mesenchymal cells ,"Caplan Arnold I, Haynesworth Stephen E","Arnold I. Caplan, Stephen E. Haynesworth",1990-11-16,1990-11-16,1993-03-30,1993-03-30,https://patents.google.com/patent/US5197985A/en,https://patentimages.storage.googleapis.com/79/72/bc/fcd718e4c657d0/US5197985-drawings-page-2.png
US-6174333-B1,Biomatrix for soft tissue regeneration using mesenchymal stem cells ,"Osiris Therapeutics, Inc., Case Western Reserve University","Sudhakar Kadiyala, Arnold I. Caplan, David J. Fink, Randall G. Young",1994-06-06,1998-12-29,2001-01-16,2001-01-16,https://patents.google.com/patent/US6174333B1/en,https://patentimages.storage.googleapis.com/81/21/a7/4f4a3f41ac3b9c/US6174333-drawings-page-2.png
US-5855619-A,Biomatrix for soft tissue regeneration ,Case Western Reserve University,"Arnold I. Caplan, David J. Fink, Randell G. Young",1994-06-06,1996-09-30,1999-01-05,1999-01-05,https://patents.google.com/patent/US5855619A/en,https://patentimages.storage.googleapis.com/a1/8c/fa/74ebda13797c5a/US5855619-drawings-page-2.png
