search URL:,https://patents.google.com/?assignee=OTONOMY+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10272034-B2,Auris formulations for treating otic diseases and conditions ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Fabrice Piu, Qiang Ye, Luis A. Dellamary, Carl LEBEL, Jeffrey P. Harris, Benedikt VOLLRATH, Sergio G. Duron, Michael Christopher SCAIFE",2008-04-21,2015-06-19,2019-04-30,2019-04-30,https://patents.google.com/patent/US10272034B2/en,https://patentimages.storage.googleapis.com/11/00/b7/82fa4021373e0c/US10272034-20190430-D00001.png
US-8030297-B2,Controlled release corticosteroid compositions and methods for the treatment of OTIC disorders ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Jeffrey P. Harris, Fabrice Piu, Carl LEBEL, Qiang Ye, Luis A. Dellamary",2008-05-14,2009-05-14,2011-10-04,2011-10-04,https://patents.google.com/patent/US8030297B2/en,https://patentimages.storage.googleapis.com/ac/19/9a/01c063ac38c42f/US08030297-20111004-D00001.png
US-10092580-B2,Controlled-release otic structure modulating and innate immune system modulating compositions and methods for the treatment of otic disorders ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Benedikt VOLLRATH, Sergio G. Duron, Carl LEBEL, Fabrice Piu, Qiang Ye, Luis A. Dellamary, Andrew M. Trammel, Michael Christopher SCAIFE, Jeffrey P. Harris",2008-07-21,2009-07-20,2018-10-09,2018-10-09,https://patents.google.com/patent/US10092580B2/en,https://patentimages.storage.googleapis.com/0e/64/b0/47a05c45f5095c/US10092580-20181009-D00000.png
US-8267905-B2,Apparatus and method for delivery of therapeutic and other types of agents ,Neurosystec Corporation,"Thomas J. Lobl, Stephen J. McCormack, Anna Imola Nagy, Jacob E. Pananen, John V. Schloss",2006-05-01,2006-05-01,2012-09-18,2012-09-18,https://patents.google.com/patent/US8267905B2/en,https://patentimages.storage.googleapis.com/74/7d/47/a07a31fec9cea2/US08267905-20120918-D00000.png
US-9867778-B2,Controlled release antimicrobial compositions and methods for the treatment of otic disorders ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Fabrice Piu, Qiang Ye, Luis A. Dellamary, Carl LEBEL, Jeffrey P. Harris",2008-07-21,2015-06-16,2018-01-16,2018-01-16,https://patents.google.com/patent/US9867778B2/en,https://patentimages.storage.googleapis.com/9f/18/0e/33e5a5a0b3a758/US09867778-20180116-D00001.png
AU-2009271129-B2,Controlled-release apoptosis modulating compositions and methods for the treatment of otic disorders ,"Otonomy, Inc., The Regents Of The University Of California","Luis A. Dellamary, Sergio G. Duron, Jeffrey P. Harris, Carl Lebel, Jay Lichter, Fabrice Piu, Michael Christopher Scaife, Andrew M. Trammel, Benedikt Vollrath, Qiang Ye",2008-07-14,2009-07-09,2013-10-10,2013-10-10,https://patents.google.com/patent/AU2009271129B2/en,
US-8648119-B2,Controlled release immunomodulator compositions and methods for the treatment of otic disorders ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Fabrice Piu, Qiang Ye, Luis A. Dellamary, Carl LEBEL, Jeffrey P. Harris",2008-05-23,2009-05-26,2014-02-11,2014-02-11,https://patents.google.com/patent/US8648119B2/en,https://patentimages.storage.googleapis.com/25/76/80/f5937c108a1308/US08648119-20140211-D00001.png
US-9333171-B2,Controlled-release CNS modulating compositions and methods for the treatment of otic disorders ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Fabrice Piu, Qiang Ye, Michael Christopher SCAIFE, Benedikt VOLLRATH, Sergio G. Duron, Luis A. Dellamary, Carl LEBEL, Jeffrey P. Harris",2008-06-27,2014-06-09,2016-05-10,2016-05-10,https://patents.google.com/patent/US9333171B2/en,https://patentimages.storage.googleapis.com/ed/b9/07/e68ca493a834cc/US09333171-20160510-D00001.png
US-2016310415-A1,Controlled release compositions for modulating free-radical induced damage and methods of use thereof ,"Otonomy, Inc., The Regents Of The University Of California","Jay Lichter, Andrew M. Trammel, Fabrice Piu, Qiang Ye, Michael Christopher SCAIFE, Benedikt VOLLRATH, Sergio G. Duron, Luis A. Dellamary, Carl LEBEL, Jeffrey P. Harris",2008-07-21,2016-06-16,2016-10-27,,https://patents.google.com/patent/US20160310415A1/en,https://patentimages.storage.googleapis.com/8c/42/27/1f966bb64e6f84/US20160310415A1-20161027-D00001.png
US-2018125781-A1,Modulation of gel temperature of poloxamer-containing formulations ,"Otonomy, Inc.","Qiang Ye, Luis A. Dellamary, Fabrice Piu",2009-10-21,2017-06-14,2018-05-10,,https://patents.google.com/patent/US20180125781A1/en,https://patentimages.storage.googleapis.com/4c/dc/38/2282142dcf971a/US20180125781A1-20180510-D00001.png
