search URL:,https://patents.google.com/?assignee=PACIRA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-686277-B2,Vesicles with controlled release of actives ,"Pacira Pharmaceuticals, Inc.","Sinil Kim, Mantripragada Sankaram",1993-11-16,1994-11-10,1998-02-05,1998-02-05,https://patents.google.com/patent/AU686277B2/en,
CA-2306824-C,Encapsulation method ,"Bioglan Therapeutics Ab, Timo Laakso, Mats Reslow, Bioglan Ab, Jagotec Ag, Skyepharma Inc., Pacira Pharmaceuticals, Inc.","Timo Laakso, Mats Reslow",1997-10-23,1998-09-24,2008-01-08,2008-01-08,https://patents.google.com/patent/CA2306824C/en,
CA-2078666-C,Heterovesicular liposomes ,"Sinil Kim, Research Development Foundation, Depotech Corporation, Skyepharma Inc., Pacira Pharmaceuticals, Inc.",Sinil Kim,1990-03-21,1991-03-20,2001-10-02,2001-10-02,https://patents.google.com/patent/CA2078666C/en,
CA-2161225-C,Cyclodextrin liposomes encapsulating pharmacologic compounds and methods for their use ,"Sinil Kim, Research Development Foundation, Skyepharma Inc., Depotech Corporation, Pacira Pharmaceuticals, Inc.",Sinil Kim,1993-04-22,1994-04-22,2003-07-01,2003-07-01,https://patents.google.com/patent/CA2161225C/en,
US-4822535-A,"Method for producing small, spherical polymer particles ",Norsk Hydro A.S.,"Bo Ekman, Ake Lindahl",1985-07-12,1986-06-26,1989-04-18,1989-04-18,https://patents.google.com/patent/US4822535A/en,
US-5422120-A,Heterovesicular liposomes ,Depotech Corporation,Sinil Kim,1988-05-30,1993-06-16,1995-06-06,1995-06-06,https://patents.google.com/patent/US5422120A/en,https://patentimages.storage.googleapis.com/3b/34/71/676db31840c23c/US5422120-drawings-page-3.png
US-6277413-B1,Biodegradable compositions for the controlled release of encapsulated substances ,"Skyepharma, Inc.",Mantripragada Sankaram,1998-07-17,1999-07-16,2001-08-21,2001-08-21,https://patents.google.com/patent/US6277413B1/en,https://patentimages.storage.googleapis.com/9c/90/56/de6442056e68f3/US6277413-drawings-page-2.png
US-6120787-A,Sustained release particles ,Biogram Ab,"Nils-Ove Gustafsson, Timo Laakso, Peter Fyhr, Monica Jonsson",1995-10-19,1996-09-03,2000-09-19,2000-09-19,https://patents.google.com/patent/US6120787A/en,https://patentimages.storage.googleapis.com/b1/7f/dc/6f7ba515689506/US6120787-drawings-page-2.png
US-5766627-A,Multivescular liposomes with controlled release of encapsulated biologically active substances ,Depotech,"Mantripragada Bhima Sankaram, Sinil Kim",1993-11-16,1997-05-23,1998-06-16,1998-06-16,https://patents.google.com/patent/US5766627A/en,https://patentimages.storage.googleapis.com/6c/1a/60/c8856ae4defb30/US5766627-drawings-page-2.png
US-5993850-A,Preparation of multivesicular liposomes for controlled release of encapsulated biologically active substances ,Skyepharma Inc.,"Mantripragada B. Sankaram, Sinil Kim",1994-09-13,1994-09-13,1999-11-30,1999-11-30,https://patents.google.com/patent/US5993850A/en,
CA-2277956-C,Method for utilizing neutral lipids to modify in vivo release from multivesicular liposomes ,"Depotech Corporation, Randall C. Willis, Skyepharma Inc., Pacira Pharmaceuticals, Inc.",Randall C. Willis,1997-01-31,1998-01-29,2007-01-23,2007-01-23,https://patents.google.com/patent/CA2277956C/en,
