search URL:,https://patents.google.com/?assignee=PFENEX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7208655-B1,Modified plant viruses as vectors ,The Dow Chemical Company,"George Peter Lomonossoff, John Emil Johnson",1991-04-19,2000-05-30,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208655B1/en,https://patentimages.storage.googleapis.com/2a/45/c2/c7a9eecbc79b16/US07208655-20070424-D00012.png
US-5958422-A,Modified plant viruses as vectors of heterologous peptides ,Axis Genetics Plc,George Peter Lomonossoff,1994-07-13,1995-07-10,1999-09-28,1999-09-28,https://patents.google.com/patent/US5958422A/en,https://patentimages.storage.googleapis.com/17/95/5b/ad1030df52ce9c/US5958422-drawings-page-2.png
AU-2004293810-B2,Improved protein expression systems ,Pfenex Inc.,"Anne Kathryn Badgley, Lawrence C. Chew, Thomas Martin Ramseier, Jane C. Schneider",2003-11-19,2004-11-19,2010-07-01,2010-07-01,https://patents.google.com/patent/AU2004293810B2/en,
AU-2005269527-B2,Process for improved protein expression by strain engineering ,Pfenex Inc.,"Hongfan Jin, Thomas M. Ramseier, Charles H. Squires",2004-07-26,2005-07-26,2011-12-01,2011-12-01,https://patents.google.com/patent/AU2005269527B2/en,
US-7833752-B2,Bacterial leader sequences for increased expression ,"Pfenex, Inc.","Russell J. Coleman, Diane M. Retallack, Stacey L. Lee, Charles D. Hershberger",2007-01-31,2009-10-22,2010-11-16,2010-11-16,https://patents.google.com/patent/US7833752B2/en,https://patentimages.storage.googleapis.com/6e/8e/00/9e741eac15037e/US07833752-20101116-D00002.png
US-2007292918-A1,Codon optimization method ,"Stelman Steven J, Douglas Hershberger, Ramseier Tom M","Steven Stelman, Douglas Hershberger, Tom Ramseier",2006-05-30,2007-05-30,2007-12-20,,https://patents.google.com/patent/US20070292918A1/en,https://patentimages.storage.googleapis.com/34/bc/6a/f172f7e2391656/US20070292918A1-20071220-D00000.png
US-2009117144-A1,Recombinant flu vaccines ,"Lada Rasochova, Nghiep Dang, Dao Philip P, Phelps Jamie P, Jason Radam","Lada Rasochova, Nghiep Dang, Philip P. Dao, Jamie P. Phelps, Jason Radam",2005-07-19,2006-07-19,2009-05-07,,https://patents.google.com/patent/US20090117144A1/en,https://patentimages.storage.googleapis.com/US20090117144A1/US20090117144A1-20090507-D00000.png
US-9453251-B2,Expression of mammalian proteins in Pseudomonas fluorescens ,Pfenex Inc.,"Diane M. Retallack, Charles H. Squires, David C. Watkins, Stacey L. Lee, Frank H. Gaertner, Robert Shutter",2002-10-08,2005-01-18,2016-09-27,2016-09-27,https://patents.google.com/patent/US9453251B2/en,https://patentimages.storage.googleapis.com/cf/04/da/0d9d33c460e328/US09453251-20160927-D00001.png
US-2005214321-A1,Recombinant icosahedral virus like particle production in pseudomonads ,Dow Global Technologies Inc.,"Lada Rasochova, Philip Dao",2003-12-01,2004-12-01,2005-09-29,,https://patents.google.com/patent/US20050214321A1/en,https://patentimages.storage.googleapis.com/58/7c/ef/375447e14c1089/US20050214321A1-20050929-D00001.png
EP-1687324-B1,Improved expression systems with sec-system secretion ,"Pfenex, Inc.","Diane M. Retallack, Jane C. Schneider, Thomas Martin Ramseier",2003-11-21,2004-11-22,2012-08-22,2012-08-22,https://patents.google.com/patent/EP1687324B1/en,https://patentimages.storage.googleapis.com/5e/80/6f/5b356ab59febe1/imgf0001.png
US-7928290-B2,Viral capsid fusion peptide expressing plant cells ,Dow Agrosciences Llc,"Lada Rasochova, Philip Phuoc Dao",2004-02-27,2005-02-28,2011-04-19,2011-04-19,https://patents.google.com/patent/US7928290B2/en,https://patentimages.storage.googleapis.com/97/fb/6b/aee2e14669fafc/US07928290-20110419-D00001.png
EP-2021490-B1,Anthrax vaccine ,"Pfenex, Inc.","Lada L. Rasochova, Philip P. Dao, Jamie P. Phelps",2006-05-30,2007-05-30,2011-09-07,2011-09-07,https://patents.google.com/patent/EP2021490B1/en,https://patentimages.storage.googleapis.com/53/c3/84/cd226f56bda47a/imgf0001.png
US-2008269070-A1,Method for rapidly screening microbial hosts to identify certain strains with improved yield and/or quality in the expression of heterologous proteins ,"Dow Global Technologies, Inc.","Thomas M. Ramseier, Russell J. Coleman, Jane C. Schneider, Charles D. Hershberger",2007-04-27,2008-04-25,2008-10-30,,https://patents.google.com/patent/US20080269070A1/en,https://patentimages.storage.googleapis.com/US20080269070A1/US20080269070A1-20081030-D00000.png
CN-1941508-B,Electrical connection arrangement ,菲尼克斯公司,H·赖布克,2005-09-01,2006-09-01,2014-05-07,2014-05-07,https://patents.google.com/patent/CN1941508B/en,
US-7794972-B2,Benzoate-and anthranilate-inducible promoters ,Pfenex Inc.,"Diane M. Retallack, Venkiteswaran Subramanian",2002-07-03,2005-01-03,2010-09-14,2010-09-14,https://patents.google.com/patent/US7794972B2/en,https://patentimages.storage.googleapis.com/87/c6/4c/021175d70734b9/US07794972-20100914-D00001.png
US-9580719-B2,Method for rapidly screening microbial hosts to identify certain strains with improved yield and/or quality in the expression of heterologous proteins ,"Pfenex, Inc.","Diane M. Retallack, Charles H. Squires, Thomas M. Ramseier, Russell J. Coleman, Jane C. Schneider, Charles D. Hershberger",2007-04-27,2009-10-30,2017-02-28,2017-02-28,https://patents.google.com/patent/US9580719B2/en,https://patentimages.storage.googleapis.com/17/8c/63/2a4e1ab2f9b1cf/US09580719-20170228-D00001.png
US-2007041999-A1,Production of multivalent virus like particles ,"Lada Rasochova, Dao Philip P P, Phelps Jamie P","Lada Rasochova, Philip Dao, Jamie Phelps",2005-06-01,2006-06-01,2007-02-22,,https://patents.google.com/patent/US20070041999A1/en,https://patentimages.storage.googleapis.com/e4/d7/64/0be13e75398b3a/US20070041999A1-20070222-D00001.png
EP-2434016-B1,Expression of mammalian proteins in pseudomonas fluorescens ,Pfenex Inc.,"Diane M. Retallack, Charles H. Squires, David C. Watkins, Frank H. Gaertner, Stacey Lynn Lee, Robert Shutter",2004-01-16,2005-01-18,2018-11-07,2018-11-07,https://patents.google.com/patent/EP2434016B1/en,https://patentimages.storage.googleapis.com/9e/9b/56/4c248f9c1f4716/imgf0001.png
