search URL:,https://patents.google.com/?assignee=PHARMASSET+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1284741-B1,3'-or 2'-hydroxymethyl substituted nucleoside derivatives for treatment of viral infections ,"Pharmasset, Inc.","Kyoichi A. Watanabe, Balakrishna S. Pai",2000-04-13,2001-04-13,2008-11-19,2008-11-19,https://patents.google.com/patent/EP1284741B1/en,
US-8906880-B2,Nucleoside phosphoramidate prodrugs ,Gilead Pharmasset Llc,"Jinfa Du, Dhanapalan Nagarathnam, Michael Joseph Sofia, Peiyuan Wang",2007-03-30,2014-04-17,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906880B2/en,
EP-1411954-B1,Modified nucleosides for treatment of viral infections and abnormal cellular proliferation ,"Pharmasset, Inc.","Lieven Stuyver, Kyoichi A. Watanabe",2000-10-18,2001-10-18,2010-12-15,2010-12-15,https://patents.google.com/patent/EP1411954B1/en,
CA-2527657-C,Modified fluorinated nucleoside analogues ,"Pharmasset, Inc., Jeremy Clark, Pharmasset, Ltd., Gilead Pharmasset Llc",Jeremy Clark,2003-05-30,2004-04-21,2011-06-14,2011-06-14,https://patents.google.com/patent/CA2527657C/en,
US-8859756-B2,Stereoselective synthesis of phosphorus containing actives ,Gilead Pharmasset Llc,"Bruce S. Ross, Michael Joseph Sofia, Ganapati REDDY PAMULAPATI, Suguna Rachakonda, Hai-Ren Zhang",2010-03-31,2011-03-31,2014-10-14,2014-10-14,https://patents.google.com/patent/US8859756B2/en,https://patentimages.storage.googleapis.com/19/78/0f/c7d978ea92e0da/US08859756-20141014-D00001.png
US-8629263-B2,Nucleoside phosphoramidates ,Gilead Pharmasset Llc,"Bruce Ross, Michael Joseph Sofia, Ganapati REDDY PAMULAPATI, Suguna Rachakonda, Hai-Ren Zhang, Byoung-Kwon Chun, Peiyuan Wang",2009-05-20,2013-01-25,2014-01-14,2014-01-14,https://patents.google.com/patent/US8629263B2/en,https://patentimages.storage.googleapis.com/f4/73/c3/e1d5261e310e46/US08629263-20140114-D00001.png
US-8173621-B2,Nucleoside cyclicphosphates ,Gilead Pharmasset Llc,"Jinfa Du, Dhanapalan Nagarathnam, Ganapati REDDY PAMULAPATI, Bruce S. Ross, Michael Joseph Sofia",2008-06-11,2009-06-05,2012-05-08,2012-05-08,https://patents.google.com/patent/US8173621B2/en,
US-8618076-B2,Nucleoside phosphoramidates ,Gilead Pharmasset Llc,"Bruce S. Ross, Michael Joseph Sofia, Ganapati REDDY PAMULAPATI, Suguna Rachakonda, Hai-Ren Zhang, Byoung-Kwon Chun, Peiyuan Wang",2009-05-20,2011-03-31,2013-12-31,2013-12-31,https://patents.google.com/patent/US8618076B2/en,https://patentimages.storage.googleapis.com/5b/c9/96/3c9a81cc120309/US08618076-20131231-D00001.png
CA-2666098-C,Preparation of nucleosides ribofuranosyl pyrimidines ,"Steven D. Axt, Keshab Sarma, Justin Vitale, Jiang Zhu, Bruce Ross, Suguna Rachakonda, Qingwu Jin, Byoung-Kwon Chun, F. Hoffmann-La Roche Ag, Pharmasset, Inc., Gilead Pharmasset Llc","Steven D. Axt, Keshab Sarma, Justin Vitale, Jiang Zhu, Bruce Ross, Suguna Rachakonda, Qingwu Jin, Byoung-Kwon Chun",2006-10-10,2007-10-05,2012-09-25,2012-09-25,https://patents.google.com/patent/CA2666098C/en,
US-8957045-B2,Nucleoside phosphoramidates ,Gilead Pharmasset Llc,"Michael Joseph Sofia, Jinfa Du, Peiyuan Wang, Dhanapalan Nagarathnam",2008-12-23,2013-02-25,2015-02-17,2015-02-17,https://patents.google.com/patent/US8957045B2/en,
US-8765710-B2,"2′,4′-substituted nucleosides as antiviral agents ",Gilead Pharmasset Llc,"Michael Joseph Sofia, Jinfa Du",2007-11-20,2011-12-13,2014-07-01,2014-07-01,https://patents.google.com/patent/US8765710B2/en,
