search URL:,https://patents.google.com/?assignee=PHIBRO+ANIMAL+HEALTH+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
WO-2007145858-A1,Method of reducing the growth of lactobacilli in a process of ethanol production by yeast fermentation comprising adding a pristinamycin-type antimicrobial agent and/or a polyether ionophore antimicrobial agent dissolved in an organic solvent ,Phibro Animal Health Corporation,Dennis P. Bayrock,2006-06-13,2007-06-01,2007-12-21,,https://patents.google.com/patent/WO2007145858A1/en,
US-2017072002-A1,"Combination, composition, and method of administering the combination or composition to animals ","Phibro Animal Health Corporation, Desert King International Llc","Kenneth W. Bafundo, A. Bruce Johnson, David Calabotta, Wendell Knehans",2014-05-23,2016-11-22,2017-03-16,,https://patents.google.com/patent/US20170072002A1/en,https://patentimages.storage.googleapis.com/6b/f4/ad/a4b449370902e4/US20170072002A1-20170316-D00001.png
US-9497981-B2,Medicated particulate animal feed supplements and methods of preparation ,Phibro Animal Health Corporation,"Charles Hollett Fahrenholz, Ian John Francis Wilkinson",2012-06-28,2013-06-18,2016-11-22,2016-11-22,https://patents.google.com/patent/US9497981B2/en,https://patentimages.storage.googleapis.com/0f/66/70/9ea73795d77d4d/US09497981-20161122-D00000.png
US-10280199-B2,Coronavirus proteins and antigens ,Phibro Animal Health Corporation,Byoung-Kwan Kim,2014-02-07,2016-08-04,2019-05-07,2019-05-07,https://patents.google.com/patent/US10280199B2/en,https://patentimages.storage.googleapis.com/41/4b/7b/0f43cda0fc69cf/US10280199-20190507-D00001.png
US-9999648-B2,"Combination and/or composition comprising bacillus, and yucca, quillaja, or both and a method for using and making ","Phibro Animal Health Corporation, Desert King International, Llc","David Calabotta, Wendell Knehans, Derek McLean",2013-10-25,2015-04-29,2018-06-19,2018-06-19,https://patents.google.com/patent/US9999648B2/en,https://patentimages.storage.googleapis.com/9c/f3/d7/ce2180f2c458c5/US09999648-20180619-D00001.png
DE-69106389-D1,Semduramicin containing animal feed premix. ,Pfizer,"Antonio Grizzuti, Robert Lloyd",1990-11-16,1991-10-17,1995-02-09,1995-02-09,https://patents.google.com/patent/DE69106389D1/en,
US-9386770-B2,Use of predissolved pristinamycin-type and polyether ionophore type antimicrobial agents in the production of ethanol ,Phibro Animal Health Corp.,"David Alan Fowlie, Wayne Mattsfield, Dennis P. Bayrock",2006-06-13,2011-05-27,2016-07-12,2016-07-12,https://patents.google.com/patent/US9386770B2/en,
US-10279031-B2,Composition comprising antigens and a mucosal adjuvant and a method for using ,Phibro Animal Health Corporation,"Grant Weaver, Jeffrey Alan Kula, Boh Chang Lin, Karen Brown, Wesley W. Johnson, Michael Dennis Murphy",2016-05-11,2017-05-11,2019-05-07,2019-05-07,https://patents.google.com/patent/US10279031B2/en,https://patentimages.storage.googleapis.com/69/d6/28/9c93791485326d/US10279031-20190507-D00001.png
US-2017340729-A1,Composition comprising pedv antigens and methods for making and using the composition ,"Mj Biologics, Inc., Phibro Animal Health Corporation","Byoung-Kwan Kim, Karen Brown, Larry Miller",2015-02-09,2017-08-08,2017-11-30,,https://patents.google.com/patent/US20170340729A1/en,https://patentimages.storage.googleapis.com/76/41/fe/008715c6ab4f74/US20170340729A1-20171130-D00001.png
US-9540588-B2,Oil recovery aid ,"Polymer Ventures Inc., Phibro Animal Health Co.","Christopher B Murphy, David A Fowlie",2014-12-16,2015-12-15,2017-01-10,2017-01-10,https://patents.google.com/patent/US9540588B2/en,https://patentimages.storage.googleapis.com/ed/6c/07/e12d3ade7af077/US09540588-20170110-D00000.png
US-2017175032-A1,Oil Recovery Aid ,"Polymer Ventures Inc., Phibro Animal Health Corp.","Christopher B. Murphy, David A Fowlie",2014-12-16,2017-03-01,2017-06-22,,https://patents.google.com/patent/US20170175032A1/en,https://patentimages.storage.googleapis.com/d4/8a/36/94abd41ac1188b/US20170175032A1-20170622-D00001.png
WO-2019005843-A1,Composition having improved flowabilty and methods for making and using the composition ,Phibro Animal Health Corporation,"Ian Wilkinson, Charles H. FAHRENHOLZ",2017-06-29,2018-06-26,2019-01-03,,https://patents.google.com/patent/WO2019005843A1/en,
WO-2017196318-A1,A composition comprising antigens and a mucosal adjuvant and a method for using ,Phibro Animal Health Corporation,"Grant WEAVER, Jeff KULA, Boh Chang LIN, Karen Brown, Wesley W. JOHNSON, Michael Dennis MURPHY",2016-05-11,2016-05-11,2017-11-16,,https://patents.google.com/patent/WO2017196318A1/en,
