search URL:,https://patents.google.com/?assignee=PORTOLA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2321283-B1,"2,6-diamino-pyrimidin-5-yl-carboxamides as syk or jak kinases inhibitors ","Portola Pharmaceuticals, Inc.","Shawn M. Bauer, Zhaozhong J. Jia, Yonghong Song, Qing Xu, Mukund Mehrotra, Jack W. Rose, Wolin Huang, Chandrasekar Venkataramani, Anjali Pandey",2008-04-16,2009-04-16,2016-07-13,2016-07-13,https://patents.google.com/patent/EP2321283B1/en,https://patentimages.storage.googleapis.com/42/b0/47/e651f95645ca3d/imgf0001.png
EP-2271631-B1,Inhibitors of protein kinases ,"Portola Pharmaceuticals, Inc.","Yonghong Song, Qing Xu, Shawn M. Bauer, Zhaozhong J. Jia, Mukund Mehrotra, Anjali Pandey",2008-04-22,2009-04-22,2018-07-04,2018-07-04,https://patents.google.com/patent/EP2271631B1/en,https://patentimages.storage.googleapis.com/13/18/cf/15642d1a246350/imgf0001.png
US-7115741-B2,"4-thieno[2,3-D]pyrimidin-4-YL piperazine compounds ","Levy Daniel E, Smyth Mark S, Scarborough Robert M","Daniel E. Levy, Mark S. Smyth, Robert M. Scarborough",2001-09-06,2002-09-06,2006-10-03,2006-10-03,https://patents.google.com/patent/US7115741B2/en,
EP-2323993-B1,"2,6-diamino- pyrimidin- 5-yl-carboxamides as syk or jak kinases inhibitors ","Portola Pharmaceuticals, Inc.","Zhaozhong J. Jia, Chandrasekar Venkataramani, Wolin Huang, Mukund Mehrotra, Yonghong Song, Qing Xu, Shawn M. Bauer, Anjali Pandey, Brian Kane, Jack W. Rose",2008-04-16,2009-04-16,2015-06-03,2015-06-03,https://patents.google.com/patent/EP2323993B1/en,https://patentimages.storage.googleapis.com/9f/0a/ab/7512ac2d6ddd66/imgf0001.png
US-7622474-B2,Platelet ADP receptor inhibitors ,"Portola Pharmaceuticals, Inc.","Robert M. Scarborough, Wolin Huang, Charles K. Marlowe, Kim A. Kane-McGuire",2000-02-04,2007-08-20,2009-11-24,2009-11-24,https://patents.google.com/patent/US7622474B2/en,
US-8367689-B2,Inhibitors of JAK ,"Portola Pharmaceuticals, Inc.","Shawn M. Bauer, Jack W. Rose, Yonghong Song, Qing Xu, Mukund Mehrotra, Wolin Huang, Anjali Pandey",2009-05-06,2010-05-06,2013-02-05,2013-02-05,https://patents.google.com/patent/US8367689B2/en,
CA-2697583-C,Antidotes for factor xa inhibitors and methods of using the same ,"Portola Pharmaceuticals, Inc., Genmin Lu, David R. Phillips, Patrick Andre, Uma Sinha","Genmin Lu, David R. Phillips, Patrick Andre, Uma Sinha",2007-09-28,2008-09-26,2016-04-12,2016-04-12,https://patents.google.com/patent/CA2697583C/en,
US-8937070-B2,Inhibitors of protein kinases ,"Portola Pharmaceuticals, Inc.","Shawn M. Bauer, Anjali Pandey",2008-04-16,2013-06-13,2015-01-20,2015-01-20,https://patents.google.com/patent/US8937070B2/en,https://patentimages.storage.googleapis.com/68/35/05/072521dead39ac/US08937070-20150120-D00000.png
ES-2252193-T3,Receptor inhibitors platelet ADP. ,"Portola Pharmaceuticals, Inc.","Wolin Huang, Hans-Michael Jantzen, Charles K. Marlowe, Robert M. Scarborough, David M. Sedlock",2000-02-04,2001-02-05,2006-05-16,2006-05-16,https://patents.google.com/patent/ES2252193T3/en,
US-8952027-B2,Inhibitors of syk and JAK protein kinases ,"Portola Pharmaceuticals, Inc.","Zhaozhong J. Jia, Chandrasekar Venkataramani, Wolin Huang, Mukund Mehrotra, Yonghong Song, Qing Xu, Shawn M. Bauer, Jack W. Rose, Brian Kane, Anjali Pandey",2008-04-16,2012-10-23,2015-02-10,2015-02-10,https://patents.google.com/patent/US8952027B2/en,https://patentimages.storage.googleapis.com/af/af/51/d5a6cb6ccc3043/US08952027-20150210-D00001.png
