search URL:,https://patents.google.com/?assignee=PROTEON+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8562983-B2,System comprising elastase ,"Proteon Therapeutics, Inc.",F. Nicholas Franano,1999-09-24,2008-08-22,2013-10-22,2013-10-22,https://patents.google.com/patent/US8562983B2/en,https://patentimages.storage.googleapis.com/81/b2/40/b416636497b8fe/US08562983-20131022-D00001.png
AU-2004213050-B2,Methods for the treatment and prevention of diseases of biological conduits ,"Proteon Therapeutics, Inc.","Nicholas F. Franano, Charles P. Romano",2003-02-20,2004-02-20,2010-09-09,2010-09-09,https://patents.google.com/patent/AU2004213050B2/en,
EP-1923068-B1,Systems and methods for opening obstructed biological conduits ,"Proteon Therapeutics, Inc.",Nicholas F. Franano,1999-09-24,2000-09-24,2011-06-08,2011-06-08,https://patents.google.com/patent/EP1923068B1/en,https://patentimages.storage.googleapis.com/06/d4/e7/26bb11677f0804/imgf0001.png
US-2011160682-A1,Medical device ,"Franano F Nicholas, Daniel Philip Gottlieb","F. Nicholas Franano, Daniel Philip Gottlieb",2008-01-31,2009-02-02,2011-06-30,,https://patents.google.com/patent/US20110160682A1/en,https://patentimages.storage.googleapis.com/66/0a/c5/35dbcd6df699ab/US20110160682A1-20110630-D00000.png
EP-2229440-B1,Recombinant elastase proteins and methods of manufacturing and use thereof ,"Proteon Therapeutics, Inc.","F. Nicholas Franano, Kimberly Bland, Marco D. Wong, Bee C. Ding",2007-12-04,2008-12-04,2013-08-28,2013-08-28,https://patents.google.com/patent/EP2229440B1/en,https://patentimages.storage.googleapis.com/2e/e2/94/9eec74c881b0d3/imgf0001.png
US-8524226-B2,Methods of prolonging patency of hemodialysis access ,"Proteon Therapeutics, Inc.",F. Nicholas Franano,1999-09-24,2011-02-07,2013-09-03,2013-09-03,https://patents.google.com/patent/US8524226B2/en,https://patentimages.storage.googleapis.com/f3/a5/f9/1c14b442fad300/US08524226-20130903-D00001.png
US-2009196865-A1,Methods for the treatment and prevention of diseases of biological conduits ,"Proteon Therapeutics, Inc.",F. Nicholas Franano,2004-09-22,2005-09-22,2009-08-06,,https://patents.google.com/patent/US20090196865A1/en,
AU-2013204017-B2,Recombinant elastase proteins and methods of manufacturing and use thereof ,"Proteon Therapeutics, Inc.","Kimberly Bland, Bee C. Ding, F. Nicholas Franano, Marco D. Wong",2007-12-04,2013-04-11,2016-06-02,2016-06-02,https://patents.google.com/patent/AU2013204017B2/en,
US-10308924-B2,Nucleic acid molecules encoding autoactivating type I pancreatic proelastase proteins ,"Proteon Therapeutics, Inc.","F. Nicholas Franano, Kimberly Bland, Marco D. Wong, Bee C. Ding",,2018-03-13,2019-06-04,2019-06-04,https://patents.google.com/patent/US10308924B2/en,https://patentimages.storage.googleapis.com/00/06/a6/efbce5b4483d3d/US10308924-20190604-D00001.png
AU-2016219613-A1,Recombinant elastase proteins and methods of manufacturing and use thereof ,"Proteon Therapeutics, Inc.","Kimberly Bland, Bee C. Ding, F. Nicholas Franano, Marco D. Wong",2007-12-04,2016-08-24,2016-09-15,,https://patents.google.com/patent/AU2016219613A1/en,
