search URL:,https://patents.google.com/?assignee=PTC+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8975287-B2,"Methods for using 1,2,4-Oxadiazole benzoic acid compounds ","Ptc Therapeutics, Inc.","Gary Mitchell Karp, Seongwoo Hwang, Guangming Chen, Neil Gregory Almstead, Young-Choon Moon",2003-04-11,2014-06-18,2015-03-10,2015-03-10,https://patents.google.com/patent/US8975287B2/en,
US-7902235-B2,"Compounds for nonsense suppression, and methods for their use ","Ptc Therapeutics, Inc.","Jeffrey A. Campbell, Atiyya Kahn, James Takasugi, Ellen Welch",2004-10-13,2005-10-13,2011-03-08,2011-03-08,https://patents.google.com/patent/US7902235B2/en,https://patentimages.storage.googleapis.com/ec/de/1e/1b8ce30475c6c7/US07902235-20110308-D00001.png
US-6875736-B2,Methods for identifying RNA binding compounds ,"Ptc Therapeutics, Inc.",Tariq M Rana,1999-10-04,2002-11-15,2005-04-05,2005-04-05,https://patents.google.com/patent/US6875736B2/en,https://patentimages.storage.googleapis.com/5a/89/41/24ce15ea112356/US06875736-20050405-D00000.png
US-8013006-B2,Methods for treating hepatitis C ,"Ptc Therapeutics, Inc.","Gary Mitchell Karp, Peter Seongwoo Hwang, James Takasugi, Hongyu Ren, Richard Gerald Wilde, Anthony Turpoff, Alexander Arefolov, Guangming Chen, Jeffrey Allen Campbell, Christine Espiritu, Concetta Freund, Zhengxian Gu, Takashi Komatsu",2004-07-14,2005-07-14,2011-09-06,2011-09-06,https://patents.google.com/patent/US8013006B2/en,https://patentimages.storage.googleapis.com/06/41/8d/9c89ef82d2eab5/US08013006-20110906-D00001.png
US-9271960-B2,Tetrahydrocarbazoles as active agents for inhibiting VEGF production by translational control ,"Ptc Therapeutics, Inc.","William LENNOX, Hongyan Qi, Duck-Hyung Lee, Soongyu Choi, Young-Choon Moon",2004-11-23,2015-01-26,2016-03-01,2016-03-01,https://patents.google.com/patent/US9271960B2/en,https://patentimages.storage.googleapis.com/d3/eb/20/acf7046af79670/US09271960-20160301-D00001.png
EP-2351859-B1,Methods and agents for screening for compounds capable of modulating gene expression ,"PTC Therapeutics, Inc.","Liangxian Cao, Anuradha Mehta, Nikolai A. Naryshkin, Matthew C. Pelligrini, Charles M. Romfo, Panayiota Trifillis, Christopher R. Trotta",2004-07-21,2004-08-16,2016-08-10,2016-08-10,https://patents.google.com/patent/EP2351859B1/en,https://patentimages.storage.googleapis.com/7a/fc/df/4f25c2da7aee43/imgf0001.png
US-7772271-B2,Methods for treating hepatitis C ,"Ptc Therapeutics, Inc.","Gary Mitchell Karp, Peter Seongwoo Hwang, James J. Takasugi, Hongyu Ren, Richard Gerald Wilde, Anthony Turpoff, Alexander Arefolov, Guangming Chen, Jeffrey Allen Campbell, Chunshi Li, Steven Paget, Nanjing Zhang, Xiaoyan Zhang, Jin Zhu",2004-07-14,2007-01-16,2010-08-10,2010-08-10,https://patents.google.com/patent/US7772271B2/en,
US-7927791-B2,Methods for identifying small molecules that modulate premature translation termination and nonsense mediated mRNA decay ,"Ptc Therapeutics, Inc.","Ellen M. Welch, Neil Gregory Almstead, Robert F. Rando, Mathew C. Pellegrini",2002-07-24,2003-07-24,2011-04-19,2011-04-19,https://patents.google.com/patent/US7927791B2/en,https://patentimages.storage.googleapis.com/3c/cf/b0/1245871edc05ee/US07927791-20110419-D00001.png
CA-2514184-C,Methods for identifying compounds that modulate untranslated region-dependent gene expression and methods of using same ,"Ptc Therapeutics, Inc., Liangxian Cao, Panayiota Trifillis","Liangxian Cao, Panayiota Trifillis",2003-01-21,2004-01-21,2016-04-12,2016-04-12,https://patents.google.com/patent/CA2514184C/en,
US-8334313-B2,Ureido substituted benzoic acid compounds and their use for nonsense suppression and the treatment of disease ,"Ptc Therapeutics, Inc.","Richard G. Wilde, James J. Takasugi, Seongwoo Hwang, Ellen M. Welch, Guangming Chen",2002-07-24,2010-12-29,2012-12-18,2012-12-18,https://patents.google.com/patent/US8334313B2/en,
