search URL:,https://patents.google.com/?assignee=RECEPTOS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2010319983-B2,Selective sphingosine 1 phosphate receptor modulators and methods of chiral synthesis ,Celgene International Ii Sarl,"Marcus F. Boehm, Enugurthi Brahmachary, Jennifer L. Brooks, Michael Allen Hanson, Liming Huang, Esther Martinborough, Manisha Moorjani, Robert Peach, Fiona Lorraine Scott, Junko Tamiya, Gregg Alan Timony, Adam Richard Yeager",2009-11-13,2010-11-15,2015-03-12,2015-03-12,https://patents.google.com/patent/AU2010319983B2/en,
US-9278910-B2,GLP-1 receptor stabilizers and modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Junko Tamiya, Liming Huang, Thomas Fowler, Andrew Novak, Premji Meghani, Enugurthi Brahmachary, Adam Richard Yeager",2011-05-31,2012-05-31,2016-03-08,2016-03-08,https://patents.google.com/patent/US9278910B2/en,
US-8816121-B2,GLP-1 receptor stabilizers and modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Liming Huang, Junko Tamiya, Mark T. Griffith, Thomas Fowler, Andrew Novak, Michael Knaggs, Premji Meghani",2010-06-09,2013-07-08,2014-08-26,2014-08-26,https://patents.google.com/patent/US8816121B2/en,
EP-2707395-B1,Novel fusion partners for the purpose of crystallizing g-protein coupled receptors ,"Receptos, Inc., The Scripps Research Institute","Michael A. Hanson, Christopher B. ROTH, Raymond C. Stevens, Joshua M. KUNKEN, Mark T. Griffith, Aaron A. THOMPSON, Wei Liu, Fei Xu, Vsevolod Katritch",2011-05-13,2012-05-11,2017-04-12,2017-04-12,https://patents.google.com/patent/EP2707395B1/en,https://patentimages.storage.googleapis.com/5c/6a/f0/8466fea120c9ac/imgf0001.png
US-9394264-B2,Sphingosine 1 phosphate receptor modulators and methods of chiral synthesis ,"Receptos, Inc.","Esther Martinborough, Marcus F. Boehm, Adam Richard Yeager, Junko Tamiya, Liming Huang, Enugurthi Brahmachary, Manisha Moorjani",2009-11-13,2015-02-27,2016-07-19,2016-07-19,https://patents.google.com/patent/US9394264B2/en,
US-9187522-B2,GLP-1 receptor modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam R. Yeager, Enugurthi Brahmachary, Thomas Fowler, Andrew Novak, Premji Meghani, Michael Knaggs",2011-12-12,2014-06-05,2015-11-17,2015-11-17,https://patents.google.com/patent/US9187522B2/en,
US-8507538-B2,Selective heterocyclic sphingosine 1 phosphate receptor modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Enugurthi Brahmachary, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam Richard Yeager",2009-11-13,2010-11-15,2013-08-13,2013-08-13,https://patents.google.com/patent/US8507538B2/en,
US-9260427-B2,GLP-1 receptor modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam R. Yeager, Enugurthi Brahmachary, Thomas Fowler, Andrew Novak, Premji Meghani, Michael Knaggs",2013-06-11,2014-06-11,2016-02-16,2016-02-16,https://patents.google.com/patent/US9260427B2/en,
WO-2015066515-A1,Selective sphingosine 1 phosphate receptor modulators and combination therapy therewith ,"Receptos, Inc.","Esther Martinborough, Marcus F. Boehm, Adam Richard Yeager, Junko Tamiya, Liming Huang, Enugurthi Brahmachary, Manisha Moorjani, Gregg Alan Timony, Jennifer L. Brooks, Robert Peach, Fiona Lorraine Scott, Michael Allen Hanson",2013-11-01,2014-10-31,2015-05-07,,https://patents.google.com/patent/WO2015066515A1/en,
US-9474755-B2,GLP-1 receptor modulators ,Celgene International Ii Sarl,"Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam R. Yeager, Enugurthi Brahmachary, Thomas Fowler, Andrew Novak, Premji Meghani, Michael Knaggs",2014-07-25,2015-07-24,2016-10-25,2016-10-25,https://patents.google.com/patent/US9474755B2/en,
US-9481659-B2,Selective heterocyclic sphingosine 1 phosphate receptor modulators ,Celgene International Ii Sàrl,"Marcus F. Boehm, Esther Martinborough, Enugurthi Brahmachary, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam Richard Yeager",2011-05-13,2012-05-11,2016-11-01,2016-11-01,https://patents.google.com/patent/US9481659B2/en,
AU-2015202660-A1,Selective sphingosine 1 phosphate receptor modulators and methods of chiral synthesis ,Celgene International Ii Sarl,"Marcus F. Boehm, Enugurthi Brahmachary, Jennifer L. Brooks, Michael Allen Hanson, Liming Huang, Esther Martinborough, Manisha Moorjani, Robert Peach, Fiona Lorraine Scott, Junko Tamiya, Gregg Alan Timony, Adam Richard Yeager",2009-11-13,2015-05-18,2015-06-04,,https://patents.google.com/patent/AU2015202660A1/en,
US-2016228450-A1,Novel glp-1 receptor modulators ,"Receptos, Inc.","Marcus F. Boehm, Esther Martinborough, Manisha Moorjani, Junko Tamiya, Liming Huang, Adam R. Yeager, Enugurthi Brahmachary, Thomas Fowler, Andrew Novak, Premji Meghani, Michael Knaggs, Daniel Glynn, Mark Mills",2014-12-10,2015-12-10,2016-08-11,,https://patents.google.com/patent/US20160228450A1/en,
