search URL:,https://patents.google.com/?assignee=REGADO+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8586524-B2,Modulators of pharmacological agents ,Duke University,"Bruce A. Sullenger, Christopher P Rusconi",2001-05-25,2007-04-26,2013-11-19,2013-11-19,https://patents.google.com/patent/US8586524B2/en,https://patentimages.storage.googleapis.com/3d/51/8a/cc822c3fc238fe/US08586524-20131119-D00001.png
US-7812001-B2,RNA aptamers and methods for identifying the same ,Duke University,"Bruce A. Sullenger, Christopher P. Rusconi",2000-09-26,2007-10-26,2010-10-12,2010-10-12,https://patents.google.com/patent/US7812001B2/en,https://patentimages.storage.googleapis.com/f1/dc/6b/4fb374a2bb819b/US07812001-20101012-D00001.png
CN-1980947-B,Improved modulators of coagulation factors ,雷加多生物科学公司,C·拉斯科尼,2004-04-22,2005-04-22,2013-01-30,2013-01-30,https://patents.google.com/patent/CN1980947B/en,
US-2009048193-A1,Administration of the REG1 anticoagulation system ,"Rusconi Christopher P, Tonkens Ross M","Christopher P. Rusconi, Ross M. Tonkens",2006-05-26,2007-05-25,2009-02-19,,https://patents.google.com/patent/US20090048193A1/en,https://patentimages.storage.googleapis.com/ff/ed/15/c91c5be83d3ed3/US20090048193A1-20090219-D00000.png
US-2009163437-A1,Steady-state subcutaneous administration of aptamers ,"Regado Biosciences, Inc.",Christopher P. Rusconi,2007-10-16,2008-10-16,2009-06-25,,https://patents.google.com/patent/US20090163437A1/en,https://patentimages.storage.googleapis.com/43/21/df/1446d87fa1eef1/US20090163437A1-20090625-D00000.png
US-8318923-B2,Nucleic acid modulators of glycoprotein VI ,"Regado Biosciences, Inc.","Juliana M. Layzer, Christopher P. Rusconi, Douglas Brooks, Steven L. Zelenkofske",2009-06-03,2010-06-03,2012-11-27,2012-11-27,https://patents.google.com/patent/US8318923B2/en,https://patentimages.storage.googleapis.com/0c/08/3e/8b7c72083142cb/US08318923-20121127-D00001.png
US-2012277419-A1,Method for manufacturing pegylated oligonucleotides ,"Douglas Brooks, Rusconi Christopher P","Douglas Brooks, Christopher P. Rusconi",2011-04-26,2012-04-26,2012-11-01,,https://patents.google.com/patent/US20120277419A1/en,https://patentimages.storage.googleapis.com/79/f4/2f/166834f39b4f23/US20120277419A1-20121101-D00001.png
US-2012095085-A1,Nucleic acid modulators of clec-2 ,"Layzer Juliana M, Mahanty Sanjoy K, Wolff Samuel C, Redick Catherine C, Rusconi Christopher P","Juliana M. Layzer, Sanjoy K. Mahanty, Samuel C. Wolff, Catherine C. Redick, Christopher P. Rusconi",2010-10-14,2011-10-14,2012-04-19,,https://patents.google.com/patent/US20120095085A1/en,https://patentimages.storage.googleapis.com/64/53/8f/5faafc3e604dd1/US20120095085A1-20120419-D00001.png
US-8889646-B2,Nucleic acid modulators of glycoprotein VI ,"Regado Biosciences, Inc.","Juliana M. Layzer, Christopher P. Rusconi, Douglas Brooks, Steven Zelenkofske",2009-06-03,2012-11-07,2014-11-18,2014-11-18,https://patents.google.com/patent/US8889646B2/en,https://patentimages.storage.googleapis.com/2a/76/93/9c4b12bb2467d8/US08889646-20141118-D00001.png
US-2011117660-A1,Physical characterization of oligonucleotide conjugates ,Brooks Douglas G,Douglas G. Brooks,2009-11-16,2009-11-16,2011-05-19,,https://patents.google.com/patent/US20110117660A1/en,https://patentimages.storage.googleapis.com/40/bf/b6/25cdd6d4d393a4/US20110117660A1-20110519-D00000.png
US-8889645-B2,Nucleic acid modulators of glycoprotein VI ,"Regado Biosciences, Inc.","Juliana M. Layzer, Christopher P. Rusconi, Douglas Brooks, Steven Zelenkofske",2009-06-03,2012-11-07,2014-11-18,2014-11-18,https://patents.google.com/patent/US8889645B2/en,https://patentimages.storage.googleapis.com/47/86/f7/a0d55f17299ede/US08889645-20141118-D00001.png
US-2014309287-A1,Oligonucleotide formulation ,"Regado Biosciences, Inc.","Christopher P. Rusconi, Douglas Brooks, Alison G. Floyd",2012-12-06,2013-12-06,2014-10-16,,https://patents.google.com/patent/US20140309287A1/en,https://patentimages.storage.googleapis.com/d8/ae/eb/fbef24de4c373f/US20140309287A1-20141016-D00001.png
WO-2011059459-A1,Physical characterization of oligonucleotides conjugates ,"Regado Biosciences, Inc",Doug Brooks,2009-11-16,2009-11-16,2011-05-19,,https://patents.google.com/patent/WO2011059459A1/en,
AU-2013263868-A1,Administration of the REG1 anticoagulation system ,"Regado Biosciences, Inc.","Christopher P. Rusconi, Ross M. Tonkens",2006-05-26,2013-12-02,2014-01-09,,https://patents.google.com/patent/AU2013263868A1/en,
UA-94948-C2,Administration of the reg1 anticoagulation system ,"Регадо Байосайенсиз, Инк.","Кристофер П. РАСКОНИ, Росс М. ТОНКЕНС",2006-05-26,2007-05-25,2011-06-25,,https://patents.google.com/patent/UA94948C2/en,
