search URL:,https://patents.google.com/?assignee=REGULUS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8466120-B2,Oligomeric compounds and compositions for use in modulation of pri-miRNAs ,Regulus Therapeutics Inc.,"Bridget Lollo, Ravi Jain",2003-07-31,2010-06-10,2013-06-18,2013-06-18,https://patents.google.com/patent/US8466120B2/en,
US-8541385-B2,Chemically modified oligonucleotides for use in modulation micro RNA and uses thereof ,"The Rockefeller University, Alnylam Pharmaceuticals, Inc.","Markus Stoffel, Muthiah Manoharan, Kallanthottathil G Rajeev",2005-08-10,2010-03-01,2013-09-24,2013-09-24,https://patents.google.com/patent/US8541385B2/en,https://patentimages.storage.googleapis.com/7f/a0/c2/0b1cf58622c8d4/US08541385-20130924-D00001.png
EP-2338991-B1,Methods for use in modulating MIR-122a ,Regulus Therapeutics Inc.,"Christine Esau, Sanjay Bhanot",2005-08-29,2006-08-29,2017-01-18,2017-01-18,https://patents.google.com/patent/EP2338991B1/en,
EP-1931780-B1,Antisense compounds having enhanced anti-microrna activity ,Regulus Therapeutics Inc.,"Christine Esau, Eric E. Swayze",2005-08-29,2006-08-29,2016-01-06,2016-01-06,https://patents.google.com/patent/EP1931780B1/en,
US-8680067-B2,Targeting microRNAs for the treatment of liver cancer ,"Regulus Therapeutics, Inc., Rosetta Genomics Ltd","C. Frank Bennett, Ayelet Chajut, Christine Esau, Eric Marcusson, Noga Yerushalmi",2007-10-29,2012-05-25,2014-03-25,2014-03-25,https://patents.google.com/patent/US8680067B2/en,https://patentimages.storage.googleapis.com/63/16/1d/ac7e5a5d9a2ea8/US08680067-20140325-D00001.png
US-2007123482-A1,Chemically modified oligonucleotides for use in modulating micro RNA and uses thereof ,"Markus Stoffel, Muthiah Manoharan, Rajeev Kallanthottathil G","Markus Stoffel, Muthiah Manoharan, Kallanthottathil Rajeev",2005-08-10,2006-08-10,2007-05-31,,https://patents.google.com/patent/US20070123482A1/en,https://patentimages.storage.googleapis.com/f1/c9/18/a18d15b39b0410/US20070123482A1-20070531-D00000.png
AU-2013251696-B2,MicroRNA compounds and methods for modulating miR-21 activity ,Regulus Therapeutics Inc.,"Balkrishen Bhat, Eric MARCUSSON",2012-04-25,2013-04-24,2018-11-15,2018-11-15,https://patents.google.com/patent/AU2013251696B2/en,
US-2015087607-A1,Microrna compositions and methods ,"Regulus Therapeutics Inc., Alnylam Pharmaceuticals","Eric G. Marcusson, Balkrishen Bhat, Peter Linsley, Akin Akinc",2010-01-14,2014-08-25,2015-03-26,,https://patents.google.com/patent/US20150087607A1/en,https://patentimages.storage.googleapis.com/84/9b/e8/afdcf7d1135104/US20150087607A1-20150326-D00001.png
US-9970011-B2,Methods for treatment of alport syndrome ,Regulus Therapeutics Inc.,"Jeremy Duffield, Balkrishen Bhat, Deidre MacKenna",2012-10-09,2017-05-26,2018-05-15,2018-05-15,https://patents.google.com/patent/US9970011B2/en,https://patentimages.storage.googleapis.com/89/db/2d/915df8faabe7c2/US09970011-20180515-D00001.png
AU-2012249851-B2,MicroRNA compounds and methods for modulating miR-21 activity ,Regulus Therapeutics Inc.,Balkrishen Bhat,2011-04-25,2012-04-25,2017-06-08,2017-06-08,https://patents.google.com/patent/AU2012249851B2/en,
US-10240151-B2,Compounds and methods for enhanced cellular uptake ,Regulus Therapeutics Inc.,Balkrishen Bhat,2013-05-01,2016-10-17,2019-03-26,2019-03-26,https://patents.google.com/patent/US10240151B2/en,https://patentimages.storage.googleapis.com/23/de/19/3cdcec448bcde6/US10240151-20190326-D00001.png
EP-2992095-B1,Microrna compounds and methods for modulating mir-122 ,Regulus Therapeutics Inc.,"Balkrishen Bhat, Daniel Hogan",2013-05-01,2014-04-30,2019-01-09,2019-01-09,https://patents.google.com/patent/EP2992095B1/en,https://patentimages.storage.googleapis.com/0e/ba/01/cac87700515cf2/imgf0001.png
US-9181548-B2,Targeting micrornas for the treatment of fibrosis ,Regulus Therapeutics Inc.,B. Nelson Chau,2010-07-23,2014-07-18,2015-11-10,2015-11-10,https://patents.google.com/patent/US9181548B2/en,https://patentimages.storage.googleapis.com/ef/3d/11/e2d077e68990b8/US09181548-20151110-D00001.png
US-7998677-B2,MicroRNA detection ,"Regulus Therapeutics, Inc.","Christine Esau, Scott E. Davis, Frank C. Bennett",2008-02-26,2009-02-26,2011-08-16,2011-08-16,https://patents.google.com/patent/US7998677B2/en,https://patentimages.storage.googleapis.com/0b/1c/ff/baaaf31a2699dd/US07998677-20110816-D00001.png
WO-2011126842-A2,Targeting micrornas for the treatment of cardiac disorders ,Regulus Therapeutics Inc.,"B. Nelson Chau, Peter Linsley",2010-03-30,2011-03-29,2011-10-13,,https://patents.google.com/patent/WO2011126842A2/en,
US-2018155787-A1,Non-alcoholic fatty liver disease biomarkers ,"Regulus Therapeutics Inc., The Regents Of The University Of California","Martin Beaulieu, Nelson B CHAU, Vivek KAIMAL, Rohit Loomba",2015-06-05,2016-06-03,2018-06-07,,https://patents.google.com/patent/US20180155787A1/en,https://patentimages.storage.googleapis.com/c7/e2/61/403948ed7de6cb/US20180155787A1-20180607-D00000.png
US-9487783-B2,Targeting microRNAs for metabolic disorders ,Regulus Therapeutics Inc.,"Balkrishen Bhat, Neil W. Gibson, Diedre MacKenna, Brandee Wagner, David P. Bartel",2014-08-07,2015-08-06,2016-11-08,2016-11-08,https://patents.google.com/patent/US9487783B2/en,https://patentimages.storage.googleapis.com/21/7a/b3/19e90175ebb961/US09487783-20161108-D00000.png
WO-2012145374-A1,TARGETING miR-378 FAMILY MEMBERS FOR THE TREATMENT OF METABOLIC DISORDERS ,Regulus Therapeutics Inc.,Christine Esau,2011-04-19,2012-04-18,2012-10-26,,https://patents.google.com/patent/WO2012145374A1/en,
US-2019153442-A1,Methods for treatment of polycystic kidney disease ,"Regulus Therapeutics Inc., Board Of Regents Of The University Of Texas System","John R. Androsavich, B. Nelson Chau, Vishal D. Patel",2015-08-26,2016-08-25,2019-05-23,,https://patents.google.com/patent/US20190153442A1/en,https://patentimages.storage.googleapis.com/da/e7/81/67959289ad6d6f/US20190153442A1-20190523-D00001.png
AU-2011254085-B2,Methods for use in modulating miR-122a ,Regulus Therapeutics Inc.,"Sanjay Bhanot, Christine Esau",2005-08-29,2011-12-15,2012-11-01,2012-11-01,https://patents.google.com/patent/AU2011254085B2/en,
US-9994846-B2,MicroRNA compounds and methods for modulating miR-21 activity ,Regulus Therapeutics Inc.,Balkrishen Bhat,2013-10-25,2014-10-23,2018-06-12,2018-06-12,https://patents.google.com/patent/US9994846B2/en,https://patentimages.storage.googleapis.com/39/02/45/b18ae40cf81a11/US09994846-20180612-D00001.png
US-2018363056-A1,Methods for direct measurement of microrna inhibition and mimicry ,Regulus Therapeutics Inc.,"John R. Androsavich, B. Nelson Chau, Ryan R. Galasso",2015-09-04,2016-09-02,2018-12-20,,https://patents.google.com/patent/US20180363056A1/en,https://patentimages.storage.googleapis.com/12/af/af/459246f387d0c1/US20180363056A1-20181220-D00001.png
AU-2013200489-B2,Methods for use in modulating miR-122a ,Regulus Therapeutics Inc.,"Sanjay Bhanot, Christine Esau",2005-08-29,2013-01-31,2015-09-17,2015-09-17,https://patents.google.com/patent/AU2013200489B2/en,
MA-35151-B1,microRNA compounds and methods for modulating the activity of mir-21 ,Regulus Therapeutics Inc,Balkrishen Bhat,2011-04-25,2013-11-15,2014-06-02,,https://patents.google.com/patent/MA35151B1/en,
TN-2014000401-A1,Microrna compounds and methods for modulating mir-21 activity ,Regulus Therapeutics Inc,"Balkrishen Bhat, Eric Marcusson",2013-03-13,2014-09-24,2015-12-21,,https://patents.google.com/patent/TN2014000401A1/en,
WO-2018106566-A1,Modified oligonucleotides for treatment of polycystic kidney disease ,Regulus Therapeutics Inc.,Charles R. ALLERSON,2016-12-05,2017-12-04,2018-06-14,,https://patents.google.com/patent/WO2018106566A1/en,
AU-2014271307-A1,Targeting microRNAs for the treatment of liver cancer ,Regulus Therapeutics Inc.,"C. Frank Bennett, Ayelet Chajut, Christine Esau, Eric G. Marcusson, Noga Yerushalmi",2007-10-29,2014-12-04,2015-01-15,,https://patents.google.com/patent/AU2014271307A1/en,
WO-2018204788-A1,Methods for treatment of alport syndrome ,Regulus Therapeutics Inc.,Timothy Wright,2017-05-04,2018-05-04,2018-11-08,,https://patents.google.com/patent/WO2018204788A1/en,
WO-2018106568-A1,Methods for treatment of polycystic kidney disease ,"Regulus Therapeutics Inc., The Board Of Regents Of The University Of Texas System","Charles R. ALLERSON, Vishal D. PATEL, B. Nelson Chau, John R. ANDROSAVICH",2016-12-05,2017-12-04,2018-06-14,,https://patents.google.com/patent/WO2018106568A1/en,
WO-2017048770-A1,"Systems, compositions, and methods for formulating nucleic acid compositions ","Regulus Therapeutics, Inc.","Priya P. KARMALI, Victor Knopov, Amit Sagi",2015-09-15,2016-09-14,2017-03-23,,https://patents.google.com/patent/WO2017048770A1/en,
AU-2017370560-A1,Modified oligonucleotides for treatment of polycystic kidney disease ,Regulus Therapeutics Inc.,Charles R. ALLERSON,2016-12-05,2017-12-04,2019-06-06,,https://patents.google.com/patent/AU2017370560A1/en,
