search URL:,https://patents.google.com/?assignee=RELYPSA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6908609-B2,In vivo use of water absorbent polymers ,Dow Global Technologies Inc.,"Jaime Simon, Alan D. Strickland",2000-11-20,2001-11-06,2005-06-21,2005-06-21,https://patents.google.com/patent/US6908609B2/en,
US-7854924-B2,Methods and compositions for treatment of ion imbalances ,"Relypsa, Inc.","Robert Alpern, Jerry Buysse, Han Ting Chang, Dominique Charmot, Michael James Cope, John Fordtran, Gerrit Klaerner, Eric Connor, Mingjun Liu, Futian Liu, Jun Shao",2004-03-30,2004-03-30,2010-12-21,2010-12-21,https://patents.google.com/patent/US7854924B2/en,https://patentimages.storage.googleapis.com/74/04/4c/b8879e75349407/US07854924-20101221-D00000.png
US-8192758-B2,Ion binding compositions ,"Relypsa, Inc.","Dominique Charmot, John Fordtran, Han Ting Chang, Eric Connor, Mingjun Liu, Gerrit Klaerner",2004-03-30,2004-03-30,2012-06-05,2012-06-05,https://patents.google.com/patent/US8192758B2/en,https://patentimages.storage.googleapis.com/79/e3/51/48d2ad5b8c1e24/US08192758-20120605-D00001.png
US-7556799-B2,Ion binding polymers and uses thereof ,"Relypsa, Inc.","Dominique Charmot, Han Ting Chang, Gerrit Klaerner, Michael J. Cope, Mingjun Liu, Futian Liu, Jerry M. Buysse",2004-03-30,2005-03-30,2009-07-07,2009-07-07,https://patents.google.com/patent/US7556799B2/en,
CA-2181359-C,Treatment of antibiotic associated diarrhea ,"Louis D. Heerze, Glen Armstrong, Alberta Research Council, Synsorb Biotech, Inc., Synsorb Biotech Inc., Hawker Resources Inc., Iteration Energy Ltd., Ilypsa, Inc., Relypsa","Louis D. Heerze, Glen Armstrong",1994-02-14,1995-02-09,2001-07-03,2001-07-03,https://patents.google.com/patent/CA2181359C/en,
US-8282913-B2,Ion binding polymers and uses thereof ,"Relypsa, Inc.","Dominique Charmot, Han-Ting Chang, Mingjun Liu, Gerrit Klaerner",2004-03-30,2008-03-26,2012-10-09,2012-10-09,https://patents.google.com/patent/US8282913B2/en,https://patentimages.storage.googleapis.com/8f/94/d6/dc1b041f4f3ce8/US08282913-20121009-D00000.png
US-7429394-B2,Ion binding compositions ,"Relypsa, Inc.","Dominique Charmot, John Fordtran, Han Ting Chang, Eric Connor, Mingjun Liu, Gerrit Klaerner",2004-03-30,2005-03-30,2008-09-30,2008-09-30,https://patents.google.com/patent/US7429394B2/en,
AU-2006294455-B2,Methods for preparing core-shell composites having cross-linked shells and core-shell composites resulting therefrom ,"Relypsa, Inc.","Han-Ting Chang, Dominique Charmot, Eric Connor, Futian Liu, Mingjun Liu, Paul Mansky",2005-09-30,2006-10-02,2013-06-20,2013-06-20,https://patents.google.com/patent/AU2006294455B2/en,
US-8282960-B2,Ion binding compositions ,"Relypsa, Inc.","Dominique Charmot, John Fordtran, Han Ting Chang, Eric Connor, Mingjun Liu, Gerrit Klaerner",2004-03-30,2004-03-30,2012-10-09,2012-10-09,https://patents.google.com/patent/US8282960B2/en,https://patentimages.storage.googleapis.com/d9/44/6e/b8a3eccbaacd7c/US08282960-20121009-D00001.png
US-2009155370-A1,Methods and compositions for selectively removing potassium ion from the gastrointestinal tract of a mammal ,"Relypsa, Inc.","Michael J. Cope, Paul Mansky, Futian Liu, Han-Ting Chang, Dominique Charmot, Eric Connor, Kalpesh Biyani, Mingjun Liu, Tony Kwok-Kong Mong, Yan Chen",2005-09-30,2006-10-02,2009-06-18,,https://patents.google.com/patent/US20090155370A1/en,
US-2017209481-A1,Treating hyperkalemia with crosslinked cation exchange polymers of improved physical properties ,"Relypsa, Inc.","Paul Mansky, Detlef Albrecht, Michael Burdick, Han-Ting Chang, Dominique Charmot, Eric Connor, Sherin Halfon, I-Zu Huang, Mingjun Liu, Werner Strüver",2008-08-22,2016-12-16,2017-07-27,,https://patents.google.com/patent/US20170209481A1/en,https://patentimages.storage.googleapis.com/14/f3/2f/589ec1c7d4421a/US20170209481A1-20170727-D00001.png
DE-69938241-T2,Compositions for treating by c. difficile toxin B caused diarrhea (CDAD) ,"Relypsa, Inc., Santa Clara","Glen D. Edmonton Armstrong, Louis D. Edmonton HEERZE",1998-05-28,1999-05-27,2008-05-29,2008-05-29,https://patents.google.com/patent/DE69938241T2/en,
US-8337824-B2,Linear polyol stabilized polyfluoroacrylate compositions ,"Relypsa, Inc.","Detlef Albrecht, Michael Burdick, Han-Ting Chang, Dominique Charmot, Ramakrishnan Chidambaram, Eric Connor, Sherin Halfon, I-Zu Huang, Mingjun Liu, Jonathan Mills, Werner Strüver",2008-08-22,2009-08-22,2012-12-25,2012-12-25,https://patents.google.com/patent/US8337824B2/en,
US-2011091540-A1,Polymeric compositions and their method of use in combination with active agents ,"Alan Strickland, George Grass","Alan Strickland, George Grass",2007-08-29,2008-08-29,2011-04-21,,https://patents.google.com/patent/US20110091540A1/en,
AU-2009282721-B2,"Crosslinked cation exchange polymers, compositions and use in treating hyperkalemia ","Relypsa, Inc.","Detlef Albrecht, Michael Burdick, Han-Ting Chang, Dominique Charmot, Ramakrishnan Chidambaram, Eric Connor, Sherin Halfon, I-Zu Huang, Mingjun Liu, Paul Mansky, Jonathan Mills, Werner Struver",2008-08-22,2009-08-22,2015-10-29,2015-10-29,https://patents.google.com/patent/AU2009282721B2/en,
US-2010111892-A1,Crosslinked polyfluoroacrylic acid and processes for the preparation thereof ,"Relypsa, Inc.","Han-Ting Chang, Dominique Charmot, Mingjun Liu, Werner Strüver",2008-08-22,2009-08-22,2010-05-06,,https://patents.google.com/patent/US20100111892A1/en,
CA-2790999-C,"Crosslinked polyvinylamine, polyallylamine, and polyethyleneimine for use as bile acid sequestrants ","Relypsa, Inc., Jordon Kopping, Kalpesh Biyani, Eric Connor, Scott Hecker, Inez Lees, Grace Quaker, Faleh Salaymeh, Hongmin Zhang, David Bergbreiter, Paul Mansky, Yongqi Mu, Michael James Cope, Elizabeth Goka, Angela Lee, Deidre Madsen, Jun Shao","Jordon Kopping, Kalpesh Biyani, Eric Connor, Scott Hecker, Inez Lees, Grace Quaker, Faleh Salaymeh, Hongmin Zhang, David Bergbreiter, Paul Mansky, Yongqi Mu, Michael James Cope, Elizabeth Goka, Angela Lee, Deidre Madsen, Jun Shao",2010-02-24,2011-02-24,2019-05-14,2019-05-14,https://patents.google.com/patent/CA2790999C/en,
AU-2011220745-B2,Polyimidazoles for use as bile acid sequestrants ,"Relypsa, Inc.","Kalpesh Biyani, Eric Connor, Michael James Cope, Elizabeth Goka, Scott Hecker, Angela Lee, Inez Lees, Deidre Madsen, Jun Shao, Hongmin Zhang, Xinnan Zhang",2010-02-24,2011-02-24,2016-12-01,2016-12-01,https://patents.google.com/patent/AU2011220745B2/en,
CA-2388187-A1,Treatment of c. difficile toxin b associated conditions ,"Synsorb Biotech, Inc., Louis D. Heerze, Glen D. Armstrong, Hawker Resources Inc., Iteration Energy Ltd., Ilypsa, Inc., Relypsa","Louis D. Heerze, Glen D. Armstrong",1999-11-04,2000-11-03,2001-05-10,,https://patents.google.com/patent/CA2388187A1/en,
AU-2011220748-B2,Amine polymers for use as bile acid sequestrants ,"Relypsa, Inc.","David Bergbreiter, Kalpesh Biyani, Eric Connor, Michael James Cope, Elizabeth Goka, Scott Hecker, Angela Lee, Inez Lees, Deidre Madsen, Paul Mansky, Yongqi Mu, Grace Quaker, Felah Salaymeh, Jun Shao, Hongmin Zhang, Xinnan Zhang",2010-02-24,2011-02-24,2015-11-05,2015-11-05,https://patents.google.com/patent/AU2011220748B2/en,
AU-2005295708-A1,Pharmaceutical compositions comprising a toxin-binding oligosaccharide and a polymeric particle ,"Relypsa, Inc.","Jerry M. Buysse, Han Ting Chang, Dominique Charmot, Michael James Cope, Elizabeth Goka, Tony Kwok-Kong Mong",2004-10-13,2005-10-13,2006-04-27,,https://patents.google.com/patent/AU2005295708A1/en,
US-2012107381-A1,Powder formulations of potassium-binding active agents ,"Relypsa, Inc.","Dasharatha Reddy, George Tyson",2009-05-13,2010-05-13,2012-05-03,,https://patents.google.com/patent/US20120107381A1/en,
AU-2013329451-B2,Potassium-binding agents for treating hypertension and hyperkalemia ,Vifor Pharma Technology Ltd.,"Lance Berman, Gerrit Klaerner",2012-10-08,2013-10-08,2018-08-09,2018-08-09,https://patents.google.com/patent/AU2013329451B2/en,
AU-2013292350-B9,Compositions comprising crosslinked cation-binding polymers ,Vifor Pharma Technology Ltd.,"Stephen F. Carroll, Linda De YOUNG",2012-07-19,2013-07-19,2018-08-23,2018-08-23,https://patents.google.com/patent/AU2013292350B9/en,
US-10138198-B2,Fluorination of acrylate esters and derivatives ,Vifor (International) Ltd.,YongQi Mu,2011-06-27,2017-08-18,2018-11-27,2018-11-27,https://patents.google.com/patent/US10138198B2/en,
US-8263112-B2,In vivo use of water absorbent polymers ,"Sorbent Therapeutics, Inc.","Jaime Simon, Alan D. Strickland",2000-11-20,2004-05-06,2012-09-11,2012-09-11,https://patents.google.com/patent/US8263112B2/en,
US-9228028-B2,Continuous process for preparing polyfluoroacrylate particles ,"Relypsa, Inc.",George Tyson,2010-03-20,2011-03-18,2016-01-05,2016-01-05,https://patents.google.com/patent/US9228028B2/en,https://patentimages.storage.googleapis.com/c0/ae/82/e6fbce2696e982/US09228028-20160105-D00000.png
US-9453092-B2,Process for converting a polymeric ester to a polymeric acid ,"Relypsa, Inc.","Eric Connor, Faleh Salaymeh",2011-06-27,2012-06-27,2016-09-27,2016-09-27,https://patents.google.com/patent/US9453092B2/en,
