search URL:,https://patents.google.com/?assignee=RENOVIS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7338950-B2,Amide compounds as ion channel ligands and uses thereof ,"Renovis, Inc.","Michael G. Kelly, Satyanarayana Janagani, Guoxian Wu, John Kincaid",2003-10-07,2004-10-07,2008-03-04,2008-03-04,https://patents.google.com/patent/US7338950B2/en,
US-7402596-B2,Bicycloheteroaryl compounds as P2X7 modulators and uses thereof ,"Renovis, Inc.","Michael G. Kelly, John Kincaid",2005-03-24,2006-03-17,2008-07-22,2008-07-22,https://patents.google.com/patent/US7402596B2/en,
US-7745451-B2,"Tetrahydronaphthyridine and tetrahydropyrido[4,3-d]pyrimidine compounds and compositions thereof useful in the treatment of conditions associated with neurological and inflammatory disorders and dysfunctions ","Renovis, Inc.","Michael G. Kelly, John Kincaid, Carl J. Kaub",2005-05-04,2006-05-04,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745451B2/en,
US-2004167226-A1,Methods for the treatment of pain and traumatic injury using benzamides and compositions containing the same ,"Serafini Tito A., Goodman Corey S.","Tito Serafini, Corey Goodman",2002-12-16,2003-12-15,2004-08-26,,https://patents.google.com/patent/US20040167226A1/en,https://patentimages.storage.googleapis.com/8c/0b/68/0b589b95cd0073/US20040167226A1-20040826-D00001.png
US-2012088746-A1,Amide derivatives as ion-channel ligands and pharmaceutical compositions and methods of using the same ,"Pfizer Inc., Renovis, Inc.","Yuji Shishido, Kazunari Nakao, Satoshi Nagayama, Hirotaka Tanaka, Matthew Alexander James Duncton, Matthew Cox, John Kincaid, Kiran Sahasrabudhe, Maria De Los Angeles Estiarte-Martinez",2006-05-10,2007-05-10,2012-04-12,,https://patents.google.com/patent/US20120088746A1/en,
US-8946439-B2,"Amide compounds, compositions and uses thereof ",Evotec Ag,"Zhi-Liang Wei, Sumithra Gowlugari, Carl Kaub, Zhan Wang, Yeyu Cao, John Kincaid",2008-02-29,2009-02-27,2015-02-03,2015-02-03,https://patents.google.com/patent/US8946439B2/en,
US-7414131-B2,Bicycloheteroarylamine compounds as ion channel ligands and uses thereof ,"Renovis, Inc.","Michael G. Kelly, Satyanarayana Janagani, Guoxian Wu, John Kincaid, David Lonergan, Yunfeng Fang, Zhi-Liang Wei",2003-12-24,2004-12-23,2008-08-19,2008-08-19,https://patents.google.com/patent/US7414131B2/en,
ES-2235374-T3,Alpha-aryl-n.allquilnitronas and pharmaceutical compositions containing them. ,"Renovis, Inc.","Alina Dykman, Judith A. Kelleher, Julian Levell, Kirk R. Maples, Allan L. Wilcox, Yong-Kang Zhang",1997-10-17,1998-10-16,2005-07-01,2005-07-01,https://patents.google.com/patent/ES2235374T3/en,
US-6486349-B1,Amide therapeutics and methods for treating inflammatory bowel disease ,"Centaur Pharmaceuticals, Inc.","William D. Flitter, William A. Garland, Beverly Greenwood Van-Meerveld, Ian Irwin",1999-11-18,2000-11-17,2002-11-26,2002-11-26,https://patents.google.com/patent/US6486349B1/en,
US-2015018956-A1,Surgical implant devices incorporating porous surfaces ,"Renovis Surgical, Inc.","John C. STEINMANN, Scott RUCKER, Tim RASMUSSEN, John P. STEINMANN, Trace Cawley, Thomas Ross, Ernesto RIOS, Andrew OLCESE",2012-06-21,2014-07-24,2015-01-15,,https://patents.google.com/patent/US20150018956A1/en,https://patentimages.storage.googleapis.com/e5/70/bc/3f79ca89a59918/US20150018956A1-20150115-D00000.png
US-7432281-B2,Amide derivatives as ion-channel ligands and pharmaceutical compositions and methods of using the same ,"Renovis, Inc.","Michael G. Kelly, Satyanarayana Janagani, Ravindra B. Upasani",2003-10-07,2004-10-07,2008-10-07,2008-10-07,https://patents.google.com/patent/US7432281B2/en,
US-7312330-B2,Bicycloheteroarylamine compounds as ion channel ligands and uses thereof ,"Renovis, Inc.","Michael G. Kelly, Satyanarayana Janagani, Guoxian Wu, John Kincaid, David Lonergan, Yunfeng Fang, Zhi-Liang Wei",2003-12-24,2005-05-04,2007-12-25,2007-12-25,https://patents.google.com/patent/US7312330B2/en,
US-7816371-B2,Bicycloheteroaryl compounds as P2X7 modulators and uses thereof ,"Renovis, Inc.","Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari, Zhan Wang",2006-03-16,2007-03-16,2010-10-19,2010-10-19,https://patents.google.com/patent/US7816371B2/en,
US-2010168112-A1,2-Substituted and 4-substituted aryl nitrone compounds ,"Renovis, Inc.","Michael G. Kelly, John Kincaid, Satyanarayana Janagani",2004-02-13,2009-07-15,2010-07-01,,https://patents.google.com/patent/US20100168112A1/en,https://patentimages.storage.googleapis.com/68/d8/89/54724a7329d939/US20100168112A1-20100701-D00000.png
US-5907061-A,Nitro- and aminobenzamide compounds for neurodegenerative disorders ,"Centaur Pharmaceuticals, Inc.","William Flitter, William Garland, Richard Paylor, Allan Wilcox",1995-04-03,1997-07-03,1999-05-25,1999-05-25,https://patents.google.com/patent/US5907061A/en,
US-8513485-B2,Non human transgenic mammal comprising a transgene comprising a nucleotide sequence encoding a ribosomal protein fused to a peptide tag ,"Envoy Therapeutics, Inc.","Nathaniel Heintz, Tito A. Serafini, Andrew W. Shyjan",2001-10-29,2011-05-10,2013-08-20,2013-08-20,https://patents.google.com/patent/US8513485B2/en,https://patentimages.storage.googleapis.com/1c/5b/5d/648113e071d2e0/US08513485-20130820-D00001.png
CA-2645556-C,Bicycloheteroaryl compounds as p2x7 modulators and uses thereof ,"Renovis, Inc., Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari, Zhan Wang, Evotec (Us) Inc., Second Genome, Inc.","Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari, Zhan Wang",2006-03-16,2007-03-16,2016-05-24,2016-05-24,https://patents.google.com/patent/CA2645556C/en,
US-2003051266-A1,Collections of transgenic animal lines (living library) ,Serafini Tito Andrew,Tito Serafini,2001-02-14,2001-02-14,2003-03-13,,https://patents.google.com/patent/US20030051266A1/en,
US-5472983-A,Benzamide-containing pharmaceutical compositions ,"Centaur Pharmaceuticals, Inc.","William D. Flitter, Kirk R. Maples, Richard E. Paylor, Helming Tan, Allan L. Wilcox",1994-04-14,1994-04-14,1995-12-05,1995-12-05,https://patents.google.com/patent/US5472983A/en,
CA-2645551-C,Bicycloheteroaryl compounds as p2x7 modulators and uses thereof ,"Renovis, Inc., Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari, Evotec (Us) Inc., Second Genome, Inc.","Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari",2006-03-16,2007-03-16,2016-06-28,2016-06-28,https://patents.google.com/patent/CA2645551C/en,
US-5994396-A,Furansulfonic acid derivatives and pharmaceutical compositions containing the same ,"Centaur Pharmaceuticals, Inc.","Judith A. Kelleher, Kirk R. Maples, Yong-Kang Zhang",1997-08-18,1998-08-13,1999-11-30,1999-11-30,https://patents.google.com/patent/US5994396A/en,https://patentimages.storage.googleapis.com/f7/4a/d0/f78808cf77ef27/US5994396-drawings-page-2.png
US-7576099-B2,Amide derivatives as ion-channel ligands and pharmaceutical compositions and methods of using the same ,"Renovis, Inc.","Michael G. Kelly, John Kincaid, Matthew Duncton, Kiran Sahasrabudhe, Satyanarayana Janagani, Ravindra B. Upasani, Guoxian Wu, Zhi-Liang Wei, Carl Kaub, Yunfeng Fang",2005-02-28,2006-02-24,2009-08-18,2009-08-18,https://patents.google.com/patent/US7576099B2/en,
US-6835754-B2,Use of aryl nitrone compounds in methods for treating neuropathic pain ,"Renovis, Inc.","L. David Waterbury, Paul L. Wood, M. Amin Khan, Ravindra B. Upasani",2001-01-08,2002-01-08,2004-12-28,2004-12-28,https://patents.google.com/patent/US6835754B2/en,https://patentimages.storage.googleapis.com/50/ae/e2/bdcaf00cc54012/US06835754-20041228-D00000.png
US-6342523-B1,"3,4,5-trisubstituted aryl nitrone compounds, pharmaceutical compositions containing the same and methods for treating inflammation ","Centaur Pharmaceuticals, Inc.","L. David Waterbury, Allan L. Wilcox, John M. Carney, Farah Mavandadi, Albert Danielzadeh",1998-12-02,1999-12-01,2002-01-29,2002-01-29,https://patents.google.com/patent/US6342523B1/en,
WO-2009011904-A1,Compounds useful as faah modulators and uses thereof ,"Renovis, Inc.","Michael G. Kelly, John Kincaid, Sumithra Gowlugari, Carl Kaub",2007-07-19,2008-07-18,2009-01-22,,https://patents.google.com/patent/WO2009011904A1/en,
WO-2007109154-A2,Bicycloheteroaryl compounds as p2x7 modulators and uses thereof ,"Renovis, Inc.","Michael G. Kelly, John Kincaid, Yunfeng Fang, Yeyu Cao, Carl Kaub, Sumithra Gowlugari, Zhan Wang",2006-03-16,2007-03-16,2007-09-27,,https://patents.google.com/patent/WO2007109154A2/en,
