search URL:,https://patents.google.com/?assignee=REPLIDYNE+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6294661-B1,Compounds ,"Smithkline Beecham Corporation, Smithkline Beecham Plc","Michael Terence Black, John Edward Hodgson, David Justin Charles Knowles, Richard O Nicholas, Robert King Stodola",1996-05-14,1997-05-14,2001-09-25,2001-09-25,https://patents.google.com/patent/US6294661B1/en,
US-2004224981-A1,Antibacterial methods and compositions ,"Nebojsa Janjic, Critchley Ian A., Joseph Guiles, Tarasow Theodore M.","Nebojsa Janjic, Ian Critchley, Joseph Guiles, Theodore Tarasow",2003-05-01,2004-05-03,2004-11-11,,https://patents.google.com/patent/US20040224981A1/en,https://patentimages.storage.googleapis.com/8f/df/15/5e90c66593631e/US20040224981A1-20041111-D00001.png
US-6320051-B1,Quinolones used as MRS inhibitors and bactericides ,Smithkline Beecham Plc,"John Michael Berge, Pamela Brown, John Stephen Elder, Andrew Keith Forrest, Dieter Wolfgang Hamprecht, Richard Lewis Jarvest, David Jonathan McNair, Robert John Sheppard",1998-04-29,1999-04-15,2001-11-20,2001-11-20,https://patents.google.com/patent/US6320051B1/en,
US-8148380-B2,Antibacterial amide and sulfonamide substituted heterocyclic urea compounds ,"Crestone, Inc.","Joseph Guiles, Thale Jarvis, Sarah STRONG, Xicheng Sun, Jian Qiu, John C. Rohloff",2007-07-23,2008-07-23,2012-04-03,2012-04-03,https://patents.google.com/patent/US8148380B2/en,
US-8293919-B2,Antibacterial sulfone and sulfoxide substituted heterocyclic urea compounds ,"Crestone, Inc.","Joseph Guiles, Thale Jarvis, Sarah STRONG, Xicheng Sun, Jian Qiu, John C. Rohloff",2007-07-23,2008-07-23,2012-10-23,2012-10-23,https://patents.google.com/patent/US8293919B2/en,
US-6989255-B1,Methionyl tRNA synthetase polypeptides from Staphylococcus aureus ,"Replidyne, Inc.","John Edward Hodgson, Elizabeth Jane Lawlor",1996-01-19,1999-04-29,2006-01-24,2006-01-24,https://patents.google.com/patent/US6989255B1/en,https://patentimages.storage.googleapis.com/5b/fa/8a/0b35ab97426132/US6989255-drawings-page-2.png
US-2005124562-A1,Bis-quinazoline compounds for the treatment of bacterial infections ,"Joseph Guiles, Garry Dallmann, Nebojsa Janjic, Mchenry Charles S., Xicheng Sun, Ming Tregay","Joseph Guiles, Garry Dallmann, Nebojsa Janjic, Charles McHenry, Xicheng Sun, Ming Tregay",2003-09-23,2004-09-23,2005-06-09,,https://patents.google.com/patent/US20050124562A1/en,
US-7220757-B2,Compositions and methods for topical administration of 2-NH-heteroarylimidazoles ,"Replidyne, Inc.","John Berge, Andrew Forrest, Dieter Hamprecht, Richard Jarvest",2002-12-06,2005-09-09,2007-05-22,2007-05-22,https://patents.google.com/patent/US7220757B2/en,
US-8658670-B2,Methods and compounds for treatment of clostridium based infection ,"Crestone, Inc.","Joseph Guiles, Xicheng Sun, Nebojsa Janjic, Sarah STRONG",2006-09-26,2007-09-11,2014-02-25,2014-02-25,https://patents.google.com/patent/US8658670B2/en,
US-6677146-B1,Thermophilic polymerase III holoenzyme ,"Replidyne, Inc.","Nebojsa Janjic, James M. Bullard, Charles S. McHenry, Vladimir Kery",2000-03-28,2001-03-28,2004-01-13,2004-01-13,https://patents.google.com/patent/US6677146B1/en,https://patentimages.storage.googleapis.com/e6/b6/69/2af7dfa24c3a08/US06677146-20040113-D00001.png
US-8431376-B2,Bacterial replication systems and methods ,The Regents Of The University Of Colorado,"Thale Cross Jarvis, Charles S. McHenry, Nebojsa Janjic, Garry Dallmann, James M. Bullard, Stacie Bell, Glenn Sanders, Frank Dean",2004-04-26,2005-04-26,2013-04-30,2013-04-30,https://patents.google.com/patent/US8431376B2/en,https://patentimages.storage.googleapis.com/15/a6/a7/10adf75fee6b39/US08431376-20130430-D00001.png
US-6348328-B1,Compounds ,"Smithkline Beecham Corporation, Smithkline Beecham Plc.","Michael Terence Black, John Edward Hodgson, David Justin Charles Knowles, Richard Oakley Nicholas, Robert King Stodola",1997-05-14,1997-05-14,2002-02-19,2002-02-19,https://patents.google.com/patent/US6348328B1/en,
WO-2008039640-A2,Enantiomeric compounds with antibacterial activity ,"Crestone, Inc.","Joseph Guiles, Xicheng Sun, Nebojsa Janjic, Sarah Strong, Albert Charles Gyorkos",2006-09-26,2007-09-11,2008-04-03,,https://patents.google.com/patent/WO2008039640A2/en,
US-7030137-B2,Substituted thiophenes with antibacterial activity ,"Replidyne, Inc.","John Berge, Richard Jarvest, Catherine Simone Victoire Frydrych, Joseph Guiles, Jian Qiu, Theodore M. Tarasow",2003-03-03,2004-02-27,2006-04-18,2006-04-18,https://patents.google.com/patent/US7030137B2/en,
AU-2002309772-B2,System for discovery of agents that block yersinia pestis and pseudomonas aeruginosa dna replication ,"Replidyne, Inc.","James M. Bullard, Nebojsa Janjic, Charles S. Mchenry",2001-05-14,2002-05-14,2008-08-21,2008-08-21,https://patents.google.com/patent/AU2002309772B2/en,
