search URL:,https://patents.google.com/?assignee=RESPONSE+GENETICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6602670-B2,Method of determining a chemotherapeutic regimen based on ERCC1 expression ,"Response Genetics, Inc.",Kathleen D. Danenberg,2000-12-01,2001-11-20,2003-08-05,2003-08-05,https://patents.google.com/patent/US6602670B2/en,https://patentimages.storage.googleapis.com/33/e5/16/216817283c1477/US06602670-20030805-D00001.png
US-6582919-B2,Method of determining epidermal growth factor receptor and HER2-neu gene expression and correlation of levels thereof with survival rates ,"Response Genetics, Inc.",Kathleen D. Danenberg,2001-06-11,2001-06-11,2003-06-24,2003-06-24,https://patents.google.com/patent/US6582919B2/en,https://patentimages.storage.googleapis.com/5b/e0/a3/235e1edd28ea2d/US06582919-20030624-D00001.png
EP-1379686-B1,Method of determining epidermal growth factor receptor and her2-neu gene expression and correlation of levels thereof with survival rates ,"Response Genetics, Inc.",Kathleen D. Danenberg,2000-12-01,2001-11-09,2012-09-05,2012-09-05,https://patents.google.com/patent/EP1379686B1/en,https://patentimages.storage.googleapis.com/65/17/e6/2e285ef543ad30/imgf0001.png
US-8026062-B2,Method of determining a chemotherapeutic regimen by assaying gene expression in primary tumors ,"Response Genetics, Inc.",Kathleen D. Danenberg,2000-12-01,2007-03-30,2011-09-27,2011-09-27,https://patents.google.com/patent/US8026062B2/en,https://patentimages.storage.googleapis.com/71/89/03/624fe86c0bf798/US08026062-20110927-D00001.png
US-2005071143-A1,Knowledge-based storage of diagnostic models ,"Quang Tran, Anderson Glenda G., Alejandrina Pattin, Cheryl Hornbaker","Quang Tran, Glenda Anderson, Alejandrina Pattin, Cheryl Hornbaker",2003-09-29,2004-06-04,2005-03-31,,https://patents.google.com/patent/US20050071143A1/en,https://patentimages.storage.googleapis.com/a6/b0/c1/7a2987ed28bd6b/US20050071143A1-20050331-D00000.png
US-2004009475-A1,Method of determining a chemotherapeutic regimen based on ERCC1 and TS expression ,Danenberg Kathleen D.,Kathleen Danenberg,2000-12-01,2001-06-11,2004-01-15,,https://patents.google.com/patent/US20040009475A1/en,https://patentimages.storage.googleapis.com/73/f0/80/da59ffaa882cbc/US20040009475A1-20040115-D00001.png
US-7005278-B2,Method of determining dihydropyrimidine dehydrogenase gene expression ,Danenberg Kathleen D,Kathleen D. Danenberg,2001-03-02,2001-06-13,2006-02-28,2006-02-28,https://patents.google.com/patent/US7005278B2/en,https://patentimages.storage.googleapis.com/67/95/0b/4a9e853142a364/US07005278-20060228-D00001.png
AU-2002249768-A1,Method of determining a chemotherapeutic regimen based on ERCC1 expression ,"Response Genetics, Inc.",Kathleen D. Danenberg,2000-12-01,2001-11-29,2003-02-20,,https://patents.google.com/patent/AU2002249768A1/en,
US-8977506-B2,Systems and methods for detecting biological features ,"Response Genetics, Inc.",Glenda G. Anderson,2003-09-29,2012-03-13,2015-03-10,2015-03-10,https://patents.google.com/patent/US8977506B2/en,https://patentimages.storage.googleapis.com/ba/df/c0/0cd612e6b83394/US08977506-20150310-D00000.png
EP-2464751-B1,"Methods, primers, probes and kits useful for the detection of braf mutations ","Response Genetics, Inc.","Craig Stephens, Kathleen Danenberg",2009-08-11,2010-08-10,2017-05-24,2017-05-24,https://patents.google.com/patent/EP2464751B1/en,https://patentimages.storage.googleapis.com/91/ed/ca/824c403a44bb3c/imgf0001.png
US-2009092979-A1,Methods for isolating long fragment rna from fixed samples ,"Response Genetics, Inc.",Kathleen Danenberg,2007-06-22,2008-06-23,2009-04-09,,https://patents.google.com/patent/US20090092979A1/en,https://patentimages.storage.googleapis.com/US20090092979A1/US20090092979A1-20090409-D00001.png
US-6518416-B1,Method of determining a chemotherapeutic regimen based on ERCC1 expression ,"Response Genetics, Inc.",Kathleen D. Danenberg,2000-12-01,2001-03-02,2003-02-11,2003-02-11,https://patents.google.com/patent/US6518416B1/en,https://patentimages.storage.googleapis.com/59/fa/14/a79487dbe0836d/US06518416-20030211-D00001.png
CN-100494398-C,Method of determining glutachione-S-transferase pi expression ,应答遗传公司,K·D·达南伯格,2001-06-14,2002-05-15,2009-06-03,2009-06-03,https://patents.google.com/patent/CN100494398C/en,
US-6956111-B2,Method of determining dihydropyrimidine dehydrogenase gene expression ,"Response Genetics, Inc.",Kathleen D. Danenberg,2001-03-02,2001-03-02,2005-10-18,2005-10-18,https://patents.google.com/patent/US6956111B2/en,https://patentimages.storage.googleapis.com/2d/c1/a8/a703a62bb82344/US06956111-20051018-D00001.png
US-7747547-B1,Systems and methods for diagnosing a biological specimen using probabilities ,"Pathwork Diagnostics, Inc.","Ljubomir J. Buturovic, Glenda G. Anderson",2007-10-31,2009-02-10,2010-06-29,2010-06-29,https://patents.google.com/patent/US7747547B1/en,
TW-I319010-B,Method of determining a chemotherapeutic regimen by assaying gene expression in primary tumors ,Response Genetics Inc,D Danenberg Kathleen,2000-12-01,2001-12-03,2010-01-01,2010-01-01,https://patents.google.com/patent/TWI319010B/en,
US-8936919-B2,Method for the detection and diagnosis of cancer involving primers and probes for the specific detection of the MAGE-A3-marker ,Glaxosmithkline Biologicals S.A.,"Gabriele Annemarie Beer, Thierry Coche, Olivier Gruselle, Dennis Salonga, Craig Lawrence Stephens",2006-06-21,2007-06-21,2015-01-20,2015-01-20,https://patents.google.com/patent/US8936919B2/en,https://patentimages.storage.googleapis.com/db/f7/86/f79452e58ed721/US08936919-20150120-D00001.png
CA-2796281-C,Kras primers and probes ,"Response Genetics, Inc., Craig Stephens, Cancer Genetics, Inc.",Craig Stephens,2010-04-12,2011-04-12,2016-10-11,2016-10-11,https://patents.google.com/patent/CA2796281C/en,
CA-2517384-C,Methods of determining a chemotherapeutic regimen based on loss of heterozygosity at the thymidylate synthase locus ,"Response Genetics, Inc., Kathleen D. Danenberg",Kathleen D. Danenberg,2003-02-27,2004-02-20,2013-01-22,2013-01-22,https://patents.google.com/patent/CA2517384C/en,
US-8473217-B1,Method and system for standardization of microarray data ,"Pathwork Diagnostics, Inc.","Ljubomir J. Buturovic, Glenda G. Anderson, Jorge Moraleda",2007-10-31,2009-02-10,2013-06-25,2013-06-25,https://patents.google.com/patent/US8473217B1/en,https://patentimages.storage.googleapis.com/45/0d/f7/356732ed7b238d/US08473217-20130625-D00001.png
US-10295540-B1,Systems and methods for phenotypic classification using biological samples of different sample types ,"Cancer Genetics, Inc.","Ljubomir J. Buturovic, Rajeswari Pillai Tadakamalla",2009-02-13,2010-02-12,2019-05-21,2019-05-21,https://patents.google.com/patent/US10295540B1/en,https://patentimages.storage.googleapis.com/10/be/68/c4960cb75a6a22/US10295540-20190521-D00001.png
WO-2011130635-A2,"Primers, probes, methods and kits for the detection of eml4-alk variants ","Response Genetics, Inc.",Stephens Craig,2010-04-16,2011-04-15,2011-10-20,,https://patents.google.com/patent/WO2011130635A2/en,
CN-101086024-A,Method of determining a chemotherapeutic regimen based on ERCC1 and TS expression ,应答遗传公司,K·D·达南伯格,2000-12-01,2001-11-09,2007-12-12,,https://patents.google.com/patent/CN101086024A/en,
WO-2012097368-A3,Her3 and her4 primers and probes for detecting her3 and her4 mrna expression ,"Response Genetics, Inc.",Craig Stephens,2011-01-14,2012-01-17,2014-04-10,,https://patents.google.com/patent/WO2012097368A3/en,
NZ-526709-A,Method of determining epidermal growth factor receptor and HER2-neu gene expression and correlation of levels thereof with survival rates ,Response Genetics Inc,Kathleen D Danenberg,2000-12-01,2001-11-09,2008-05-30,,https://patents.google.com/patent/NZ526709A/en,
IL-156272-D0,Method of determining a chemotherapeutic regimen based on ercci expression ,Response Genetics Inc,,2000-12-01,2001-11-29,2004-01-04,,https://patents.google.com/patent/IL156272D0/en,
WO-2013075110-A2,"A novel eml4-alk variant: primers, probes, methods, and kits for the detection thereof ","Response Genetics, Inc.","Craig Stephens, Martin Maus",2011-11-18,2012-11-19,2013-05-23,,https://patents.google.com/patent/WO2013075110A2/en,
IL-197283-D0,Method of determining dihydropyrimidine dehydrogenase gene expression ,"Response Genetics Inc, Kathleen D Danenberg",,2001-03-02,2009-02-26,2011-07-31,,https://patents.google.com/patent/IL197283D0/en,
