search URL:,https://patents.google.com/?assignee=RETROPHIN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6894026-B1,Long-acting oxytocin analogues for the treatment and prevention of breast cancer and psychiatric disorders ,"Atossa Healthcare, Inc.",Steven C. Quay,2000-01-11,2000-10-03,2005-05-17,2005-05-17,https://patents.google.com/patent/US6894026B1/en,
US-2004077540-A1,Compositions and methods for modulating physiology of epithelial junctional adhesion molecules for enhanced mucosal delivery of therapeutic compounds ,Nastech Pharmaceutical Company Inc.,Steven Quay,2002-06-28,2003-06-24,2004-04-22,,https://patents.google.com/patent/US20040077540A1/en,https://patentimages.storage.googleapis.com/c7/e3/41/1bc3ad76e55951/US20040077540A1-20040422-D00001.png
US-8167315-B2,"Mechanical sealing device, and a pump ",Roplan International Ab,Henrik Nedlich,2007-05-07,2008-05-07,2012-05-01,2012-05-01,https://patents.google.com/patent/US8167315B2/en,https://patentimages.storage.googleapis.com/d0/48/fc/56e202fb15482a/US08167315-20120501-D00000.png
AU-2017239508-B2,Pantothenate derivatives for the treatment of neurologic disorders ,"Retrophin, Inc.","Marek BIESTEK, Martin SHKRELI, Andrew Vaino",2012-04-27,2017-10-04,2019-05-23,2019-05-23,https://patents.google.com/patent/AU2017239508B2/en,
US-9023793-B2,Intranasal carbetocin formulations and methods for the treatment of autism ,"Retrophin, Inc.","Alexis Kays Leonard, Joshua Orion SESTAK, Henry R. Costantino, Anthony P. Sileno, Lalit Raj Peddakota, Kayvon Emile Sharghi, Garland M. Bellamy, Jason Philip Gesty, Steven C. Quay",2006-09-29,2011-08-05,2015-05-05,2015-05-05,https://patents.google.com/patent/US9023793B2/en,https://patentimages.storage.googleapis.com/9d/32/eb/466243c2abd68b/US09023793-20150505-D00001.png
ES-2701531-T3,Pantothenate derivatives for the treatment of neurological disorders ,Retrophin Inc,"Andrew Vaino, Marek Biestek, Martin Shkreli",2013-10-25,2014-10-27,2019-02-22,2019-02-22,https://patents.google.com/patent/ES2701531T3/en,
WO-2017099822-A1,Cyclic phosphates and cyclic phosphoramidates for the treatment of neurologic disorders ,"Retrophin, Inc.","Maria BECONI, Daniel Elbaum, Steven Harper, Savina Malancona",2015-12-08,2016-12-08,2017-06-15,,https://patents.google.com/patent/WO2017099822A1/en,
CA-3039819-A1,Biphenyl sulfonamide compounds for the treatment of kidney diseases or disorders ,"Retrophin, Inc., Radko KOMERS, Alvin SHIH","Radko KOMERS, Alvin SHIH",2016-10-13,2017-10-13,2018-04-19,,https://patents.google.com/patent/CA3039819A1/en,
WO-2016138436-A3,Tetracosactide complexed with zinc phosphate ,"Retrophin, Inc.","Dainius Macikenas, Kale Ruby, Elena KOROBETSKAYA",2015-02-26,2016-02-26,2016-10-20,,https://patents.google.com/patent/WO2016138436A3/en,
CA-3030749-A1,Pantetheine derivatives for the treatment of neurologic disorders ,"Retrophin, Inc., Maria BECONI, Daniel Elbaum, Savina Malancona","Maria BECONI, Daniel Elbaum, Savina Malancona",2016-07-25,2017-07-24,2018-02-01,,https://patents.google.com/patent/CA3030749A1/en,
WO-2018148313-A1,Solid fosmetpantotenate formulations ,"Retrophin, Inc.","Dainius Macikenas, Kale Ruby",2017-02-07,2018-02-07,2018-08-16,,https://patents.google.com/patent/WO2018148313A1/en,
