search URL:,https://patents.google.com/?assignee=REVANCE+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8398997-B2,Compositions and methods for topical application and transdermal delivery of botulinum toxins ,"Revance Therapeutics, Inc.","Michael D. Dake, Jacob M. Waugh",2004-03-03,2005-03-03,2013-03-19,2013-03-19,https://patents.google.com/patent/US8398997B2/en,https://patentimages.storage.googleapis.com/df/22/71/552b9b6101b88c/US08398997-20130319-D00001.png
US-5298019-A,Controlled administration of chemodenervating pharmaceuticals ,Associated Synapse Biologics,Gary E. Borodic,1990-08-21,1993-01-13,1994-03-29,1994-03-29,https://patents.google.com/patent/US5298019A/en,https://patentimages.storage.googleapis.com/f8/47/c5/a95e267d4a5d71/US5298019-drawings-page-3.png
US-5696077-A,Pharmaceutical composition containing botulinum B complex ,Associated Synapse Biologics,"Eric A. Johnson, Michael C. Goodnough, Gary E. Borodic",1992-06-23,1994-10-03,1997-12-09,1997-12-09,https://patents.google.com/patent/US5696077A/en,https://patentimages.storage.googleapis.com/a8/ed/da/66af8ac6c44b3f/US5696077-drawings-page-2.png
CN-1950100-B,Multi-component biological transport systems ,雷文斯治疗公司,"J·M·沃, M·D·戴克",2004-03-03,2005-03-03,2012-10-03,2012-10-03,https://patents.google.com/patent/CN1950100B/en,
US-7491403-B2,Pharmaceutical botulinum toxin compositions ,Botulinum Toxin Research Associates,Gary Borodic,2002-12-20,2003-12-22,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491403B2/en,
JP-5610659-B2,Multicomponent biological transport system ,"ルバンス セラピュティックス インク．Ｒｅｖａｎｃｅ Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．, ルバンス  セラピュティックス  インク．Ｒｅｖａｎｃｅ  Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．","ジェイコブ・ウォー, マイケル・デイク",2000-07-21,2001-07-20,2014-10-22,2014-10-22,https://patents.google.com/patent/JP5610659B2/en,https://patentimages.storage.googleapis.com/60/a4/6e/224e68512dac17/0005610659-6.png
US-5401243-A,Controlled administration of chemodenervating pharmaceuticals ,Associated Synapse Biologics,Gary E. Borodic,1990-08-21,1993-04-12,1995-03-28,1995-03-28,https://patents.google.com/patent/US5401243A/en,https://patentimages.storage.googleapis.com/3a/91/f0/e58ed7f670229f/US5401243-drawings-page-3.png
US-6429189-B1,Cytotoxin (non-neurotoxin) for the treatment of human headache disorders and inflammatory diseases ,"Botulinum Toxin Research Associates, Inc.",Gary E. Borodic,1999-12-10,1999-12-10,2002-08-06,2002-08-06,https://patents.google.com/patent/US6429189B1/en,https://patentimages.storage.googleapis.com/d0/14/15/96c5b2024c9351/US6429189-drawings-page-4.png
US-7691394-B2,High-potency botulinum toxin formulations ,"Botulinum Toxin Research Associates, Inc.",Gary E. Borodic,2002-05-28,2005-04-22,2010-04-06,2010-04-06,https://patents.google.com/patent/US7691394B2/en,https://patentimages.storage.googleapis.com/US7691394B2/US07691394-20100406-D00001.png
US-2005226821-A1,Cosmetic formulations containing l-arginine oligomers ,"Jacob Waugh, Michael Dake, Elkins Christopher J, Cifra Pamela N","Jacob Waugh, Michael Dake, Christopher Elkins, Pamela Cifra",2002-02-22,2003-02-21,2005-10-13,,https://patents.google.com/patent/US20050226821A1/en,
US-10080786-B2,Methods for treating pain by topical application and transdermal delivery of botulinum toxin ,"Revance Therapeutics, Inc.","Michael D Dake, Jacob M Waugh",2005-03-03,2015-11-09,2018-09-25,2018-09-25,https://patents.google.com/patent/US10080786B2/en,https://patentimages.storage.googleapis.com/97/2e/bd/555ad90eaa6c27/US10080786-20180925-D00001.png
US-10172877-B2,Compositions and methods for topical diagnostic and therapeutic transport ,"Revance Therapeutics, Inc.","Michael D. Dake, Jacob M. Waugh",2004-03-03,2015-03-09,2019-01-08,2019-01-08,https://patents.google.com/patent/US10172877B2/en,https://patentimages.storage.googleapis.com/88/87/36/2bd0a3daa91c7b/US10172877-20190108-D00000.png
JP-5866202-B2,Injectable botulinum toxin formulations ,"ルバンス セラピュティックス インク．Ｒｅｖａｎｃｅ Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．, ルバンス  セラピュティックス  インク．Ｒｅｖａｎｃｅ  Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．","カーティス エル． ルエッグ, カーティス  エル． ルエッグ, ホングラン エフ． ストーン, ホングラン  エフ． ストーン, ジェイコブ エム． ウォー, ジェイコブ  エム． ウォー",2008-12-31,2009-12-28,2016-02-17,2016-02-17,https://patents.google.com/patent/JP5866202B2/en,https://patentimages.storage.googleapis.com/5c/4b/83/c56923fe4539f2/0005866202-7.png
US-8022179-B2,Compositions and methods for topical application and transdermal delivery of an oligopeptide ,"Revance Therapeutics, Inc.","Michael D. Dake, Jacob M. Waugh",2005-03-03,2006-03-03,2011-09-20,2011-09-20,https://patents.google.com/patent/US8022179B2/en,https://patentimages.storage.googleapis.com/5a/0d/8b/ea6e91a8715762/US08022179-20110920-D00001.png
US-7459164-B2,Composition for therapeutic and cosmetic botulinum toxin ,"Botulinum Toxin Research Associates, Inc.",Gary Borodic,2002-05-28,2003-05-28,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459164B2/en,
CA-2600384-C,Compositions and methods for treating acne ,"Revance Therapeutics, Inc., Jacob M. Waugh, Jae Hoon Lee","Jacob M. Waugh, Jae Hoon Lee",2005-03-30,2006-03-30,2016-08-30,2016-08-30,https://patents.google.com/patent/CA2600384C/en,
US-8691769-B2,Treatment of sinusitis related chronic facial pain and headache with botulinum toxin injections ,"Botulinum Toxin Research Associates, Inc.","Gary Borodic, Martin Andrew Acquadro",2003-03-06,2004-03-08,2014-04-08,2014-04-08,https://patents.google.com/patent/US8691769B2/en,https://patentimages.storage.googleapis.com/a6/c1/e1/03b25c64cee53f/US08691769-20140408-D00001.png
AU-2001284665-A1,Multi-component Biological Transport Systems ,"Revance Therapeutics, Inc.","Michael Dake, Jacob Waugh",2000-07-21,2001-07-20,2002-05-02,,https://patents.google.com/patent/AU2001284665A1/en,
US-2010278867-A1,Use of botulinum toxin for the treatment of chronic facial pain ,Borodic Gary E,Gary E. Borodic,2001-01-09,2006-08-17,2010-11-04,,https://patents.google.com/patent/US20100278867A1/en,
US-8926991-B2,Botulinum toxin and the treatment of primary disorders of mood and affect ,"Botulinum Toxin Research Associates, Inc.",Gary E. Borodic,2005-06-14,2006-06-07,2015-01-06,2015-01-06,https://patents.google.com/patent/US8926991B2/en,https://patentimages.storage.googleapis.com/13/79/e1/7b27925c88276d/US08926991-20150106-D00001.png
US-8568740-B2,Compositions and methods of topical application and transdermal delivery of botulinum toxins with reduced non-toxin proteins ,"Revance Therapeutics, Inc.",Jacob M. Waugh,2005-11-17,2006-11-16,2013-10-29,2013-10-29,https://patents.google.com/patent/US8568740B2/en,
