search URL:,https://patents.google.com/?assignee=RITTER+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2016367579-A1,Prebiotic formulations and methods of use ,"Ritter Pharmaceuticals, Inc.","Andrew J. Ritter, Dennis Savaiano, David Barnes, Todd Klaenhammer",2009-02-24,2016-06-20,2016-12-22,,https://patents.google.com/patent/US20160367579A1/en,https://patentimages.storage.googleapis.com/1d/43/83/85dbd54c6badd3/US20160367579A1-20161222-D00001.png
US-8486668-B2,Prebiotic formulations and methods of use ,"Ritter Pharmaceuticals, Inc.","Andrew J. Ritter, Dennis Savaiano, David Barnes, Todd Klaenhammer",2009-02-24,2011-08-04,2013-07-16,2013-07-16,https://patents.google.com/patent/US8486668B2/en,https://patentimages.storage.googleapis.com/e1/4d/20/63cb8c1bbb6139/US08486668-20130716-D00001.png
US-2015004147-A1,Lactose Compositions With Decreased Lactose Content ,"Ritter Pharmaceuticals, Inc.",Andrew J. Ritter,2008-06-25,2014-02-03,2015-01-01,,https://patents.google.com/patent/US20150004147A1/en,https://patentimages.storage.googleapis.com/46/fe/7e/7e64dd749ab929/US20150004147A1-20150101-D00001.png
US-7029702-B2,Method for increasing lactose tolerance in mammals exhibiting lactose intolerance ,Ritter Natural Sciences Llc,Andrew J. Ritter,1998-07-07,1999-07-01,2006-04-18,2006-04-18,https://patents.google.com/patent/US7029702B2/en,
CA-2770274-C,Process for the production of ultrapure galacto-oligosaccharides ,"Inalco S.P.A., Silvia Giacomelli, Marco Manoni, Giovanni Cipolletti, Silvia Biagiolini, Luana Vagnoli, Jacopo Chini, Inalco S.A.S. Di Giovanni Cipolletti & C., Ritter Pharmaceuticals, Inc.","Silvia Giacomelli, Marco Manoni, Giovanni Cipolletti, Silvia Biagiolini, Luana Vagnoli, Jacopo Chini",2009-08-07,2010-08-06,2019-03-26,2019-03-26,https://patents.google.com/patent/CA2770274C/en,
US-2015087616-A1,Prebiotic formulations and methods of use ,"Ritter Pharmaceuticals, Inc.","Andrew J. Ritter, Dennis Savaiano, David Barnes, Todd Klaenhammer",2011-11-30,2012-11-30,2015-03-26,,https://patents.google.com/patent/US20150087616A1/en,https://patentimages.storage.googleapis.com/f5/ea/eb/dd239621d9cc8b/US20150087616A1-20150326-D00001.png
US-9226933-B2,Methods and compositions for treating lactose intolerance ,"Ritter Pharmaceuticals, Inc.",Andrew J. Ritter,2004-07-22,2008-03-26,2016-01-05,2016-01-05,https://patents.google.com/patent/US9226933B2/en,
US-2011223248-A1,Methods and compositions for treating lactose intolerance ,"Ritter Pharmaceuticals, Inc.",Andrew J. Ritter,2007-12-12,2011-04-08,2011-09-15,,https://patents.google.com/patent/US20110223248A1/en,
US-2013316972-A1,Prebiotic Formulations and Methods of Use ,"Ritter Pharmaceuticals, Inc.","Andrew J. Ritter, Dennis Savaiano, Kristina A. Fitzgerald, Marilyn R. Carlson",2010-02-17,2013-01-17,2013-11-28,,https://patents.google.com/patent/US20130316972A1/en,https://patentimages.storage.googleapis.com/6d/02/09/62f0951580b673/US20130316972A1-20131128-D00001.png
US-2017216328-A1,Methods and compositions for microbiome alteration ,"Ritter Pharmaceuticals, Inc.","Andrew Justin Ritter, Dennis Savaiano, Todd Klaenhammer",2014-04-04,2015-04-02,2017-08-03,,https://patents.google.com/patent/US20170216328A1/en,https://patentimages.storage.googleapis.com/c3/8d/a3/23b041d22637fb/US20170216328A1-20170803-D00001.png
WO-2015175412-A1,Methods and systems for galactooligosac-charides manufacture ,"Ritter Pharmaceuticals, Inc.",Andrew J. Ritter,2014-05-12,2015-05-11,2015-11-19,,https://patents.google.com/patent/WO2015175412A1/en,
WO-2018175879-A1,Methods of treating lactose intolerance and improving gastrointestinal health ,"Ritter Pharmaceuticals, Inc.","Andrew Justin RITTER, Dennis Savaiano, Todd Klaenhammer",2017-03-24,2018-03-23,2018-09-27,,https://patents.google.com/patent/WO2018175879A1/en,
