search URL:,https://patents.google.com/?assignee=SAGE+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2012304412-A1,"Neuroactive steroids, compositions, and uses thereof ","Sage Therapeutics, Inc.","Benny C. Askew Jr., Jean-Cosme DODART, Boyd L. Harrison, Albert J. Robichaud, Francesco G. Salituro, Ravindra B. Upasani",2011-09-08,2012-09-07,2014-03-27,,https://patents.google.com/patent/AU2012304412A1/en,
AU-2017208284-B2,"3,3 Disubstituted 19-Nor Pregnane Compounds, Compositions, and Uses Thereof ","Sage Therapeutics, Inc.","Benny C. Askew, Boyd L. Harrison, Albert J. Robichaud, Francesco G. Salituro, Ravindra B. Upasani",2011-10-14,2017-07-26,2019-01-31,2019-01-31,https://patents.google.com/patent/AU2017208284B2/en,
DK-2986623-T3,"19-nor-c3,3-disubstituted-C21 n-pyrazolylsteroider and methods of use thereof ",Sage Therapeutics Inc,"Gabriel Martinez Botella, Boyd L Harrison, Albert Jean Robichaud, Francesco G Salituro, Richard Thomas Beresis",2013-04-17,2014-04-17,2019-03-04,2019-03-04,https://patents.google.com/patent/DK2986623T3/en,
AU-2013212287-B2,Neuroactive steroid formulations and methods of treating CNS disorders ,"Sage Therapeutics, Inc.",Kiran Reddy,2012-01-23,2013-01-23,2017-11-23,2017-11-23,https://patents.google.com/patent/AU2013212287B2/en,
EP-2968369-B1,Neuroactive steroids and methods of use thereof ,"Sage Therapeutics, Inc.","Gabriel Martinez Botella, Boyd L. Harrison, Albert J. Robichaud, Francesco G. Salituro",2013-03-13,2014-03-13,2018-08-29,2018-08-29,https://patents.google.com/patent/EP2968369B1/en,
AU-2013305767-B2,Methods of treating epilepsy or status epilepticus ,"Sage Therapeutics, Inc.","Stephen Jay Kanes, Kiran Reddy",2012-08-21,2013-08-21,2018-05-24,2018-05-24,https://patents.google.com/patent/AU2013305767B2/en,
US-9676812-B2,"Neuroactive 19-alkoxy-17-substituted steroids, prodrugs thereof, and methods of treatment using same ","Washington University, Sage Therapeutics, Inc.","Douglas Covey, Albert Jean Robichaud",2012-12-18,2013-12-18,2017-06-13,2017-06-13,https://patents.google.com/patent/US9676812B2/en,
EP-3041935-A1,Antisense-induced exon2 inclusion in acid alpha-glucosidase ,"Sage Therapeutics, Inc., Murdoch University","Stephen Donald Wilton, Sue Fletcher, Gunnar James Hanson, Richard Keith Bestwick",2013-09-05,2014-09-05,2016-07-13,,https://patents.google.com/patent/EP3041935A1/en,
US-9365611-B2,19-NOR neuroactive steroids and methods of use thereof ,"Sage Therapeutics, Inc.","Gabriel MARTINEZ BOTELLA, Boyd L. Harrison, Albert Jean Robichaud, Francesco G. Salituro, Richard Thomas Beresis",2013-04-17,2014-04-17,2016-06-14,2016-06-14,https://patents.google.com/patent/US9365611B2/en,https://patentimages.storage.googleapis.com/b3/15/41/8d472fbd443fec/US09365611-20160614-D00001.png
AU-2018278924-A1,"Neuroactive steroids, compositions, and uses thereof ","Sage Therapeutics, Inc.","James J. Doherty, Kiran Reddy",2013-03-13,2018-12-12,2019-01-03,,https://patents.google.com/patent/AU2018278924A1/en,
