search URL:,https://patents.google.com/?assignee=SANTARUS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2005249806-A1,"Combination of proton pump inhibitor, buffering agent, and nonsteroidal anti-inflammatory drug ","Santarus, Inc.","Gerald Proehl, Kay Olmstead, Warren Hall",2004-02-10,2005-02-04,2005-11-10,,https://patents.google.com/patent/US20050249806A1/en,
AU-2004258984-B2,Immediate-release formulation of acid-labile pharmaceutical compositions ,"Santarus, Inc., The Curators Of The University Of Missouri","Jeffrey O. Phillips, Ken J. Widder",2003-07-23,2004-07-22,2011-02-10,2011-02-10,https://patents.google.com/patent/AU2004258984B2/en,
US-2005239845-A1,"Combination of proton pump inhibitor, buffering agent, and prokinetic agent ","Santarus, Inc.","Gerald Proehl, Warren Hall, Kay Olmstead, Bonnie Hepburn",2004-04-16,2005-04-15,2005-10-27,,https://patents.google.com/patent/US20050239845A1/en,
US-2004248942-A1,"Novel formulation, omeprazole antacid complex-immediate release for rapid and sustained suppression of gastric acid ","Bonnie Hepburn, Barry Goldlust","Bonnie Hepburn, Barry Goldlust",2003-02-20,2004-02-20,2004-12-09,,https://patents.google.com/patent/US20040248942A1/en,https://patentimages.storage.googleapis.com/76/58/44/97e927bf742e28/US20040248942A1-20041209-D00001.png
CA-2531564-C,Pharmaceutical composition for inhibiting acid secretion ,"Santarus, Inc., Warren Hall, Kay Olmstead, Laura Weston","Warren Hall, Kay Olmstead, Laura Weston",2003-07-18,2004-07-16,2016-01-19,2016-01-19,https://patents.google.com/patent/CA2531564C/en,
US-2005244517-A1,Combination of proton pump inhibitor and sleep aid ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Gerald Proehl",2003-11-05,2004-11-05,2005-11-03,,https://patents.google.com/patent/US20050244517A1/en,
US-8906940-B2,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc.","Kay Olmstead, Warren Hall, Gerald T. Proehl",2004-05-25,2005-05-25,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906940B2/en,https://patentimages.storage.googleapis.com/5b/70/4e/891b0d8bcdeeb7/US08906940-20141209-D00001.png
CA-2579177-C,"A novel formulation, omeprazole antacid complex-immediate release for rapid and sustained suppression of gastric acid ","Santarus, Inc., Bonnie Hepburn, Barry Goldlust","Bonnie Hepburn, Barry Goldlust",2004-09-10,2005-04-04,2017-01-10,2017-01-10,https://patents.google.com/patent/CA2579177C/en,
US-2004006111-A1,Transmucosal delivery of proton pump inhibitors ,"Kenneth Widder, Warren Hall, Kay Olmstead","Kenneth Widder, Warren Hall, Kay Olmstead",2002-01-25,2003-01-27,2004-01-08,,https://patents.google.com/patent/US20040006111A1/en,https://patentimages.storage.googleapis.com/73/e2/f7/c21a40206b2065/US20040006111A1-20040108-D00000.png
AU-2011200642-B2,Pharmaceutical formulation and method for treating acid-caused gastrointestinal disorders ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Laura Weston",2003-07-18,2011-02-15,2014-06-26,2014-06-26,https://patents.google.com/patent/AU2011200642B2/en,
US-8815916-B2,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc.","Kay Olmstead, Warren Hall, Gerald T. Proehl",2004-05-25,2005-11-28,2014-08-26,2014-08-26,https://patents.google.com/patent/US8815916B2/en,https://patentimages.storage.googleapis.com/cb/d3/b9/74301acbe48b7c/US08815916-20140826-D00001.png
US-8993599-B2,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Laura Weston",2003-07-18,2006-01-24,2015-03-31,2015-03-31,https://patents.google.com/patent/US8993599B2/en,https://patentimages.storage.googleapis.com/29/b7/94/5aa436b58369ab/US08993599-20150331-D00001.png
US-8431155-B1,Bromocriptine formulations ,Veroscience Llc,"Anthony H. Cincotta, Craig Michael Bowe, Paul Clark Stearns, Laura Jean Weston",2012-04-30,2012-04-30,2013-04-30,2013-04-30,https://patents.google.com/patent/US8431155B1/en,https://patentimages.storage.googleapis.com/bd/b5/46/36a2a1131c54e4/US08431155-20130430-D00000.png
US-10160808-B2,Anti-VLA1 (CD49A) antibody pharmaceutical compositions ,"Santarus, Inc.","Adam Jeremy Fowler, Craig Michael Bowe, Wayne Curtis Yount, Nathan Jeremy Cobb, Timothy Martin Kelly",2012-02-16,2013-02-14,2018-12-25,2018-12-25,https://patents.google.com/patent/US10160808B2/en,https://patentimages.storage.googleapis.com/46/dd/80/0fc54f569816e2/US10160808-20181225-D00001.png
AU-2012212194-B2,Selection and treatment of subjects ,"Santarus, Inc.",Mark Totoritis,2011-02-03,2012-02-02,2017-05-04,2017-05-04,https://patents.google.com/patent/AU2012212194B2/en,
CA-2665226-C,Novel formulations of proton pump inhibitors and methods of using these formulations ,"Santarus, Inc., Warren Hall, Laura Weston, Kay Olmstead, Laura Gallo, Craig Bowe","Warren Hall, Laura Weston, Kay Olmstead, Laura Gallo, Craig Bowe",2006-10-05,2007-10-05,2014-05-13,2014-05-13,https://patents.google.com/patent/CA2665226C/en,
US-2009092658-A1,Novel formulations of proton pump inhibitors and methods of using these formulations ,"Santarus, Inc.","Warren Hall, Laura Weston, Kay Olmstead, Laura Gallo, Craig Bowe",2007-10-05,2007-10-05,2009-04-09,,https://patents.google.com/patent/US20090092658A1/en,
US-2007292498-A1,"Combinations of proton pump inhibitors, sleep aids, buffers and pain relievers ","Warren Hall, Proehl Gerald T","Warren Hall, Gerald Proehl",2003-11-05,2007-06-15,2007-12-20,,https://patents.google.com/patent/US20070292498A1/en,
JP-6472063-B2,Methods for treating intestinal diseases which present with at least one inflammatory component ,"コスモ・テクノロジーズ・リミテツド, サンタラス， インコーポレイテッドＳａｎｔａｒｕｓ，Ｉｎｃ．, サンタラス，  インコーポレイテッドＳａｎｔａｒｕｓ，Ｉｎｃ．","モーロ ルイージ, モーロ ルイージ, トーマス プロール ジェラルド, トーマス  プロール ジェラルド, ワイレンガ ウェンデル, ワイレンガ ウェンデル, ファンチン フアン マイケル, ファンチン  フアン マイケル, デービッド バラード ザ セカンド エマーソン, デービッド  バラード  ザ  セカンド エマーソン",2012-02-13,2017-07-14,2019-02-20,2019-02-20,https://patents.google.com/patent/JP6472063B2/en,
US-10071058-B2,Controlled-release solid dosage forms of mesalamine ,"Santarus, Inc.","Craig Michael Bowe, John Christopher Carter, Dana Elaine MOSESON, Stephen Paul Levine",2012-03-07,2013-03-06,2018-09-11,2018-09-11,https://patents.google.com/patent/US10071058B2/en,https://patentimages.storage.googleapis.com/66/9b/50/dc7d5bb971a4de/US10071058-20180911-D00001.png
CA-2566655-C,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc., Kay Olmstead, Warren Hall, Gerald T. Proehl","Kay Olmstead, Warren Hall, Gerald T. Proehl",2004-05-25,2005-05-25,2013-04-16,2013-04-16,https://patents.google.com/patent/CA2566655C/en,
WO-2007086846-A1,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc.","Wareen Hall, Kay Olmstead, Laura Weston",2006-01-24,2006-01-24,2007-08-02,,https://patents.google.com/patent/WO2007086846A1/en,
US-10307421-B2,Bromocriptine formulations ,Veroscience Llc,"Anthony H. Cincotta, Craig Michael Bowe, Paul Clark Stearns, Laura Jean Weston",,2018-05-16,2019-06-04,2019-06-04,https://patents.google.com/patent/US10307421B2/en,https://patentimages.storage.googleapis.com/18/1a/0e/0912f6636a4ec3/US10307421-20190604-D00000.png
US-1263569-A,Grease-gun. ,William J Kunnecke,William J Kunnecke,1917-01-11,1917-01-11,1918-04-23,1918-04-23,https://patents.google.com/patent/US1263569A/en,https://patentimages.storage.googleapis.com/cb/b4/8d/046d15b2cb6102/US1263569-drawings-page-1.png
AU-2005331781-C1,Pharmaceutical formulations useful for inhibiting acid secretion ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Gerald T. Proehl",2004-05-25,2005-11-28,2013-04-04,2013-04-04,https://patents.google.com/patent/AU2005331781C1/en,
AU-2005204242-B2,"A novel formulation, omeprazole antacid complex-immediate release for rapid and sustained suppression of gastric acid ","Santarus, Inc., The Curators Of The University Of Missouri","Barry Goldlust, Bonnie Hepburn, Jeffrey O. Phillips",2003-02-20,2005-08-25,2009-10-01,2009-10-01,https://patents.google.com/patent/AU2005204242B2/en,
AU-2011265561-B2,Pharmaceutical formulations useful for inhibiting acid secretion and methods for making and using them ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Gerald T. Proehl",2004-05-25,2011-12-23,2012-11-08,2012-11-08,https://patents.google.com/patent/AU2011265561B2/en,
US-2016361394-A1,Treatment of hereditary angioedema with c1 inhibitor ,"Santarus, Inc.",Mark C. Totoritis,2014-02-28,2015-02-27,2016-12-15,,https://patents.google.com/patent/US20160361394A1/en,https://patentimages.storage.googleapis.com/76/4a/00/355e6a68c1fb4c/US20160361394A1-20161215-D00001.png
AU-2014233597-A1,Pharmaceutical formulation and method for treating acid-caused gastrointestinal disorders ,"Santarus, Inc.","Warren Hall, Kay Olmstead, Laura Weston",2003-07-18,2014-09-25,2014-10-16,,https://patents.google.com/patent/AU2014233597A1/en,
MX-PA05008804-A,"A novel formulation, omeprazole antacid complex-immediate release for rapid and sustained supression of gastric acid. ",Santarus Inc,Barry Goldlust,2003-02-20,2004-02-20,2006-05-25,,https://patents.google.com/patent/MXPA05008804A/en,
