search URL:,https://patents.google.com/?assignee=SCYNEXIS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
ES-2373450-T3,Cyclosporin derivatives substituted 3-ether and thioether 3 for the treatment and prevention of hepatitis C infection. ,"Scynexis, Inc.","Hans Georg Fliri, David Renwick Houck",2004-10-01,2005-09-30,2012-02-03,2012-02-03,https://patents.google.com/patent/ES2373450T3/en,
AU-722858-B2,Cyclosporin derivatives having an anti-HIV effect ,"Scynexis, Inc.",Jean M. Luchinger,1995-07-17,1996-07-17,2000-08-10,2000-08-10,https://patents.google.com/patent/AU722858B2/en,
AU-760168-B2,Novel cyclosporins ,"Scynexis, Inc.","Horst-Dieter Ambrosi, Dagmar Brossner, Ernst Ellmerer-Mueller, Gunter Fischer, Gerhard Jas, Najib Maslouh",1998-06-12,1999-06-10,2003-05-08,2003-05-08,https://patents.google.com/patent/AU760168B2/en,
US-7196161-B2,3-ether and 3-thioether substituted cyclosporin derivatives for the treatment and prevention of hepatitis C infection ,Scynexis Inc.,"Hans Georg Fliri, David Renwick Houck",2004-10-01,2005-09-30,2007-03-27,2007-03-27,https://patents.google.com/patent/US7196161B2/en,
US-8329658-B2,Arylalkyl and heteroarylalkyl derivatives of cyclosporine A for the treatment and prevention of viral infection ,"Scynexis, Inc.","David Renwick Houck, Keqiang Li",2005-09-30,2006-10-02,2012-12-11,2012-12-11,https://patents.google.com/patent/US8329658B2/en,
US-8188052-B2,Method for the treatment and prevention of ocular disorders ,"Scynexis, Inc.",David Renwick Houck,2006-05-19,2007-05-18,2012-05-29,2012-05-29,https://patents.google.com/patent/US8188052B2/en,
US-7754685-B2,Methods and pharmaceutical compositions for the treatment and prevention of hepatitis C infection ,"Scynexis, Inc.",David Renwick Houck,2005-09-30,2006-10-02,2010-07-13,2010-07-13,https://patents.google.com/patent/US7754685B2/en,https://patentimages.storage.googleapis.com/54/9c/12/6d2f63f85b7b5f/US07754685-20100713-D00001.png
US-2010227801-A1,Pharmaceutical compositions ,"Scynexis, Inc.",Samuel Earl Hopkins,2009-01-07,2010-01-07,2010-09-09,,https://patents.google.com/patent/US20100227801A1/en,https://patentimages.storage.googleapis.com/85/08/41/4029e97331f421/US20100227801A1-20100909-D00001.png
US-7470787-B2,Isoquinoline compounds ,"Aerie Pharmaceuticals, Inc.","Mitchell A. deLong, Marcos L. Sznaidman, Robert H. Oakley, Allen E. Eckhardt, Christine Hudson, Jeffrey D. Yingling, Michael Peel, Thomas E. Richardson, Claire Louise Murray, Byappanahally N. Narasinga Rao, Brian H. Heasley, Paresma R. Patel",2005-07-11,2006-07-11,2008-12-30,2008-12-30,https://patents.google.com/patent/US7470787B2/en,
US-8614221-B2,Inhibitors of Akt activity ,"Merck Sharp & Dohme Corp., Msd K.K.","Weiming Fan, Thomas F. N. Haxell, Matthew G. Jenks, Nobuhiko Kawanishi, Shuliang Lee, Hao Liu, Michael J. Malaska, Joseph A. Moore, III, Yoshio Ogino, Yu Onozaki, Bharathi Pandi, Michael R. Peel, Toshihiro Sakamoto, Tony Siu",2009-03-11,2010-03-10,2013-12-24,2013-12-24,https://patents.google.com/patent/US8614221B2/en,
AU-2009334790-B2,Derivatives of cyclosporin A ,"Scynexis, Inc.","David Renwick Houck, Kequiang Li, Cyprian Okwara Ogbu, Michael Robert Peel, Andrew William Scribner",2008-12-31,2009-12-30,2016-09-08,2016-09-08,https://patents.google.com/patent/AU2009334790B2/en,
US-2008255038-A1,Pharmaceutical compositions ,"Samuel Earl Hopkins, Michael Robert Peel","Samuel Earl Hopkins, Michael Robert Peel",2007-04-11,2008-04-10,2008-10-16,,https://patents.google.com/patent/US20080255038A1/en,
US-7576057-B2,Cyclic peptides ,"Scynexis, Inc.","Andrew William Scribner, David Renwick Houck",2006-11-20,2007-11-19,2009-08-18,2009-08-18,https://patents.google.com/patent/US7576057B2/en,
US-6500609-B1,Method and apparatus for synthesizing characterizing and assaying combinatorial libraries ,"Scynexis Chemistry & Automation, Inc.","Yves Ribeill, Pierre Monnet, Jaleh Azmi Abedi, Henry David Smith, III, Susan Marie McComb",1999-02-11,1999-02-11,2002-12-31,2002-12-31,https://patents.google.com/patent/US6500609B1/en,
US-6413431-B1,HPLC method for purifying organic compounds ,"Scynexis Chemistry & Automation, Inc.",Jaleh Abedi,1999-08-10,2000-07-26,2002-07-02,2002-07-02,https://patents.google.com/patent/US6413431B1/en,https://patentimages.storage.googleapis.com/6a/e1/dd/0eacb393518e9c/US06413431-20020702-D00001.png
US-2010173837-A1,"Dosing forms and regimens comprising 3-[(r)-2-(n,n-dimethylamino)ethylthio-sar]-4-(gammahydroxymethylleucine)cyclosporine ","Scynexis, Inc.",Samuel Earl Hopkins,2009-01-07,2010-01-07,2010-07-08,,https://patents.google.com/patent/US20100173837A1/en,https://patentimages.storage.googleapis.com/12/f4/29/ccf7f6f14458ca/US20100173837A1-20100708-D00001.png
US-6387273-B1,Sample preparation for high throughput purification ,"Scynexis Chemistry & Automation, Inc.",Jaleh Abedi,1999-08-27,2000-08-25,2002-05-14,2002-05-14,https://patents.google.com/patent/US6387273B1/en,
WO-2008143996-A1,New chemical processes ,"Scynexis, Inc.",Keqiang Li,2007-05-18,2008-05-16,2008-11-27,,https://patents.google.com/patent/WO2008143996A1/en,
US-2011144005-A1,Novel cyclic peptides ,"Scynexis, Inc.","Keqiang Li, Michael Robert Peel",2009-12-09,2010-12-09,2011-06-16,,https://patents.google.com/patent/US20110144005A1/en,
US-9090671-B2,Macrocyclic peptides ,"Scynexis, Inc.","Keqiang Li, Ahmed Mamai, Michael Robert Peel",2008-06-06,2009-06-05,2015-07-28,2015-07-28,https://patents.google.com/patent/US9090671B2/en,
