search URL:,https://patents.google.com/?assignee=SERES+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2014212004-B2,Compositions for treating or preventing or reducing the severity of clostridium difficile related diseases ,"Seres Therapeutics, Inc.","John G. Aunins, David A. Berry, David Cook, Brian Goodman, Matthew R. HENN, Gregory Mckenzie, Mary-Jane Lombardo Mckenzie, Geoffrey Von Maltzahn, Marin VULIC, Jonathan WINKLER",2013-02-04,2014-02-04,2018-09-20,2018-09-20,https://patents.google.com/patent/AU2014212004B2/en,
US-8906668-B2,Synergistic bacterial compositions and methods of production and use thereof ,"Seres Health, Inc.","Matthew R. Henn, Geoffrey von Maltzahn, Anthony Mario D'Onofrio, Kevin Daniel Litcofsky, David A. Berry, David N. Cook, Noubar B. Afeyan, John Grant Aunins",2012-11-23,2013-11-26,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906668B2/en,https://patentimages.storage.googleapis.com/c9/4e/83/8be0d16abbbca8/US08906668-20141209-D00001.png
US-9956282-B2,Bacterial compositions and methods of use thereof for treatment of immune system disorders ,"Seres Therapeutics, Inc.","David N. Cook, David Arthur Berry, Geoffrey von Maltzahn, Matthew R. Henn, Han Zhang, Brian Goodman",2013-12-16,2014-12-16,2018-05-01,2018-05-01,https://patents.google.com/patent/US9956282B2/en,https://patentimages.storage.googleapis.com/3f/f0/0b/02e96d88c3562e/US09956282-20180501-D00001.png
US-2016040215-A1,Methods for Pathogen Detection and Enrichment from Materials and Compositions ,"Seres Therapeutics, Inc.","Matthew R. Henn, John Grant Aunins, David Arthur Berry, David N. Cook",2013-03-14,2014-03-14,2016-02-11,,https://patents.google.com/patent/US20160040215A1/en,https://patentimages.storage.googleapis.com/01/c2/9a/2a1dc56fdd5db8/US20160040215A1-20160211-D00001.png
US-10076546-B2,Network-based microbial compositions and methods ,"Seres Therapeutics, Inc.","Matthew R. Henn, David N. Cook, Toshiro K. Ohsumi, Mary-Jane Lombardo McKenzie, Kevin D. Litcofsky, Han Zhang, John Grant Aunins, David Berry",2013-03-15,2014-03-17,2018-09-18,2018-09-18,https://patents.google.com/patent/US10076546B2/en,https://patentimages.storage.googleapis.com/67/67/7e/23a8f59c2acfbe/US10076546-20180918-D00001.png
US-2016158295-A1,Compositions and Methods ,"Seres Therapeutics, Inc.","Noubar B. Afeyan, Mary-Jane Lombardo McKenzie, Kevin Daniel Litcofsky, David N. Cook, Matthew R. Henn, Geoffrey von Maltzahn",2013-02-04,2014-02-04,2016-06-09,,https://patents.google.com/patent/US20160158295A1/en,https://patentimages.storage.googleapis.com/09/fd/20/00b023c0219e52/US20160158295A1-20160609-D00001.png
US-10258655-B2,Synergistic bacterial compositions and methods of production and use thereof ,"Seres Therapeutics, Inc.","Matthew R. Henn, Kevin Daniel Litcofsky, Anthony Mario D'Onofrio, Toshiro K. Ohsumi, Mary-Jane Lombardo McKenzie, Geoffrey von Maltzahn, David N. Cook, David Arthur Berry, Noubar B. Afeyan, John Grant Aunins",2013-11-25,2014-11-25,2019-04-16,2019-04-16,https://patents.google.com/patent/US10258655B2/en,https://patentimages.storage.googleapis.com/fa/12/fb/f22aa15fb05d34/US10258655-20190416-D00001.png
AU-2013347805-C1,Synergistic bacterial compositions and methods of production and use thereof ,"Seres Therapeutics, Inc.","Noubar B. Afeyan, John G. Aunins, David A. Berry, David Cook, Anthony Mario D'ONOFRIO, Matthew R. HENN, Kevin Daniel LITCOFSKY, Geoffrey Von Maltzahn",2012-11-23,2013-11-25,2018-06-28,2018-06-28,https://patents.google.com/patent/AU2013347805C1/en,
CA-3006187-A1,Designed bacterial compositions ,"Seres Therapeutics, Inc., Julie BUTTON, David Cook, Matthew HENN, Mary-Jane Lombardo Mckenzie, Kevin LITCOFSKY, Asuncion Martinez, Gregory Mckenzie, Madhumitha NANDAKUMAR, Marin VULIC, Jennifer WORTMAN","Julie BUTTON, David Cook, Matthew HENN, Mary-Jane Lombardo Mckenzie, Kevin LITCOFSKY, Asuncion Martinez, Gregory Mckenzie, Madhumitha NANDAKUMAR, Marin VULIC, Jennifer WORTMAN",2015-11-24,2016-11-23,2017-06-01,,https://patents.google.com/patent/CA3006187A1/en,
US-2018200308-A1,Methods of treating colitis ,"Seres Therapeutics, Inc.","David Cook, Matthew HENN, Jennifer Lachey",2015-07-08,2016-07-08,2018-07-19,,https://patents.google.com/patent/US20180200308A1/en,https://patentimages.storage.googleapis.com/05/37/df/6661cb3b547b65/US20180200308A1-20180719-D00000.png
WO-2019036510-A1,Compositions and methods for treating cholestatic disease ,"Seres Therapeutics, Inc.","Madhumitha NANDAKUMAR, Alice Peiyu LIOU, Elizabeth Moritz HALVORSEN, Gregory Mckenzie, Edward J. O'brien, David Cook",2017-08-14,2018-08-14,2019-02-21,,https://patents.google.com/patent/WO2019036510A1/en,
WO-2019070913-A1,Manipulation of tryptamine metabolism ,"Seres Therapeutics, Inc.","Edward J. O'brien, Asuncion Martinez",2017-10-03,2018-10-03,2019-04-11,,https://patents.google.com/patent/WO2019070913A1/en,
WO-2019089643-A1,Compositions and methods for treating antibiotic resistance ,"Seres Therapeutics, Inc.","Christopher Burton FORD, Jessica BRYANT, Edward J. O'brien",2017-10-30,2018-10-30,2019-05-09,,https://patents.google.com/patent/WO2019089643A1/en,
