search URL:,https://patents.google.com/?assignee=SGX+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7452993-B2,Fused ring heterocycle kinase modulators ,"Sgx Pharmaceuticals, Inc.","William D. Arnold, Andreas Gosberg, Zhe Li, Ruo W. Steensma, Mark E. Wilson",2004-07-27,2005-07-27,2008-11-18,2008-11-18,https://patents.google.com/patent/US7452993B2/en,
US-7582637-B2,Pyrrolo-pyridine kinase modulators ,"Sgx Pharmaceuticals, Inc.","William D. Arnold, Pierre-Yves Bounaud, Andreas Gosberg, Zhe Li Bounaud, Ian McDonald, Ruo W. Steensma, Mark E. Wilson",2004-07-27,2008-02-29,2009-09-01,2009-09-01,https://patents.google.com/patent/US7582637B2/en,
US-7626021-B2,Fused ring heterocycle kinase modulators ,"Sgx Pharmaceuticals, Inc.","William D. Arnold, Pierre Bounaud, Chixu Chen, Brian Eastman, Andreas Gosberg, Stefan N. Gradl, Stephanie Hopkins, Zhe Li, Ian McDonald, Paul A. Sprengeler, Ruo W. Steensma, Mark E. Wilson",2004-07-27,2007-04-10,2009-12-01,2009-12-01,https://patents.google.com/patent/US7626021B2/en,
US-7709645-B2,Pyrrolo-pyridine kinase modulators ,"Sgx Pharmaceuticals, Inc.","William D Arnold, Pierre Bounaud, Chixu Chen, Brian Eastman, Andreas Gosberg, Stefan N. Gradl, Stephanie Hopkins, Zhe Li, Ian McDonald, Paul A. Sprengeler, Ruo W. Steensma, Mark E. Wilson",2004-07-27,2007-04-10,2010-05-04,2010-05-04,https://patents.google.com/patent/US7709645B2/en,
US-8071581-B2,Triazolopyridazine protein kinase modulators ,"Sgx Pharmaceuticals, Inc.","Christopher Ronald Smith, Pierre-Yves Bounaud, Elizabeth Anne Jefferson, Patrick S. Lee, Eduardo Torres",2006-10-23,2007-10-18,2011-12-06,2011-12-06,https://patents.google.com/patent/US8071581B2/en,https://patentimages.storage.googleapis.com/1f/30/2f/817640c8723db3/US08071581-20111206-D00000.png
US-7361764-B2,Pyrrolo-pyridine kinase modulators ,"Sgx Pharmaceuticals, Inc.","William D. Arnold, Pierre Bounaud, Andreas Gosberg, Zhe Li, Ian McDonald, Ruo W. Steensma, Mark E. Wilson",2004-07-27,2006-02-27,2008-04-22,2008-04-22,https://patents.google.com/patent/US7361764B2/en,
US-8158647-B2,Substituted pyrrolopyridines and pyrazolopyridines as kinase modulators ,"Sgx Pharmaceuticals, Inc.","Jeffrey M. Blaney, Andreas Gosberg, Stefan N. Gradl, Gavin Hirst, Stephanie A. Hopkins, Paul A. Sprengeler, Ruo W. Steensma, Johnny Uy",2007-05-29,2008-05-29,2012-04-17,2012-04-17,https://patents.google.com/patent/US8158647B2/en,https://patentimages.storage.googleapis.com/17/d5/41/a68974352c7257/US08158647-20120417-D00001.png
US-8242280-B2,Fused ring heterocycle kinase modulators ,"Sgx Pharmaceuticals, Inc.","Chixu Chen, Brian Eastman, Andreas Gosberg, Stefan N. Gradl, Gavin Hirst, Stephanie Hopkins, Khanh Thi Tuong Nguyen, Richard Pracitto, Paul E. Sprengeler, Ruo W. Steensma",2007-04-10,2008-04-10,2012-08-14,2012-08-14,https://patents.google.com/patent/US8242280B2/en,https://patentimages.storage.googleapis.com/6e/9a/5b/dcf6be97523c3b/US08242280-20120814-D00001.png
US-6656267-B2,Tray for macromolecule crystallization and method of using the same ,"Structural Genomix, Inc.",Janet Newman,2001-07-10,2001-07-10,2003-12-02,2003-12-02,https://patents.google.com/patent/US6656267B2/en,https://patentimages.storage.googleapis.com/89/7e/d4/1a98414f413c9b/US06656267-20031202-D00000.png
EP-2084162-B1,Bicyclic triazoles as protein kinase modulators ,"SGX Pharmaceuticals, Inc.","Pierre-Yves Bounaud, Christopher Ronald Smith, Elizabeth Anne Jefferson",2006-10-23,2007-10-18,2012-09-12,2012-09-12,https://patents.google.com/patent/EP2084162B1/en,https://patentimages.storage.googleapis.com/c2/5b/f2/104e6342e52abb/imgf0001.png
