search URL:,https://patents.google.com/?assignee=SIRTRIS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2006278397-B2,Oxazolopyridine derivatives as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","David Armistead, Jean Bemis, Jeremy S. Disch, Jill Milne, Pui Yee Ng, Joseph J. Nunes, Thomas Salzmann, Chi B. Vu, Roger Xie",2005-08-04,2006-08-04,2013-01-17,2013-01-17,https://patents.google.com/patent/AU2006278397B2/en,
AU-2006204699-B2,Novel compositions for preventing and treating neurodegenerative and blood coagulation disorders ,"Sirtris Pharmaceuticals, Inc.","Michelle Dipp, Peter Elliot, Jennifer Fujii, Michael Milburn, Jill Milne, Karl D. Normington, Christopher H. Westphal",2005-01-13,2006-01-13,2012-04-26,2012-04-26,https://patents.google.com/patent/AU2006204699B2/en,
US-7998974-B2,Fused heterocyclic compounds and their use as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne, Jean Bemis, Joseph J. Nunes, Roger Xie, Karl D. Normington, Chi B. Vu",2005-03-03,2006-03-03,2011-08-16,2011-08-16,https://patents.google.com/patent/US7998974B2/en,
AU-2006269459-B2,"Methods and related compositions for treating or preventing obesity, insulin resistance disorders, and mitochondrial-associated disorders ","Sirtris Pharmaceuticals, Inc.","Carmen Argmann, Johan Auwerx, Michelle Dipp, Marie Lagouge, Michael Milburn, Jill Milne",2005-07-07,2006-07-07,2013-02-07,2013-02-07,https://patents.google.com/patent/AU2006269459B2/en,
US-8093401-B2,Sirtuin modulating compounds ,"Sirtris Pharmaceuticals, Inc.","Joseph J. Nunes, Jill Milne, Jean Bemis, Roger Xie, Chi B. Vu, Pui Yee Ng, Jeremy S. Disch",2005-08-04,2006-08-04,2012-01-10,2012-01-10,https://patents.google.com/patent/US8093401B2/en,https://patentimages.storage.googleapis.com/2e/ab/a0/79c720cf8be9ee/US08093401-20120110-D00001.png
AU-2008266746-B2,Sirtuin modulating imidazothiazole compounds ,Glaxosmithkline Llc,"Jean Bemis, Jeremy S. Disch, Michael Jirousek, Walter Joseph Lunsmann, Pui Yee Ng, Chi B. Vu",2007-06-20,2008-06-20,2012-03-15,2012-03-15,https://patents.google.com/patent/AU2008266746B2/en,
AU-2006230478-B2,Treatment of eye disorders with sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Michelle Dipp, Michael Milburn, Christopher R. Westphal",2005-03-30,2006-03-30,2011-12-22,2011-12-22,https://patents.google.com/patent/AU2006230478B2/en,
US-2007248590-A1,Modulators of CDC2-like kinases (CLKS) and methods of use thereof ,"Sirtris Pharmaceuticals, Inc.","Jill Milne, Karl Normington, Pere Puigserver, Joseph Rodgers",2005-12-02,2006-12-01,2007-10-25,,https://patents.google.com/patent/US20070248590A1/en,https://patentimages.storage.googleapis.com/48/af/c1/d4a4d4d2a0f207/US20070248590A1-20071025-D00000.png
US-2007149466-A1,"Methods and related compositions for treating or preventing obesity, insulin resistance disorders, and mitochondrial-associated disorders ","Michael Milburn, Jill Milne, Johan Auwerx, Carmen Argmann, Marie Lagouge, Michelle Dipp","Michael Milburn, Jill Milne, Johan Auwerx, Carmen Argmann, Marie Lagouge, Michelle Dipp",2005-07-07,2006-03-16,2007-06-28,,https://patents.google.com/patent/US20070149466A1/en,https://patentimages.storage.googleapis.com/0e/a5/1e/cba272be8f0dfa/US20070149466A1-20070628-D00001.png
US-2006229265-A1,Nicotinamide riboside and analogues thereof ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne, Karl Normington, Joseph Nunes, Thomas Salzmann, David Sinclair, Christoph Westphal",2005-03-30,2006-03-30,2006-10-12,,https://patents.google.com/patent/US20060229265A1/en,https://patentimages.storage.googleapis.com/eb/cc/28/35f2a4138d3919/US20060229265A1-20061012-D00001.png
US-2009163476-A1,N-Phenyl Benzamide Derivatives as Sirtuin Modulators ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne, Jean Bemis, Joseph J. Nunes, Roger Xie, Karl D. Normington, Chi B. Vu",2005-03-03,2006-03-03,2009-06-25,,https://patents.google.com/patent/US20090163476A1/en,
US-2006276416-A1,Methods and compositions for treating flushing and drug induced weight gain ,"Sirtris Pharmaceuticals, Inc.","David Sinclair, Robert Langer, Christoph Westphal, Michael Milburn",2005-01-20,2006-01-20,2006-12-07,,https://patents.google.com/patent/US20060276416A1/en,https://patentimages.storage.googleapis.com/38/23/6e/bca80141dba7a9/US20060276416A1-20061207-D00001.png
US-7855289-B2,Sirtuin modulating compounds ,"Sirtris Pharmaceuticals, Inc.","Joseph J. Nunes, Jill Milne, Jean Bemis, Roger Xie, Chi B. Vu, Pui Yee Ng, Jeremy S. Disch, Thomas Salzmann, David Armistead",2005-08-04,2006-08-04,2010-12-21,2010-12-21,https://patents.google.com/patent/US7855289B2/en,https://patentimages.storage.googleapis.com/22/bb/ff/4b0659a5db5508/US07855289-20101221-D00001.png
US-2009069301-A1,Acridine and Quinoline Derivatives as Sirtuin Modulators ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne, Jean Bemis, Joseph J. Nunes, Roger Xie, Karl D. Normington",2005-03-03,2006-03-03,2009-03-12,,https://patents.google.com/patent/US20090069301A1/en,
US-9556201-B2,Bicyclic pyridines and analogs as sirtuin modulators ,Glaxosmithkline Llc,"Pui Yee Ng, Charles Blum, Lauren Mcpherson, Robert B. Perni, Chi B. Vu, Mohammed Mahmood Ahmed, Jeremy S. Disch",2009-10-29,2010-10-29,2017-01-31,2017-01-31,https://patents.google.com/patent/US9556201B2/en,
US-8268862-B2,Sirtuin modulating compounds ,"Sirtris Pharmaceuticals, Inc.","Jean Bemis, Jeremy S. Disch, Pui Yee Ng, Christopher Oalmann, Robert B. Perni, Chi B. Vu",2007-06-20,2011-01-24,2012-09-18,2012-09-18,https://patents.google.com/patent/US8268862B2/en,
US-8088928-B2,Sirtuin modulating compounds ,"Sirtris Pharmaceuticals, Inc.","Joseph J. Nunes, Jill Milne, Jean Bemis, Roger Xie, Chi B. Vu, Pui Yee Ng, Jeremy S. Disch, Thomas Salzmann, David Armistead",2005-08-04,2006-08-04,2012-01-03,2012-01-03,https://patents.google.com/patent/US8088928B2/en,https://patentimages.storage.googleapis.com/d3/c2/78/29b3ef4a0e4f0b/US08088928-20120103-D00001.png
US-2006292099-A1,Treatment of eye disorders with sirtuin modulators ,"Michael Milburn, Westphal Christoph H, Livingston David J, Peter Elliott, Philip Lambert, Normington Karl D","Michael Milburn, Christoph Westphal, David Livingston, Peter Elliott, Philip Lambert, Karl Normington",2005-05-25,2006-05-24,2006-12-28,,https://patents.google.com/patent/US20060292099A1/en,https://patentimages.storage.googleapis.com/f6/15/14/0fc00e508475e6/US20060292099A1-20061228-D00000.png
AU-2009243006-B2,Quinolines and related analogs as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Charles A. Blum, Jeremy S. Disch, Robert R. Perni, Stephanie K. Springer, Chi B. Vu",2008-05-01,2009-04-30,2013-03-21,2013-03-21,https://patents.google.com/patent/AU2009243006B2/en,
US-2010215632-A1,Biomarkers of sirtuin activity and methods of use thereof ,"Sirtris Pharmaceuticals, Inc.","Olivier Boss, Siva Worcester, Andre Iffland, Jesse Smith, Jill Milne, Michael Jirousek",2007-03-19,2008-03-19,2010-08-26,,https://patents.google.com/patent/US20100215632A1/en,https://patentimages.storage.googleapis.com/56/a7/d9/0cfaea295d7e37/US20100215632A1-20100826-D00001.png
US-2011077248-A1,Imidazopyridine and related analogs as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Chi B. Vu, Pui Yee Ng, Charles A. Blum, Robert B. Perni",2008-05-29,2009-05-28,2011-03-31,,https://patents.google.com/patent/US20110077248A1/en,
US-9957271-B2,Substituted bicyclic aza-heterocycles and analogues as sirtuin modulators ,Glaxosmithkline Llc,"Rebecca L. Casaubon, Radha Narayan, Christopher Oalmann, Chi B. Vu",2011-10-20,2012-10-19,2018-05-01,2018-05-01,https://patents.google.com/patent/US9957271B2/en,
US-8492401-B2,Thiazolopyridine sirtuin modulating compounds ,Glaxosmithkline Llc,"Christopher Oalmann, Jeremy S Disch, Pui Yee Ng, Robert B Perni",2008-12-19,2012-11-15,2013-07-23,2013-07-23,https://patents.google.com/patent/US8492401B2/en,
AU-2010221417-A1,8-substituted quinolines and related analogs as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Rebecca L. Casaubon, Chi B. Vu",2009-03-02,2010-03-02,2011-09-22,,https://patents.google.com/patent/AU2010221417A1/en,
WO-2006094209-A2,N-benzimidazolylalkyl-substituted amide sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne, Karl D. Normington",2005-03-03,2006-03-03,2006-09-08,,https://patents.google.com/patent/WO2006094209A2/en,
WO-2008073451-A2,Benzoimidazole derivatives as sirtuin (sir) modulating compounds ,"Sirtris Pharmaceuticals, Inc.","Jean Bemis, Chi B. Vu, Joseph J. Nunes, David Armistead",2006-12-11,2007-12-11,2008-06-19,,https://patents.google.com/patent/WO2008073451A2/en,
AU-2009295948-B2,"Quinazolinone, quinolone and related analogs as sirtuin modulators ","GlaxoSmithKline, LLC","Christopher Oalmann, Robert B. Perni, Chi B. Vu, Brian White",2008-09-29,2009-09-29,2013-12-05,2013-12-05,https://patents.google.com/patent/AU2009295948B2/en,
WO-2006078941-A2,Novel sirtuin activating compounds and methods of use thereof ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jens W. Eckstein",2005-01-20,2006-01-20,2006-07-27,,https://patents.google.com/patent/WO2006078941A2/en,
US-2011263564-A1,"Pyridine, bicyclic pyridine and related analogs as sirtuin modulators ","Sirtris Pharmaceuticals, Inc.","Radha Narayan, Jeremy S. Disch, Robert B. Perni, Chi B. Vu",2008-10-29,2009-10-29,2011-10-27,,https://patents.google.com/patent/US20110263564A1/en,
WO-2006127987-A3,Treatment of eye disorders with sirtuin modulators ,"Peter Elliott, Philip Lambert, David J Livingston, Michael Milburn, Karl D Normington, Sirtris Pharmaceuticals Inc, Christoph H Westphal","Peter Elliott, Philip Lambert, David J Livingston, Michael Milburn, Karl D Normington, Christoph H Westphal",2005-05-25,2006-05-24,2008-04-17,,https://patents.google.com/patent/WO2006127987A3/en,
US-2012108585-A1,"Benzoxazoles, benzthiazoles and related analogs as sirtuin modulators ","Sirtris Pharmaceuticals, Inc.",Chi B. Vu,2008-08-12,2009-08-11,2012-05-03,,https://patents.google.com/patent/US20120108585A1/en,
US-2011319411-A1,Isoindolinone and related analogs as sirtuin modulators ,"Sirtis Pharmaceuticals, Inc.","Chi B. Vu, Lauren Mcpherson, Pui Yee Ng, Charles Blum",2008-12-08,2009-12-08,2011-12-29,,https://patents.google.com/patent/US20110319411A1/en,
US-2011009381-A1,Solubilized thiazolopyridines ,"Sirtis Pharmaceuticals, Inc.","Chi B. Vu, Christopher Oalmann, Robert B. Perni, Jeremy S. Disch, Bruce Szczepankiewicz, Giovanna Gualtieri, Rebecca L. Casaubon",2007-11-08,2008-11-07,2011-01-13,,https://patents.google.com/patent/US20110009381A1/en,
AU-2009266889-B2,Benzimidazoles and related analogs as sirtuin modulators ,Glaxosmithkline Llc,"Charles A. Blum, Jeremy S. Disch, Pui Yee Ng, Robert B. Perni, Chi B. Vu",2008-07-03,2009-07-02,2013-05-02,2013-05-02,https://patents.google.com/patent/AU2009266889B2/en,
US-2011009496-A1,Resveratrol formulations ,"Sirtris Pharmaceuticas, Inc.","Walter Joseph Lunsmann, Peter Elliott, Philip Lambert",2008-01-08,2009-01-07,2011-01-13,,https://patents.google.com/patent/US20110009496A1/en,https://patentimages.storage.googleapis.com/65/69/39/11a5d71f3ce34c/US20110009496A1-20110113-D00000.png
WO-2006094246-A2,N-arylmethyl benzamide sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Millne, Karl D. Normington",2005-03-03,2006-03-03,2006-09-08,,https://patents.google.com/patent/WO2006094246A2/en,
WO-2006094210-A2,Tetrahydroquinoxalinone sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.","Jill Milne, Karl D. Normington, Michael Milburn",2005-03-03,2006-03-03,2006-09-08,,https://patents.google.com/patent/WO2006094210A2/en,
US-8304206-B2,Mass spectrometry assays for identifying compounds that activate deacetylases ,"Sirtris Pharmaceuticals, Inc.","Jesse Smith, Jill Milne, Amy Lynch, David Carney, Andre Iffland, Olivier Boss",2005-12-02,2006-12-01,2012-11-06,2012-11-06,https://patents.google.com/patent/US8304206B2/en,https://patentimages.storage.googleapis.com/64/89/de/acae4912b79b53/US08304206-20121106-D00001.png
EP-1853920-B1,Fluorescence polarization assays for acetyltransferase/deacetylase activity ,"Sirtris Pharmaceuticals, Inc.","Jill Milne, David Carney",2005-03-03,2006-03-03,2012-02-01,2012-02-01,https://patents.google.com/patent/EP1853920B1/en,
CN-101316853-B,Oxazolopyridine derivatives as SIRTUIN modulators ,西特里斯药业公司,"J·J·努涅斯, J·米尔恩, J·比米斯, R·谢, C·B·武, P·Y·吴, J·S·迪施, T·萨尔兹曼, D·阿米斯泰德",2005-08-04,2006-08-04,2014-09-24,2014-09-24,https://patents.google.com/patent/CN101316853B/en,
WO-2008100376-A2,Truncation variants of sirt1 and methods of use thereof ,"Sirtris Pharmaceuticals, Inc.","Lei Jin, Yakov Korkhin",2007-02-15,2008-01-25,2008-08-21,,https://patents.google.com/patent/WO2008100376A2/en,
US-2011039847-A1,Amide derivatives as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc","Christopher Oalmann, Robert B. Perni, Jeremy S. Disch, Bruce Szczepankiewicz, Giovanna Gualtieri, Rebecca L. Casaubon, Karsten J. Koppetsch",2007-11-01,2008-10-31,2011-02-17,,https://patents.google.com/patent/US20110039847A1/en,
CN-101257897-A,"Methods and related compositions for treating or preventing obesity, insulin resistance disorders, and mitochondrial-associated disorders ",西特里斯药业公司,"C·阿吉曼, J·奥威尔斯, J·米尔恩, M·拉戈奇, M·米尔本, M·迪波",2005-07-07,2006-07-07,2008-09-03,,https://patents.google.com/patent/CN101257897A/en,
WO-2006094233-A1,"N,n'-dicyclic isothiourea sirtuin modulators ","Sirtris Pharmaceuticals, Inc.","Michael Milburn, Jill Milne",2005-03-03,2006-03-03,2006-09-08,,https://patents.google.com/patent/WO2006094233A1/en,
US-2008249130-A1,Gut microsomal triglyceride transport protein inhibitors ,"Sirtris Pharmaceuticals, Inc.",Chi B. Vu,2007-02-09,2008-02-08,2008-10-09,,https://patents.google.com/patent/US20080249130A1/en,
EP-2285977-A1,Sirt1 polymorphic variants and methods of use thereof ,"Sirtris Pharmaceuticals, Inc., University Of Zurich","Christoph H. Westphal, Marc Donath, Peter Elliott, Michael Jirousek, Jill Milne",2008-05-15,2009-05-15,2011-02-23,,https://patents.google.com/patent/EP2285977A1/en,
AU-2009333251-A1,Phthalazinone and related analogs as sirtuin modulators ,"Sirtris Pharmaceuticals, Inc.",Chi B. Vu,2008-12-16,2009-12-16,2011-07-07,,https://patents.google.com/patent/AU2009333251A1/en,
