search URL:,https://patents.google.com/?assignee=SOPHIRIS+BIO+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5720720-A,Convection-enhanced drug delivery ,The United States Of America As Represented By The Department Of Health And Human Services,"Douglas W. Laske, Edward H. Oldfield, Richard Hunt Bobo, Robert L. Dedrick, Paul F. Morrison",1993-08-27,1996-03-15,1998-02-24,1998-02-24,https://patents.google.com/patent/US5720720A/en,https://patentimages.storage.googleapis.com/9d/94/4c/19622186e1eb42/US5720720-drawings-page-3.png
US-6011002-A,Circularly permuted ligands and circularly permuted chimeric molecules ,The United States Of America As Represented By The Department Of Health And Human Services,"Ira Pastan, Robert J. Kreitman, Raj K. Puri",1994-04-08,1995-04-06,2000-01-04,2000-01-04,https://patents.google.com/patent/US6011002A/en,https://patentimages.storage.googleapis.com/17/8a/7f/0d97b5c2a1a1ee/US6011002-drawings-page-11.png
US-7371225-B2,Method for convection enhanced delivery of therapeutic agents ,The United States Of America As Represented By The Secretary Of The Department Of Health And Human Services,"Edward H. Oldfield, Russel R. Lonser, Kayhan Garmestani, Martin W. Brechbiel",2002-09-24,2003-09-24,2008-05-13,2008-05-13,https://patents.google.com/patent/US7371225B2/en,https://patentimages.storage.googleapis.com/US7371225B2/US07371225-20080513-D00001.png
US-7745395-B2,Proaerolysin containing protease activation sequences and methods of use for treatment of prostate cancer ,"University of Victoria Innovatiion and Development Corporation, The Johns Hopkins University","Samuel R. Denmeade, John T. Isaacs, J. Thomas Buckley",2001-08-24,2007-09-17,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745395B2/en,https://patentimages.storage.googleapis.com/df/74/7a/62516bd3898f44/US07745395-20100629-D00001.png
US-2011171219-A1,Treating cancer stem cells using targeted cargo proteins ,Fahar Merchant,Fahar Merchant,2008-09-19,2009-09-21,2011-07-14,,https://patents.google.com/patent/US20110171219A1/en,https://patentimages.storage.googleapis.com/83/07/c2/dc8a5bc2163f6d/US20110171219A1-20110714-D00000.png
US-9950029-B2,Method of treating or preventing benign prostatic hyperplasia using modified pore-forming proteins ,Sophiris Bio Inc.,J. Thomas Buckley,2005-06-14,2014-11-24,2018-04-24,2018-04-24,https://patents.google.com/patent/US9950029B2/en,https://patentimages.storage.googleapis.com/4c/39/f8/b3ab5af0639848/US09950029-20180424-D00001.png
US-6737511-B1,Receptor-mediated uptake of an extracellular BCL-xL fusion protein inhibits apoptosis ,The United States Of America As Represented By The Department Of Health And Human Services,"Richard J. Youle, Liu Xiuhuai, R. John Collier",1999-08-16,2000-08-15,2004-05-18,2004-05-18,https://patents.google.com/patent/US6737511B1/en,https://patentimages.storage.googleapis.com/35/47/50/00c126efc7638e/US06737511-20040518-D00001.png
US-2010317577-A1,Methods and Compositions for Inhibiting Cell Death or Enhacing Cell Proliferation ,Department Of Health And Human Services,"Richard J Youle, Antonella Antignani",2005-09-09,2006-09-08,2010-12-16,,https://patents.google.com/patent/US20100317577A1/en,https://patentimages.storage.googleapis.com/d0/8e/f0/021bb4faed8682/US20100317577A1-20101216-D00000.png
US-2009016988-A1,Modified Pore-Forming Protein Toxins and Use Thereof ,Buckley J Thomas,J. Thomas Buckley,2005-11-21,2006-11-21,2009-01-15,,https://patents.google.com/patent/US20090016988A1/en,https://patentimages.storage.googleapis.com/US20090016988A1/US20090016988A1-20090115-D00000.png
US-2010183545-A1,Targeted cargo protein combination therapy ,"The United States Of America, As Represented By The Secretary,",Raj K. Puri,2008-10-14,2009-10-14,2010-07-22,,https://patents.google.com/patent/US20100183545A1/en,https://patentimages.storage.googleapis.com/6e/b6/01/f12dfa1aa9feb7/US20100183545A1-20100722-D00000.png
US-8278279-B2,Method for treating prostatitis utilizing modified pore-forming protein proaerolysin ,Protox Therapeutics Corp.,J. Curtis Nickel,2008-12-15,2009-12-15,2012-10-02,2012-10-02,https://patents.google.com/patent/US8278279B2/en,
US-2017333521-A1,Method for targeted intraprostatic administration of prx302 for treatment of prostate cancer ,Sophiris Bio Inc.,"Allison J. HULME, Hash AHMED, Mark EMBERTON",2016-01-27,2017-01-27,2017-11-23,,https://patents.google.com/patent/US20170333521A1/en,https://patentimages.storage.googleapis.com/19/2e/0b/1967478b10676a/US20170333521A1-20171123-D00000.png
