search URL:,https://patents.google.com/?assignee=SPARK+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019038724-A1,Adeno-Associated Virus-Mediated CRISPR-Cas9 Treatment of Ocular Disease ,"Spark Therapeutics, Inc.","George Buchlis, Xavier Anguela, Katherine A. High",2015-05-01,2018-10-10,2019-02-07,,https://patents.google.com/patent/US20190038724A1/en,https://patentimages.storage.googleapis.com/98/9b/0d/b0d8367cc265bb/US20190038724A1-20190207-D00001.png
KR-20180090795-A,"Methods and uses for the treatment of CpG reduced Factor VIII variants, compositions and hemostatic disorders ","스파크 테라퓨틱스, 인코포레이티드","자비에 안구엘라, 샘 센-아이 센",2015-10-30,2016-10-31,2018-08-13,,https://patents.google.com/patent/KR20180090795A/en,https://patentimages.storage.googleapis.com/0c/01/b1/b0f8502f6be0c6/pct00074.png
KR-20190006951-A,Column-based fully scalable rAAV manufacturing process ,"스파크 테라퓨틱스, 인코포레이티드","광 쿠, 영훈 오, 린 루, 존 프레이저 라이트",2016-03-31,2017-03-31,2019-01-21,,https://patents.google.com/patent/KR20190006951A/en,https://patentimages.storage.googleapis.com/1d/f7/9a/262c5f865c1fb1/pct00001.png
KR-20190020661-A,The relative potency assay for viral vectors encoding isomalohydrolase ,"스파크 테라퓨틱스, 인코포레이티드",린다 쿠토,2016-04-28,2017-04-28,2019-03-04,,https://patents.google.com/patent/KR20190020661A/en,https://patentimages.storage.googleapis.com/8a/63/da/b2d0653ff78479/pct00023.png
US-2018135097-A1,Rab escort protein potency assay ,"Spark Therapeutics, Inc.","John Fraser Wright, Marina SUMAROKA",2016-11-07,2017-11-07,2018-05-17,,https://patents.google.com/patent/US20180135097A1/en,https://patentimages.storage.googleapis.com/7d/84/ad/c2193e322c2887/US20180135097A1-20180517-D00001.png
US-2019078099-A1,Cell line for recombinant protein and/or viral vector production ,"Spark Therapeutics, Inc.","Jingmin Zhou, Guang Qu, John Fraser Wright",2016-03-30,2017-03-30,2019-03-14,,https://patents.google.com/patent/US20190078099A1/en,https://patentimages.storage.googleapis.com/a1/7a/e9/867ee284cea108/US20190078099A1-20190314-D00000.png
WO-2017096039-A1,Scalable methods for producing recombinant adeno-associated viral (aav) vector in serum-free suspension cell culture system suitable for clinical use ,"Spark Therapeutics, Inc.","Guang Qu, Lin Lu, John Fraser Wright",2015-12-01,2016-12-01,2017-06-08,,https://patents.google.com/patent/WO2017096039A1/en,
WO-2018226887-A1,ENHANCING AGENTS FOR IMPROVED CELL TRANSFECTION AND/OR rAAV VECTOR PRODUCTION ,"Spark Therapeutics, Inc.","Guang Qu, Lin Lu, Jesusa JOSUE-ALMQVIST, John Fraser Wright",2017-06-07,2018-06-06,2018-12-13,,https://patents.google.com/patent/WO2018226887A1/en,
AU-2017318717-A1,Methods and vectors for treating CNS disorders ,"Spark Therapeutics, Inc., The Children's Hospital Of Philadelphia","Beverly L. Davidson, Katherine A. High",2016-09-02,2017-09-01,2019-03-21,,https://patents.google.com/patent/AU2017318717A1/en,
WO-2019006390-A1,Aav vector column purification methods ,"Spark Therapeutics, Inc.","Younghoon Oh, Guang Qu",2017-06-30,2018-06-29,2019-01-03,,https://patents.google.com/patent/WO2019006390A1/en,
WO-2019028192-A1,Factor viii (fviii) gene therapy methods ,"Spark Therapeutics, Inc.",Xavier ANGUELA,2017-08-01,2018-08-01,2019-02-07,,https://patents.google.com/patent/WO2019028192A1/en,
WO-2019018439-A1,Apheresis methods and uses ,"Spark Therapeutics, Inc.","John Fraser Wright, Marcus Eugene CARR, Jr.",2017-07-17,2018-07-17,2019-01-24,,https://patents.google.com/patent/WO2019018439A1/en,
AU-2017299779-A1,Scalable high recovery methods for producing high yield recombinant adeno-associated viral (rAAV) vector and recombinant adeno-associated viral (rAAV) vectors produced thereby ,"Spark Therapeutics, Inc.","Laura DUNCAN, Younghoon Oh, Guang Qu, Yuhuan Wang, John Fraser Wright, Haibo Zhang",2016-07-21,2017-07-21,2019-01-31,,https://patents.google.com/patent/AU2017299779A1/en,
