search URL:,https://patents.google.com/?assignee=SUNESIS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1090295-B1,Methods for rapidly identifying small organic ligands ,"Sunesis Pharmaceuticals, Inc.","Andrew C. Braisted, Dan Erlanson, Jim Wells",1998-06-26,1999-06-25,2010-06-02,2010-06-02,https://patents.google.com/patent/EP1090295B1/en,
US-7202033-B2,Identification of kinase inhibitors ,"Sunesis Pharmaceuticals, Inc.","John C. Prescott, Andrew Braisted",2002-03-21,2003-03-20,2007-04-10,2007-04-10,https://patents.google.com/patent/US7202033B2/en,
US-8778977-B2,Pyridinonyl PDK1 inhibitors ,"Sunesis Pharmaceuticals, Inc.","Kenneth Egnard Lind, Kathy Cao, Edward Yin-shiang Lin, Thinh Ba Nguyen, Bradley T. Tangonan, Daniel A. Erlanson, Kevin Guckian, Robert Lowell Simmons, Wen-Cherng Lee, Lihong Sun, Stig Hansen, Nuzhat Pathan, Lei Zhang",2006-06-30,2007-07-02,2014-07-15,2014-07-15,https://patents.google.com/patent/US8778977B2/en,https://patentimages.storage.googleapis.com/69/f0/db/210febb574a62d/US08778977-20140715-D00001.png
US-7767687-B2,"Pyrido pyrimidinones, dihydro pyrimido pyrimidinones and pteridinones useful as RAF kinase inhibitors ","Biogen Idec Ma Inc., Sunesis Pharmaceuticals, Inc.","Johan D. Oslob, Jiang Zhu, Kenneth Barr, Jennifer Cossrow, Brian Raimundo, Hiroko Tanaka",2004-12-13,2005-12-12,2010-08-03,2010-08-03,https://patents.google.com/patent/US7767687B2/en,https://patentimages.storage.googleapis.com/f4/96/c0/be7a8d4c5f69ae/US07767687-20100803-D00001.png
US-8211904-B2,Spiropiperidine beta-secretase inhibitors for the treatment of alzheimer's disease ,"Merck, Sharp & Dohme Corp., Sunesis Pharmaceuticals, Inc.","Craig A. Coburn, Melissa S. Egbertson, Samuel L. Graham, Georgia B. McGaughey, Shaun R. Stauffer, Hemaka A. Rajapakse, Philippe G. Nantermet, Shawn J. Stachel, Wenjin Yang, Wanli Lu, Bruce Fahr",2005-07-18,2006-07-14,2012-07-03,2012-07-03,https://patents.google.com/patent/US8211904B2/en,
US-7132568-B2,Aspartyl protease inhibitors ,"Sunesis Pharmaceuticals, Inc.","Wenjin Yang, Douglas R. Cary, Jeffrey W. Jacobs, Wanli Lu, Yafan Lu, Jian Sun, Min Zhong",2002-06-17,2003-06-16,2006-11-07,2006-11-07,https://patents.google.com/patent/US7132568B2/en,
US-8084047-B2,Compositions and methods for treatment of eye disorders ,Sarcode Bioscience Inc.,"Wang Shen, Johan D. Oslob, Kenneth Barr, Min Zhong",2005-05-17,2009-07-23,2011-12-27,2011-12-27,https://patents.google.com/patent/US8084047B2/en,https://patentimages.storage.googleapis.com/eb/d8/a7/b120caeecff246/US08084047-20111227-D00000.png
CA-2693182-C,"Pyrimidine compounds, methods of synthesis thereof, and use thereof in the treatment of raf kinase-mediated disorders ","Sunesis Pharmaceuticals, Inc., Weirong Chen, Franklin, Lloyd, Bing Guan, John Howard Jones, Gnanasambandam Kumaravel, Benjamin Lane, Adam Littke, Alexey Lugovskoy, Peng, Hairuo, Powell, Noel, Raimundo, Brian C., Tanaka, Hiroko, Vessels, Jeffrey, Wynn, Thomas, Xin, Zhili, Jennifer Cossrow, Biogen Idec Ma Inc., Lioyd Franklin, Millennium Pharmaceuticals, Inc.","Weirong Chen, Jennifer Cossrow, Lioyd Franklin, Bing Guan, John Howard Jones, Gnanasambandam Kumaravel, Benjamin Lane, Adam Littke, Alexey Lugovskoy",2007-06-29,2008-06-30,2018-01-02,2018-01-02,https://patents.google.com/patent/CA2693182C/en,
EP-1804794-B1,Spiropiperidine compounds useful as beta-secretase inhibitors for the treatment of alzhermer s disease ,"Merck Sharp & Dohme Corp., Sunesis Pharmaceuticals, Inc.","James C. Barrow, Craig A. Coburn, Melissa S. Egbertson, Georgia B. Mcgaughey, Melody A. Mcwherter, Lou Anne Neilson, Harold G. Selnick, Shaun R. Stauffer, Zhi-Qiang Yang, Wenjin Yang, Wanli Lu, Bruce Fahr, Kenneth E. Rittle",2004-10-13,2005-10-12,2013-07-31,2013-07-31,https://patents.google.com/patent/EP1804794B1/en,
US-6806279-B2,Small-molecule inhibitors of interleukin-2 ,"Sunesis Pharmaceuticals, Inc.","Michelle R. Arkin, Robert S. McDowell, Johan D. Oslob, Brian C. Raimundo, Nathan D. Waal, Chul Hyun Yu",2001-12-17,2001-12-17,2004-10-19,2004-10-19,https://patents.google.com/patent/US6806279B2/en,
US-9546165-B2,Heterocyclic compounds useful as PDK1 inhibitors ,"Sunesis Pharmaceuticals, Inc., Millennium Pharmaceuticals, Inc.","Joseph Arndt, Timothy Chan, Kevin Guckian, Gnanasambandam Kumaravel, Wen-Cherng Lee, Edward Yin-shiang Lin, Daniel Scott, Lihong Sun, Jermaine Thomas, Kurt van Vloten, Deping Wang, Lei Zhang, Daniel Erlanson",2009-10-06,2010-10-05,2017-01-17,2017-01-17,https://patents.google.com/patent/US9546165B2/en,
