search URL:,https://patents.google.com/?assignee=SUPERNUS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2114014-C,"Advanced drug delivery system and method of treating psychiatric, neurological and other disorders with carbamazepine ","Edward M. Rudnic, George W. Belendiuk, Pharmavene, Inc., Shire Laboratories Inc., Shire Llc","Edward M. Rudnic, George W. Belendiuk",1991-07-23,1992-07-23,1999-05-11,1999-05-11,https://patents.google.com/patent/CA2114014C/en,
CA-2348090-C,Oral pulsed dose drug delivery system ,"Shire Laboratories, Inc., Beth A. Burnside, Xiaodi Guo, Kimberly Fiske, Richard A. Couch, Donald J. Treacy, Rong-Kun Chang, Charlotte M. Mcguinness, Edward M. Rudnic, Shire Llc","Beth A. Burnside, Xiaodi Guo, Kimberly Fiske, Richard A. Couch, Donald J. Treacy, Rong-Kun Chang, Charlotte M. Mcguinness, Edward M. Rudnic",1998-10-21,1999-10-20,2004-04-13,2004-04-13,https://patents.google.com/patent/CA2348090C/en,
AU-2002249881-B2,Sustained release pharmaceutical dosage forms with minimized pH dependent dissolution profiles ,"Supernus Pharmaceuticals, Inc.","Beth Burnside, Rong-Kun Chang, Xiaodi Guo",2000-12-20,2001-12-20,2006-12-21,2006-12-21,https://patents.google.com/patent/AU2002249881B2/en,
US-5430021-A,Hydrophobic drug delivery systems ,"Pharmavene, Inc.","Edward M. Rudnic, John A. McCarty, George W. Belenduik",1994-03-18,1994-03-18,1995-07-04,1995-07-04,https://patents.google.com/patent/US5430021A/en,
US-5897876-A,Emulsified drug delivery system ,Shire Laboratories Inc.,"Edward M. Rudnic, John A. McCarty, George W. Belendiuk, deceased, Beth A. Burnside, Charlotte M. McGuinness, Krystyna Belendiuk",1994-03-18,1997-06-20,1999-04-27,1999-04-27,https://patents.google.com/patent/US5897876A/en,https://patentimages.storage.googleapis.com/9f/ad/ee/79d834a1718350/US5897876-drawings-page-5.png
US-8906413-B2,Drug formulations having reduced abuse potential ,"Supernus Pharmaceuticals, Inc.","Rong-Kun Chang, Richard A. Couch, Beth A. Burnside",2003-05-12,2003-05-12,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906413B2/en,https://patentimages.storage.googleapis.com/0a/1d/b1/638ef881b17a1d/US08906413-20141209-D00000.png
US-5824638-A,Oral insulin delivery ,"Shire Laboratories, Inc.","Beth A. Burnside, Carol E. Mattes, Charlotte M. McGuinness, Edward M. Rudnic, George W. Belendiuk, deceased",1995-05-22,1995-05-22,1998-10-20,1998-10-20,https://patents.google.com/patent/US5824638A/en,https://patentimages.storage.googleapis.com/b4/2b/10/9e96a0a28c31b0/US5824638-drawings-page-2.png
US-6110498-A,Osmotic drug delivery system ,"Shire Laboratories, Inc.","Edward M. Rudnic, Beth A. Burnside, Henry H. Flanner, Sandra E. Wassink, Richard A. Couch, Jill E. Pinkett",1996-10-25,1997-10-22,2000-08-29,2000-08-29,https://patents.google.com/patent/US6110498A/en,https://patentimages.storage.googleapis.com/b1/02/2c/eb9097d15964bc/US6110498-drawings-page-2.png
US-6692767-B2,Solid solution beadlet ,Shire Laboratories Inc.,"Beth A. Burnside, Charlotte M. McGuinness, Edward M. Rudnic, Richard A. Couch, Xiaodi Guo, Alexander K. Tustian",1997-09-19,1998-09-18,2004-02-17,2004-02-17,https://patents.google.com/patent/US6692767B2/en,https://patentimages.storage.googleapis.com/f6/fb/25/fd6aa39a498e12/US6692767-drawings-page-3.png
US-5447729-A,Multilamellar drug delivery systems ,"Pharmavene, Inc.","George W. Belenduik, Edward M. Rudnic, John A. McCarty",1994-04-07,1994-04-07,1995-09-05,1995-09-05,https://patents.google.com/patent/US5447729A/en,
US-7611728-B2,Osmotic delivery of therapeutic compounds by solubility enhancement ,"Supernus Pharmaceuticals, Inc.","Argaw Kidane, Shimul K. Ray, Padmanabh P. Bhatt, Jones W. Bryan, Jr.",2003-09-05,2003-09-05,2009-11-03,2009-11-03,https://patents.google.com/patent/US7611728B2/en,https://patentimages.storage.googleapis.com/US7611728B2/US07611728-20091103-D00001.png
US-7910128-B2,Use of a mixture of two or more enteric materials to regulate drug release via membrane or matrix for systemic therapeutics ,"Supernus Pharmaceuticals, Inc.","Rong-Kun Chang, Niraj Shah",2003-01-03,2004-01-05,2011-03-22,2011-03-22,https://patents.google.com/patent/US7910128B2/en,
US-5484608-A,Sustained-release drug delivery system ,"Pharmavene, Inc.","Edward M. Rudnic, John A. McCarty, George W. Belenduik",1994-03-28,1994-03-28,1996-01-16,1996-01-16,https://patents.google.com/patent/US5484608A/en,https://patentimages.storage.googleapis.com/a2/fd/4f/5915e215e372d7/US5484608-drawings-page-2.png
US-6913768-B2,Sustained release delivery of amphetamine salts ,"Shire Laboratories, Inc.","Richard A. Couch, Beth A. Burnside, Rong-Kun Chang",2002-09-24,2003-01-29,2005-07-05,2005-07-05,https://patents.google.com/patent/US6913768B2/en,https://patentimages.storage.googleapis.com/e2/d3/cc/90648c39942ba6/US06913768-20050705-D00000.png
CA-2537029-C,Micellar systems useful for delivery of lipophilic or hydrophobic compounds ,"Likan Liang, Shire Laboratories Inc., Supernus Pharmaceuticals, Inc.",Likan Liang,2003-11-26,2004-11-24,2013-03-12,2013-03-12,https://patents.google.com/patent/CA2537029C/en,
US-6811794-B2,Sustained release pharmaceutical dosage forms with minimized pH dependent dissolution profiles ,"Shire Laboratories, Inc.","Beth A. Burnside, Rong-Kun Chang, Xiaodi Guo",2001-12-20,2001-12-20,2004-11-02,2004-11-02,https://patents.google.com/patent/US6811794B2/en,https://patentimages.storage.googleapis.com/53/85/96/956fd31c38394c/US06811794-20041102-D00001.png
US-6814979-B2,Osmotic drug delivery system ,"Shire Laboratories, Inc.","Edward M. Rudnic, Beth A. Burnside, Henry H. Flanner, Sandra E. Wassink, Richard A. Couch, Jill E. Pinkett",1996-10-25,2002-12-20,2004-11-09,2004-11-09,https://patents.google.com/patent/US6814979B2/en,https://patentimages.storage.googleapis.com/90/3f/f2/eb8af1845e85e4/US06814979-20041109-D00000.png
CA-2521885-C,Once daily formulations of tetracyclines ,"Shire Laboratories Inc., Rong-Kun Chang, Arash Raoufinia, Niraj Shah, Supernus Pharmaceuticals, Inc., Tcd Royalty Sub, Llc","Rong-Kun Chang, Arash Raoufinia, Niraj Shah",2003-04-07,2004-04-07,2013-06-25,2013-06-25,https://patents.google.com/patent/CA2521885C/en,
CA-2466868-C,Oral capsule formulation with increased physical stability ,"Shire Laboratories Inc., Amir H. Shojaei, Scott A. Ibrahim, Beth A. Burnside, Supernus Pharmaceuticals, Inc.","Amir H. Shojaei, Scott A. Ibrahim, Beth A. Burnside",2001-12-21,2002-12-20,2010-06-22,2010-06-22,https://patents.google.com/patent/CA2466868C/en,
AU-702377-B2,Oral acyclovir delivery ,"Shire Laboratories, Inc.","George W. Belenduik, Beth A Burnside, Carol E. Mattes, Charlotte M Mcguinness, Edward M. Rudnic",1995-06-07,1996-06-03,1999-02-18,1999-02-18,https://patents.google.com/patent/AU702377B2/en,
US-6384020-B1,Rapid immediate release oral dosage form ,"Shire Laboratories, Inc.","Henry H. Flanner, Rong-Kun Chang, Jill E. Pinkett, Sandra E. Wassink, Lisa R. White",1999-07-14,2000-07-06,2002-05-07,2002-05-07,https://patents.google.com/patent/US6384020B1/en,
US-6793934-B1,Solid oral dosage form ,"Shire Laboratories, Inc.","Beth A. Burnside, Henry Flanner, Xiaodi Guo, Rong Kun Chang",1999-12-08,1999-12-08,2004-09-21,2004-09-21,https://patents.google.com/patent/US6793934B1/en,
US-2008085306-A1,Topiramate compositions and methods of enhancing its bioavailability ,"Spherics, Inc.","Avinash Nangia, Daya Verma, Jules Jacob",2006-08-31,2007-08-31,2008-04-10,,https://patents.google.com/patent/US20080085306A1/en,https://patentimages.storage.googleapis.com/c8/47/6d/ce56bc472fb60e/US20080085306A1-20080410-D00000.png
EP-1973528-B1,Sustained-release formulations of topiramate ,"Supernus Pharmaceuticals, Inc.","Likan Liang, Hua Wang, Padmanabh P. Bhatt, Michael L. Vieira",2006-11-17,2007-11-16,2012-11-07,2012-11-07,https://patents.google.com/patent/EP1973528B1/en,https://patentimages.storage.googleapis.com/83/82/8c/2ced34ee5d050a/imgf0001.png
ES-2322896-T3,pharmaceutical formulations with enhanced bioavailability. ,"Supernus Pharmaceuticals, Inc.","Beth A. Burnside, Henry Flanner, Scott Ibrahim, Amir H. Shojaei",2002-04-29,2003-04-29,2009-07-01,2009-07-01,https://patents.google.com/patent/ES2322896T3/en,
AU-2002249881-A1,Sustained release pharmaceutical dosage forms with minimized PH dependent dissolution profiles ,"Supernus Pharmaceuticals, Inc.","Beth Burnside, Rong-Kun Chang, Xiaodi Guo",2000-12-20,2001-12-20,2003-02-06,,https://patents.google.com/patent/AU2002249881A1/en,
AU-2004289223-B2,Once daily dosage forms of trospium ,"Supernus Pharmaceuticals, Inc.","Padmanabh Bhatt, Henry H. Flanner, Argaw Kidane, Arash Raoufinia",2003-11-04,2004-11-04,2009-11-05,2009-11-05,https://patents.google.com/patent/AU2004289223B2/en,
CA-2446712-C,System for osmotic delivery of pharmaceutically active agents ,"Shire Laboratories Inc., Beth A. Burnside, Henry H. Flanner, Lisa C. Mcknight, Supernus Pharmaceuticals, Inc.","Beth A. Burnside, Henry H. Flanner, Lisa C. Mcknight",2001-06-01,2002-05-30,2009-10-20,2009-10-20,https://patents.google.com/patent/CA2446712C/en,
