search URL:,https://patents.google.com/?assignee=SYNERGY+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7041786-B2,Guanylate cyclase receptor agonists for the treatment of tissue inflammation and carcinogenesis ,Callisto Pharmaceuticals,"Kunwar Shailubhai, Gregory Nikiforovich, Gary S. Jacob",2001-03-29,2002-03-28,2006-05-09,2006-05-09,https://patents.google.com/patent/US7041786B2/en,
EP-2527360-B1,"Agonists of guanylate cyclase useful for the treatment of gastrointestinal disorders, inflammation, cancer and other disorders ",Synergy Pharmaceuticals Inc.,"Kunwar Shailubhai, Gary S. Jacob",2007-06-04,2008-06-04,2015-10-28,2015-10-28,https://patents.google.com/patent/EP2527360B1/en,https://patentimages.storage.googleapis.com/6e/28/6b/69d12310c2cdf7/imgf0001.png
EP-1210082-B1,Long chain n-alkyl compounds and oxa-derivatives thereof and use as antiviral compositions ,"The Chancellor, Masters And Scholars Of The University Of Oxford, Thomas Jefferson University, Synergy Pharmaceuticals, Inc.","Nicole Zitzmann, Terry D. Butters, Frances M. Platt, Sandra Carrouee, Gary S Jacob, Donald H. Picker, George W.J Fleet, Raymond A Dwek, David Durantel, Anand Mehta, Timothy M Block",1999-08-10,2000-08-10,2008-01-02,2008-01-02,https://patents.google.com/patent/EP1210082B1/en,https://patentimages.storage.googleapis.com/57/fa/99/5ca5c979911368/imgf0001.png
AU-761748-B2,Inhibition of membrane-associated viral replication ,"Chancellor, Masters And Scholars Of The University Of Oxford, The, Synergy Pharmaceuticals, Inc., Thomas Jefferson University","Timothy M Block, Baruch S. Blumberg, Terry D Butters, Raymond A. Dwek, Anand Mehta, Frances Platt, Nicole Zitzmann",1997-12-11,1998-12-10,2003-06-12,2003-06-12,https://patents.google.com/patent/AU761748B2/en,
AU-2009322285-B2,Formulations of guanylate cyclase C agonists and methods of use ,"Synergy Pharmaceuticals, Inc.","Stephen Comiskey, Kunwar Shailubhai",2008-12-03,2009-12-03,2016-07-28,2016-07-28,https://patents.google.com/patent/AU2009322285B2/en,
EP-2321341-B1,"Agonists of guanylate cyclase useful for the treatment of gastrointestinal, inflammation, cancer and other disorders ",Synergy Pharmaceuticals Inc.,Kunwar Shailubhai,2008-07-16,2009-07-16,2017-02-22,2017-02-22,https://patents.google.com/patent/EP2321341B1/en,
US-8207295-B2,"Agonists of guanylate cyclase useful for the treatment of gastrointestinal disorders, inflammation, cancer and other disorders ","Synergy Pharmaceuticals, Inc.","Kunwar Shailubhai, Gary S. Jacob",2008-06-04,2009-06-04,2012-06-26,2012-06-26,https://patents.google.com/patent/US8207295B2/en,
US-9814752-B2,"Agonists of guanylate cyclase useful for the treatment of hypercholesterolemia, atherosclerosis, coronary heart disease, gallstone, obesity and other cardiovascular diseases ","Synergy Pharmaceuticals, Inc.",Kunwar Shailubhai,2007-06-04,2015-06-17,2017-11-14,2017-11-14,https://patents.google.com/patent/US9814752B2/en,https://patentimages.storage.googleapis.com/7a/85/b2/732db3c9a942f4/US09814752-20171114-D00001.png
EP-2810951-B1,"Agonists of guanylate cyclase useful for the treatment of gastrointestinal disorders, inflammation, cancer and other disorders ",Synergy Pharmaceuticals Inc.,"Kunwar Shailubhai, Gray S. Jacob",2008-06-04,2009-06-04,2017-03-15,2017-03-15,https://patents.google.com/patent/EP2810951B1/en,
AU-2013232306-B2,Formulations of guanylate cyclase C agonists and methods of use ,Synergy Pharmaceuticals Inc.,"Stephen Comiskey, Rong FENG, John Foss, Kunwar Shailubhai",2012-03-15,2013-03-12,2017-11-16,2017-11-16,https://patents.google.com/patent/AU2013232306B2/en,
US-9919024-B2,Formulations of guanylate cyclase C agonists and methods of use ,"Synergy Pharmaceuticals, Inc.","Stephen Comiskey, Rong Feng, John Foss, Kunwar Shailubhai",2010-09-15,2017-03-23,2018-03-20,2018-03-20,https://patents.google.com/patent/US9919024B2/en,https://patentimages.storage.googleapis.com/38/7a/76/6b2302f14e7a9f/US09919024-20180320-D00001.png
DK-2681236-T3,A process for the preparation of guanylate cyclase-C agonists ,Synergy Pharmaceuticals Inc,"Juncai Bai, Ruoping Zhang, Jun Jian, Junfeng Zhou, Qiao Zhao, Guoquing Zhang, Kunwar Shailubhai, Stephen Comiskey, Rong Feng",2011-03-01,2012-03-01,2018-04-16,2018-04-16,https://patents.google.com/patent/DK2681236T3/en,
US-10118946-B2,Agonists of guanylate cyclase and their uses ,Synergy Pharmaceuticals Inc.,Kunwar Shailubhai,2013-03-15,2017-06-14,2018-11-06,2018-11-06,https://patents.google.com/patent/US10118946B2/en,https://patentimages.storage.googleapis.com/22/09/49/41b11eba902b89/US10118946-20181106-D00001.png
AU-2014218599-B2,Guanylate cyclase receptor agonists for use in colonic cleansing ,Synergy Pharmaceuticals Inc.,"Patrick H. Griffin, Gary S. Jacob, Dennis RIFF, Kunwar Shailubhai",2013-02-25,2014-02-25,2018-05-17,2018-05-17,https://patents.google.com/patent/AU2014218599B2/en,
