search URL:,https://patents.google.com/?assignee=SYNTA+PHARMACEUTICALS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8455658-B2,Thiazole and thiadiazole compounds for inflammation and immune-related uses ,Synta Pharmaceuticals Corp.,"Nha Huu Vo, Shoujun Chen, Qinglin Che, Yu Xie",2006-01-25,2007-01-25,2013-06-04,2013-06-04,https://patents.google.com/patent/US8455658B2/en,
EP-2295416-B1,Triazole compounds that modulate HSP90 activity ,Synta Pharmaceuticals Corp.,"Weiwen Ying, David James, Shijie Zhang, Teresa Przewloka, Junghyun Chae, Dinesh U Chimmanamada, Chi-Wan Lee, Elena Kostik, Howard P. Ng, Kevin Foley, Zhenjian Du, James Barsoum",2004-11-18,2005-11-17,2016-01-27,2016-01-27,https://patents.google.com/patent/EP2295416B1/en,https://patentimages.storage.googleapis.com/e6/49/ae/ca6a6e0405c90d/imgf0001.png
CA-2533598-C,Method for modulating calcium ion-release-activated calcium ion channels ,"Synta Pharmaceuticals, Corp., Yu Xie, Mats Holmqvist, Jerome Mahiou, Mitsunori Ono, Lijun Sun, Shoujun Chen, Shijie Zhang, Jun Jiang, Dinesh Chimmanamada, Andrea Fleig, Chih-Yi Yu","Yu Xie, Mats Holmqvist, Jerome Mahiou, Mitsunori Ono, Lijun Sun, Shoujun Chen, Shijie Zhang, Jun Jiang, Dinesh Chimmanamada, Andrea Fleig, Chih-Yi Yu",2003-07-23,2004-07-22,2012-09-11,2012-09-11,https://patents.google.com/patent/CA2533598C/en,
US-7919487-B2,Heteroaryl compounds ,Synta Pharmaceuticals Corporation,"Lijun Sun, Shijie Zhang, Keizo Koya, Dinesh Chimmanamada, Hao Li, David James, Elena Kostik",2004-11-10,2005-11-10,2011-04-05,2011-04-05,https://patents.google.com/patent/US7919487B2/en,
AU-2006211646-B2,Compounds for inflammation and immune-related uses ,Synta Pharmaceuticals Corp.,"Shoujun Chen, Jun Jiang, Lijun Sun, Zhi Qiang Xia, Yu Xie, Junyi Zhang",2005-01-07,2006-01-06,2012-09-20,2012-09-20,https://patents.google.com/patent/AU2006211646B2/en,
US-8318730-B2,Fused hetrocyclic compounds ,Synta Pharmaceuticals Corporation,"Mitsunori Ono, Lijun Sun, Yumiko Wada, Teresa Przewloka, Hao Li, Zachary Demko, Dinesh Chimmanamada",2003-11-10,2009-02-20,2012-11-27,2012-11-27,https://patents.google.com/patent/US8318730B2/en,
AU-2005304393-B2,IL-12 modulatory compounds ,Synta Pharmaceuticals Corp.,"Dinesh Chimmanamada, Zachary Demko, Elena Kostik, Howard P. Ng, Teresa Przewloka, Lijun Sun",2004-11-10,2005-11-10,2012-09-27,2012-09-27,https://patents.google.com/patent/AU2005304393B2/en,
US-8524756-B2,Compounds for inflammation and immune-related uses ,Synta Pharmaceuticals Corp.,"Shoujun Chen, Jun Jiang, Hao Li, David A. James, Dinesh Chimmanamada, Christopher Borella, Lijun Sun, Yu Xie, Mats Holmqvist, Jerome Mahiou, ZhiQiang Xia",2004-09-21,2012-10-16,2013-09-03,2013-09-03,https://patents.google.com/patent/US8524756B2/en,
CA-2695995-C,Triazole compounds that modulate hsp90 activity ,"Synta Pharmaceuticals Corp., Weiwen Ying, Lijun Sun, Keizo Koya, Dinesh U. Chimmanamada, Shijie Zhang, Teresa Przewloka, Hao Li","Weiwen Ying, Lijun Sun, Keizo Koya, Dinesh U. Chimmanamada, Shijie Zhang, Teresa Przewloka, Hao Li",2007-08-13,2008-08-13,2015-09-29,2015-09-29,https://patents.google.com/patent/CA2695995C/en,
US-8614321-B2,Benzoimidazolyl-pyrazine compounds for inflammation and immune-related uses ,Synta Pharmaceuticals Corp.,"Shoujun Chen, Jun Jiang, Junyi Zhang, Yu Xie",2006-03-20,2012-01-19,2013-12-24,2013-12-24,https://patents.google.com/patent/US8614321B2/en,https://patentimages.storage.googleapis.com/ed/33/2f/dfc8d54afac968/US08614321-20131224-D00001.png
