search URL:,https://patents.google.com/?assignee=TARGACEPT+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5604231-A,Pharmaceutical compositions for prevention and treatment of ulcerative colitis ,"Smith; Carr J., Lippiello; Patrick M., Bencherif; Merouane, Caldwell; William S., Dull; Gary M.","Carr J. Smith, Patrick M. Lippiello, Merouane Bencherif, William S. Caldwell, Gary M. Dull",1995-01-06,1995-01-06,1997-02-18,1997-02-18,https://patents.google.com/patent/US5604231A/en,
US-5583140-A,Pharmaceutical compositions for the treatment of central nervous system disorders ,"Bencherif; Merouane, Caldwell; William S., Dull; Gary M., Lippiello; Patrick M.","Merouane Bencherif, William S. Caldwell, Gary M. Dull, Patrick M. Lippiello",1995-05-17,1995-05-17,1996-12-10,1996-12-10,https://patents.google.com/patent/US5583140A/en,
US-5597919-A,Pyrimidinyl or Pyridinyl alkenyl amine compounds ,"Dull; Gary M., Caldwell; William S.","Gary M. Dull, William S. Caldwell",1995-01-06,1995-01-06,1997-01-28,1997-01-28,https://patents.google.com/patent/US5597919A/en,
US-7754189-B2,3-substituted-2(arylalkyl)-1-azabicycloalkanes and methods of use thereof ,"Targacept, Inc.","Anatoly A. Mazurov, Jozef Klucik, Lan Miao, Angela S. Seamans, Teresa Youngpeter Phillips, Jeffrey Daniel Schmitt, Craig Harrison Miller",1998-12-11,2008-02-06,2010-07-13,2010-07-13,https://patents.google.com/patent/US7754189B2/en,
US-5616716-A,(3-(5-ethoxypyridin)yl)-alkenyl 1 amine compounds ,"Dull; Gary M., Caldwell; William S., Miller; Craig H.","Gary M. Dull, William S. Caldwell, Craig H. Miller",1996-01-06,1996-04-23,1997-04-01,1997-04-01,https://patents.google.com/patent/US5616716A/en,
US-5212188-A,Method for treatment of neurodegenerative diseases ,R. J. Reynolds Tabacco Company,"William S. Caldwell, Patrick M. Lippiello",1992-03-02,1992-03-02,1993-05-18,1993-05-18,https://patents.google.com/patent/US5212188A/en,
US-5726316-A,Pharmaceutical compositions for prevention and treatment of central nervous system disorders ,"Crooks; Peter Anthony, Caldwell; William Scott, Dull; Gary Maurice, Bhatti; Balwinder Singh, Deo; Niranjan Madhukar, Ravard; Alain","Peter Anthony Crooks, William Scott Caldwell, Gary Maurice Dull, Balwinder Singh Bhatti, Niranjan Madhukar Deo, Alain Ravard",1995-01-06,1997-01-21,1998-03-10,1998-03-10,https://patents.google.com/patent/US5726316A/en,
EP-2018874-B1,Pharmaceutical compositions for the prevention and treatment of central nervous system disorders comprising a nicotinic agonist and an acetylcholinesterase inhibitor ,"Targacept, Inc.",Marouane Bencherif,1998-08-07,1999-06-02,2014-08-13,2014-08-13,https://patents.google.com/patent/EP2018874B1/en,
US-6274606-B1,Methods of treating central nervous system disorders with aryl substituted olefinic amine compounds ,"Targacept, Inc.","William Scott Caldwell, Gary Maurice Dull, Merouane Bencherif, Patrick Michael Lippiello",1997-02-21,1998-10-12,2001-08-14,2001-08-14,https://patents.google.com/patent/US6274606B1/en,
US-5663356-A,Method for preparation of aryl substituted alefinic secondary amino compounds ,"Ruecroft; Graham, Woods; Martin","Graham Ruecroft, Martin Woods",1996-04-23,1996-04-23,1997-09-02,1997-09-02,https://patents.google.com/patent/US5663356A/en,
CA-2370206-C,Pharmaceutical compositions for inhibition of cytokine production and secretion ,"Targacept, Inc., Merouane Bencherif",Merouane Bencherif,1999-04-20,2000-04-20,2011-09-27,2011-09-27,https://patents.google.com/patent/CA2370206C/en,
US-7291731-B2,N-aryl diazaspiracyclic compounds and methods of preparation and use thereof ,"Targacept, Inc.","Balwinder S. Bhatti, Craig Harrison Miller, Jeffrey Daniel Schmitt",2002-07-05,2005-07-01,2007-11-06,2007-11-06,https://patents.google.com/patent/US7291731B2/en,
US-5811442-A,Pharmaceutical compositions for the treatment of conditions associated with decreased blood flow ,"Bencherif; Merouane, Lippiello; Patrick Michael","Merouane Bencherif, Patrick Michael Lippiello",1997-02-21,1997-02-21,1998-09-22,1998-09-22,https://patents.google.com/patent/US5811442A/en,
