search URL:,https://patents.google.com/?assignee=TENGION+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2641733-C,Scaffolds for organ reconstruction and augmentation ,"Tengion, Inc., Timothy A. Bertram, Andrew Bruce, Deepak Jain, Manuel Jayo, John Ludlow, Darrell Mccoy, Richard Payne, Namrata Sangha","Timothy A. Bertram, Andrew Bruce, Deepak Jain, Manuel Jayo, John Ludlow, Darrell Mccoy, Richard Payne, Namrata Sangha",2006-02-10,2007-02-12,2015-03-31,2015-03-31,https://patents.google.com/patent/CA2641733C/en,
US-8337485-B2,Cell-scaffold constructs ,"Tengion, Inc.","John W. Ludlow, Manuel J. Jayo, Joydeep Basu, Timothy A. Bertram, Christopher W. Genheimer, Kelly I. Guthrie, Roger M. Ilagan, Deepak Jain, Oluwatoyin A. Knight, Richard Payne, Sarah F. Quinlan, H. Scott Rapoport, Namrata D. Sangha",2008-11-04,2009-11-04,2012-12-25,2012-12-25,https://patents.google.com/patent/US8337485B2/en,https://patentimages.storage.googleapis.com/e8/cc/f7/219a8cb885d2f0/US08337485-20121225-D00000.png
AU-2009214508-B2,Tissue engineering scaffolds ,Inregen,"Jeffrey E. Fish, Kelly I. Guthrie, Roger M. Ilagan, Deepak Jain, Richard Payne, H. Scott Rapoport, Jr. Neil F. Robbins, Namrata Sangha",2008-02-14,2009-02-13,2014-11-20,2014-11-20,https://patents.google.com/patent/AU2009214508B2/en,
US-10077442-B2,Bioactive renal cells ,Inregen,"Timothy A. Bertram, Roger M. Ilagan, Russell W. Kelley, Sharon C. Presnell, Sumana Choudhury, Andrew T. Bruce, Christopher W. Genheimer, Bryan R. Cox, Kelly I. Guthrie, Joydeep Basu, Shay M. Wallace, Eric Werdin, Oluwatoyin A. Knight, Namrata D. Sangha, John W. Ludlow, Craig R. Halberstadt, Richard Payne, Neil F. Robins, Darell McCoy, Deepak Jain, Manuel J. Jayo, Elias A. Rivera, Thomas Spencer, Benjamin Watts",2010-05-12,2011-05-12,2018-09-18,2018-09-18,https://patents.google.com/patent/US10077442B2/en,https://patentimages.storage.googleapis.com/20/90/d5/ec55348f5fa89c/US10077442-20180918-D00001.png
US-2007275363-A1,Bioreactor for organ reconstruction and augmentation ,"Bertram Timothy A, Andrew Bruce, Deepak Jain, John Ludlow, Mccoy Darrell, Namrata Sangha","Timothy Bertram, Andrew Bruce, Deepak Jain, John Ludlow, Darrell McCoy, Namrata Sangha",2006-02-10,2007-02-12,2007-11-29,,https://patents.google.com/patent/US20070275363A1/en,https://patentimages.storage.googleapis.com/fc/eb/ba/2f97f8a5395e5c/US20070275363A1-20071129-D00000.png
US-2011224800-A1,Cell-scaffold constructs ,"Ludlow John W, Guthrie Kelly I, Bruce Andrew T, Kenny Johnson","John W. Ludlow, Kelly I. Guthrie, Andrew T. Bruce, Kenny Johnson",2010-03-09,2011-03-08,2011-09-15,,https://patents.google.com/patent/US20110224800A1/en,https://patentimages.storage.googleapis.com/98/01/ee/ffffcf444b7aff/US20110224800A1-20110915-D00000.png
US-10105392-B2,Isolated renal cells and uses thereof ,Inregen,"Sharon C. Presnell, Andrew Bruce, Shay M. Wallace, Sumana Choudhury, Russell W. Kelley, Manuel J. Jayo, Jessica J. Reinsch, Patricia D. Tatsumi, Timothy A. Bertram, Eric S. Werdin, Oluwatoyin A. Knight, H. Scott Rapoport, Roger M. Ilagan",2008-11-12,2015-11-18,2018-10-23,2018-10-23,https://patents.google.com/patent/US10105392B2/en,https://patentimages.storage.googleapis.com/55/62/ad/87c4366f2f8e0b/US10105392-20181023-D00000.png
US-9724367-B2,Injectable formulations for organ augmentation ,Regenmed (Cayman) Ltd.,"Joydeep Basu, Richard Payne, Neil F. Robbins, Oluwatoyin A. Knight, Deepak Jain, Craig R. Halberstadt, Monica A. Serban",2010-11-10,2011-11-10,2017-08-08,2017-08-08,https://patents.google.com/patent/US9724367B2/en,https://patentimages.storage.googleapis.com/8c/64/0b/663f1eedf8030c/US09724367-20170808-D00001.png
CA-2797705-C,Smooth muscle cell constructs ,"Tengion, Inc., John W. Ludlow, Manuel J. Jayo, Joydeep Basu, Timothy A. Bertram, Christopher W. Genheimer, Kelly I. Guthrie, Roger M. Ilagan, Deepak Jain, Richard Payne, Sarah F. Quinlan, H. Scott Rapoport, Namrata D. Sangha, Jacob E. Shokes, Teresa B. Burnette, Sarah A. Boyd, Craig R. Halberstadt, Dominic M. Justewicz, Elias A. Rivera, Wendy Sharp, Oluwatoyin A. Knight, Regenmedtx, Llc, Regenmed (Cayman) Ltd., Inregen","John W. Ludlow, Manuel J. Jayo, Joydeep Basu, Timothy A. Bertram, Christopher W. Genheimer, Kelly I. Guthrie, Roger M. Ilagan, Deepak Jain, Richard Payne, Sarah F. Quinlan, H. Scott Rapoport, Namrata D. Sangha, Jacob E. Shokes, Teresa B. Burnette, Sarah A. Boyd, Craig R. Halberstadt, Dominic M. Justewicz, Elias A. Rivera, Wendy Sharp, Oluwatoyin A. Knight",2010-05-03,2011-05-03,2019-01-08,2019-01-08,https://patents.google.com/patent/CA2797705C/en,
US-2016101133-A1,Organoids comprising isolated renal cells and use thereof ,"Regenmedtx, Llc","Joydeep Basu, Andrew Bruce, Rusty Kelley, Kelley Guthrie",2013-05-08,2014-05-08,2016-04-14,,https://patents.google.com/patent/US20160101133A1/en,https://patentimages.storage.googleapis.com/ac/7a/72/49b4f2df86aac3/US20160101133A1-20160414-D00001.png
US-2014308695-A1,Drug screening and potency assays ,"Tengion, Inc.","Andrew T. Bruce, Russell W. Kelley, Timothy A. Bertram, Sumana Choudhury",2011-11-04,2012-11-05,2014-10-16,,https://patents.google.com/patent/US20140308695A1/en,https://patentimages.storage.googleapis.com/00/79/1c/aaee96a0a33139/US20140308695A1-20141016-D00001.png
US-2015246073-A1,Renal cell populations and uses thereof ,"Regenmedtx, Llc","Joydeep Basu, Kelly Guthrie, Dominic Justewicz, Teresa Burnette, Andrew Bruce, Russell W. Kelley, John W. Ludlow",2012-10-24,2013-10-24,2015-09-03,,https://patents.google.com/patent/US20150246073A1/en,https://patentimages.storage.googleapis.com/b7/37/98/c0be4758d5200e/US20150246073A1-20150903-D00001.png
EP-2869069-A1,Rational design of regenerative medicine products ,"Tengion, Inc.","Sharon C. Presnell, Tom Spencer, Belinda J. Wagner, Manuel J. Jayo, Timothy A. Bertram, Roger M. Ilagan, Russell W. Kelley, H. Scott Rapoport, Andrew Bruce",2009-11-12,2010-11-12,2015-05-06,,https://patents.google.com/patent/EP2869069A1/en,https://patentimages.storage.googleapis.com/7a/cf/6f/a4a52055870718/imgf0001.png
WO-2011156642-A1,Erythropoietin-expressing adipose cell populations ,"Tengion, Inc.","Joydeep Basu, Christopher W. Genheimer, John W. Ludlow, Sarah F. Quinlan, Namrata D. Sangha, Roger ILAGAN, Kelly I. Guthrie, Russell W. Kelley, Sharon C. Presnell, Thomas Spencer, Timothy A. Bertram, Deepak Jain",2010-06-11,2011-06-09,2011-12-15,,https://patents.google.com/patent/WO2011156642A1/en,
AU-2014265032-A1,Tissue engineering scaffolds ,Regenmed (Cayman) Ltd.,"Jeffrey E. Fish, Kelly I. Guthrie, Roger M. Ilagan, Deepak Jain, Richard Payne, H. Scott Rapoport, Neil F. Robbins Jnr, Namrata Sangha",2008-02-14,2014-11-19,2014-12-11,,https://patents.google.com/patent/AU2014265032A1/en,
TW-201211256-A,Erythropoietin-expressing adipose cell populations ,Tengion Inc,"Joydeep Basu, Christopher W Genheimer, John W Ludlow, Sarah F Quinlan, Namrata D Sangha, Roger Ilagan, Kelly I Guthrie, Russell W Kelley, Sharon C Presnell, Thomas Spencer, Timothy A Bertram, Deepak Jain",2010-06-11,2011-06-13,2012-03-16,,https://patents.google.com/patent/TW201211256A/en,
