search URL:,https://patents.google.com/?assignee=TETRALOGIC+PHARMACEUTICALS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1773766-B1,Iap binding compounds ,Tetralogic Pharmaceuticals Corporation,"Stephen M. Condon, Matthew G. Laporte, Yijun Deng, Susan R. Rippin",2004-07-15,2005-07-15,2014-04-02,2014-04-02,https://patents.google.com/patent/EP1773766B1/en,
US-8822525-B2,Dimeric IAP inhibitors ,Tetralogic Pharmaceuticals Corporation,"Stephen M. Condon, Matthew G. Laporte, Yijun Deng, Susan R. Rippin",2005-02-25,2013-06-25,2014-09-02,2014-09-02,https://patents.google.com/patent/US8822525B2/en,https://patentimages.storage.googleapis.com/f2/78/ee/7af40accf18019/US08822525-20140902-D00001.png
US-2010143499-A1,Dimeric iap inhibitors ,Tetralogic Pharmaceuticals Corporation,Stephen M. Condon,2006-07-24,2007-07-24,2010-06-10,,https://patents.google.com/patent/US20100143499A1/en,
AU-2007276760-B2,Dimeric IAP antagonists ,Tetralogic Pharmaceuticals Corporation,"Stephen M. Condon, Yijun Deng, Matthew G. Laporte, Susan R. Rippin",2006-07-24,2007-07-24,2012-01-19,2012-01-19,https://patents.google.com/patent/AU2007276760B2/en,
US-8143426-B2,IAP inhibitors ,Tetralogic Pharmaceuticals Corporation,"Stephen M. Condon, Matthew G. Laporte, Yijun Deng, Susan R. Rippin",2006-07-24,2007-07-24,2012-03-27,2012-03-27,https://patents.google.com/patent/US8143426B2/en,
US-2010056495-A1,Dimeric iap inhibitors ,Tetralogic Pharmaceuticals Corporation,Stephen M. Condon,2006-07-24,2007-07-24,2010-03-04,,https://patents.google.com/patent/US20100056495A1/en,
US-2007042428-A1,Treatment of proliferative disorders ,"Stacy Springs, Mckinlay Mark, Sri Chunduru, Chris Benetatos","Stacy Springs, Mark McKinlay, Sri Chunduru, Chris Benetatos",2005-08-09,2006-08-09,2007-02-22,,https://patents.google.com/patent/US20070042428A1/en,
US-2015158908-A1,SMAC Mimetic for Treating Myelodysplastic Syndromes ,Tetralogic Pharmaceuticals Corporation,"Stephen M. Condon, Yijun Deng, Matthew G. Laporte, Susan R. Rippin",2009-07-02,2015-01-28,2015-06-11,,https://patents.google.com/patent/US20150158908A1/en,https://patentimages.storage.googleapis.com/2c/b2/bf/cdad31e4a4f79c/US20150158908A1-20150611-D00001.png
US-8415486-B2,IAP inhibitors ,Tetralogic Pharmaceuticals Corp.,"Stephen M. Condon, Yijun Deng, Matthew D. Alexander, Matthew G. Laporte",2009-05-28,2010-05-27,2013-04-09,2013-04-09,https://patents.google.com/patent/US8415486B2/en,
US-2010113326-A1,Dimeric iap inhibitors ,Tetralogic Pharmaceuticals Corporation,Stephen M. Condon,2006-07-24,2007-07-24,2010-05-06,,https://patents.google.com/patent/US20100113326A1/en,
