search URL:,https://patents.google.com/?assignee=THERAPEUTICSMD+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2015352126-A1,Natural combination hormone replacement formulations and therapies ,"Therapeuticsmd, Inc.","Brian A. Bernick, Janice Louise Cacace, Peter H.R. Persicaner, Neda Irani, Julia M. Amadio",2011-11-23,2015-08-19,2015-12-10,,https://patents.google.com/patent/US20150352126A1/en,https://patentimages.storage.googleapis.com/f4/6f/bd/2f0493ed7aa3de/US20150352126A1-20151210-D00001.png
US-8987238-B2,Natural combination hormone replacement formulations and therapies ,"Therapeuticsmd, Inc.","Brian A. Bernick, Janice Louise Cacace, Peter H. R. Persicaner, Neda Irani, Julia M. Amadio",2012-06-18,2013-12-06,2015-03-24,2015-03-24,https://patents.google.com/patent/US8987238B2/en,https://patentimages.storage.googleapis.com/93/36/e3/743bb6c0d459c8/US08987238-20150324-D00001.png
EP-2861234-B1,Progesterone formulations ,"TherapeuticsMD, Inc.","Janice Louise Cacace, Peter H.R. Persicaner",2012-06-18,2013-06-18,2019-03-27,2019-03-27,https://patents.google.com/patent/EP2861234B1/en,https://patentimages.storage.googleapis.com/89/e4/72/d715ce308354a8/imgf0001.png
US-8577716-B2,System and method of ongoing evaluation reporting and analysis ,"Therapeuticsmd, Inc.","Brian Bernick, Robert Finizio, John Milligan",2009-09-17,2009-09-17,2013-11-05,2013-11-05,https://patents.google.com/patent/US8577716B2/en,https://patentimages.storage.googleapis.com/76/eb/25/06766beb8cef3d/US08577716-20131105-D00000.png
US-9289382-B2,Vaginal inserted estradiol pharmaceutical compositions and methods ,"Therapeuticsmd, Inc.","Brian A. Bernick, Julia M. Amadio",2012-06-18,2015-02-17,2016-03-22,2016-03-22,https://patents.google.com/patent/US9289382B2/en,https://patentimages.storage.googleapis.com/c4/b8/fd/66fbcfbd9ed739/US09289382-20160322-D00001.png
US-2012130737-A1,System and method for distrubutor reporting and analysis ,"Therapeuticsmd, Inc.","Robert Finizio, Brian Bernick, John Milligan",2009-09-17,2012-01-30,2012-05-24,,https://patents.google.com/patent/US20120130737A1/en,https://patentimages.storage.googleapis.com/52/58/df/e814cfffef5495/US20120130737A1-20120524-D00000.png
US-2015045335-A1,Vaginal inserted estradiol pharmaceutical compositons and methods ,"Therapeuticsmd, Inc.","Brian A. Bernick, Thorsteinn Thorsteinsson, Peter H. R. Persicaner, Janice Louise Cacace, Frederick D. Sancilio",2013-01-25,2014-10-22,2015-02-12,,https://patents.google.com/patent/US20150045335A1/en,https://patentimages.storage.googleapis.com/ac/61/a5/e45eae67b21be2/US20150045335A1-20150212-D00001.png
JP-6397402-B2,Vaginal insertion soluble estradiol capsule ,"セラピューティックスエムディー インコーポレーテッドＴｈｅｒａｐｅｕｔｉｃｓｍｄ， Ｉｎｃ．, セラピューティックスエムディー  インコーポレーテッドＴｈｅｒａｐｅｕｔｉｃｓｍｄ，  Ｉｎｃ．","エイ バーニック ブライアン, エイ  バーニック ブライアン, エム アマディオ ジュリア, エム  アマディオ ジュリア, エイチ アール ペルシカナー ピーター, エイチ  アール  ペルシカナー ピーター, ソルスティンソン トールスティン, ソルスティンソン トールスティン, ルイーズ カカセ ジャニス, ルイーズ  カカセ ジャニス",2012-06-18,2013-06-18,2018-09-26,2018-09-26,https://patents.google.com/patent/JP6397402B2/en,https://patentimages.storage.googleapis.com/01/69/db/3dab96d9b5f66b/0006397402-7.png
US-9180091-B2,Soluble estradiol capsule for vaginal insertion ,"Therapeuticsmd, Inc.","Brian A. Bernick, Julia M. Amadio, Peter H. R. Persicaner, Neda Irani, Janice Louise Cacace, Thorsteinn Thorsteinsson, Frederick D. Sancilio",2012-12-21,2013-12-20,2015-11-10,2015-11-10,https://patents.google.com/patent/US9180091B2/en,https://patentimages.storage.googleapis.com/13/5a/31/1d71080634d014/US09180091-20151110-D00001.png
US-2015031654-A1,Natural combination hormone replacement formulations and therapies ,"Therapeuticsmd, Inc.",Julia M. Amadio,2012-06-18,2014-10-10,2015-01-29,,https://patents.google.com/patent/US20150031654A1/en,https://patentimages.storage.googleapis.com/3b/3c/31/8b8601732e3b3a/US20150031654A1-20150129-D00001.png
