search URL:,https://patents.google.com/?assignee=THRESHOLD+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6979675-B2,Treatment of cancer with 2-deoxyglucose ,"Threshold Pharmaceuticals, Inc.",George Tidmarsh,2003-01-10,2004-01-09,2005-12-27,2005-12-27,https://patents.google.com/patent/US6979675B2/en,
AU-2004226338-C1,Compositions and methods for treating cancer ,"Threshold Pharmaceuticals, Inc.","Jian-Xin Duan, Mark Matteucci, Photon Rao",2003-03-28,2004-03-29,2012-01-12,2012-01-12,https://patents.google.com/patent/AU2004226338C1/en,
US-6989140-B2,Methods for cancer imaging ,"Threshold Pharmaceuticals, Inc.","George Tidmarsh, Mark Matteucci",2001-12-21,2002-12-20,2006-01-24,2006-01-24,https://patents.google.com/patent/US6989140B2/en,
US-7001888-B2,Compositions and methods for treating cancer ,"Threshold Pharmaceuticals, Inc.","George Tidmarsh, Mark Matteucci, Photon Rao",2002-03-29,2003-03-28,2006-02-21,2006-02-21,https://patents.google.com/patent/US7001888B2/en,
US-8664204-B2,Phosphoramidate alkylator prodrugs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Jian-Xin Duan, Hailong Jiao",2005-06-29,2013-07-12,2014-03-04,2014-03-04,https://patents.google.com/patent/US8664204B2/en,https://patentimages.storage.googleapis.com/b9/21/0f/8b6105a236fb1a/US08664204-20140304-D00001.png
US-2006276527-A1,Combination therapies for the treatment of cancer ,"Thresold Pharmaceuticals, Inc.",George Tidmarsh,2003-01-17,2004-01-16,2006-12-07,,https://patents.google.com/patent/US20060276527A1/en,https://patentimages.storage.googleapis.com/82/b8/5a/0ad78832aecc43/US20060276527A1-20061207-D00001.png
EP-2593139-B1,Administration of hypoxia activated prodrugs and antiangiogenic agents for the treatment of cancer ,"Threshold Pharmaceuticals, Inc.","Charles Hart, John Curd, Stewart Kroll, Jessica Sun",2010-07-12,2011-07-11,2017-08-23,2017-08-23,https://patents.google.com/patent/EP2593139B1/en,
WO-2006015263-A2,Lonidamine analogs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Photon Rao, Jian-Xin Duan",2004-07-29,2005-07-29,2006-02-09,,https://patents.google.com/patent/WO2006015263A2/en,
US-2007043057-A1,Lonidamine analogs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Photon Rao, Jian-Xin Duan",2005-02-09,2006-02-01,2007-02-22,,https://patents.google.com/patent/US20070043057A1/en,https://patentimages.storage.googleapis.com/20/50/a4/67d71fa96a1435/US20070043057A1-20070222-D00001.png
US-2009042820-A1,Tubulin Binding Anti Cancer Agents And Prodrugs Thereof ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Jian-Xin Duan, Xiaohong Cai",2004-11-22,2005-11-17,2009-02-12,,https://patents.google.com/patent/US20090042820A1/en,
US-6989400-B2,Treatment of benign prostatic hyperplasia ,"Threshold Pharmaceuticals, Inc.",George Tidmarsh,2003-01-17,2004-01-16,2006-01-24,2006-01-24,https://patents.google.com/patent/US6989400B2/en,
JP-5347164-B2,Nitro - imidazole hypoxia imaging agents ,スレッショルド  ファーマスーティカルズ，インコーポレイテッドＴｈｒｅｓｈｏｌｄ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，  Ｉｎｃ．,"コルプ、ハルトムート, シー ウォルシュ、ジョセフ, ビー ガンガドハルマト、ウメシュ, カリミ、ファーハッド, クリフトン パジェット、ヘンリー, カシ、ダーナラクシュミ, ガオ、ツィヤン, リン、キアンワ, リー カリアー、トーマス, エイ ダクロス、ブライアン, ツァオ、ティミン",2007-04-05,2008-04-04,2013-11-20,2013-11-20,https://patents.google.com/patent/JP5347164B2/en,https://patentimages.storage.googleapis.com/JP5347164B2/0005347164.png
US-2007015771-A1,Lonidamine analogs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Photon Rao, Jian-Xin Duan",2004-07-29,2006-02-08,2007-01-18,,https://patents.google.com/patent/US20070015771A1/en,https://patentimages.storage.googleapis.com/23/5f/b5/252cdbc1534e20/US20070015771A1-20070118-D00001.png
US-8946275-B2,Treatment of cancer using hypoxia activated prodrugs ,"Threshold Pharmaceuticals, Inc.","John G. Curd, Stewart Kroll, Mark Matteucci, Charles P. Hart, Jian-Xin Duan",2008-10-21,2009-10-21,2015-02-03,2015-02-03,https://patents.google.com/patent/US8946275B2/en,
US-8552048-B2,Phosphoramidate alkylator prodrugs for the treatment of cancer ,"Threshold Pharmaceuticals, Inc.","Steve Ammons, Jian-Xin Duan, Donald Jung, Mark Matteucci",2006-12-26,2007-12-21,2013-10-08,2013-10-08,https://patents.google.com/patent/US8552048B2/en,https://patentimages.storage.googleapis.com/eb/33/c5/f2d2fd44f4e167/US08552048-20131008-D00001.png
US-2008132458-A1,Hypoxia-Activated Anti-Cancer Agents ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Jian-Xin Duan",2004-03-10,2005-03-10,2008-06-05,,https://patents.google.com/patent/US20080132458A1/en,
US-7560230-B2,Method for determining susceptibility of tumor to treatment with anti-neoplastic agent ,"Threshold Pharmaceuticals, Inc.",George Tidmarsh,2003-03-07,2004-03-04,2009-07-14,2009-07-14,https://patents.google.com/patent/US7560230B2/en,
US-2013296273-A1,Treatment of blood cancer ,"Threshold Pharmaceuticals, Inc.","John Curd, Damian Handisides, Charles Hart, Stewart Kroll",2010-06-28,2011-06-27,2013-11-07,,https://patents.google.com/patent/US20130296273A1/en,
CA-2554463-C,Anti-cancer therapies ,"Threshold Pharmaceuticals, Inc., George Tidmarsh",George Tidmarsh,2004-02-06,2005-02-04,2013-06-11,2013-06-11,https://patents.google.com/patent/CA2554463C/en,
US-8575188-B2,Camptothecin derivatives ,"Threshold Pharmaceuticals, Inc.","Xiaohong Cai, Jian-Xin Duan, Mark Matteucci, Yeyu Cao, Hailong Jiao",2009-06-17,2010-06-16,2013-11-05,2013-11-05,https://patents.google.com/patent/US8575188B2/en,
US-2015005264-A1,Predictive biomarker for hypoxia-activated prodrug therapy ,"Threshold Pharmaceuticals, Inc.",Charles Hart,2012-01-31,2013-01-30,2015-01-01,,https://patents.google.com/patent/US20150005264A1/en,https://patentimages.storage.googleapis.com/49/19/38/be61615c98ba6d/US20150005264A1-20150101-D00001.png
US-2014072624-A1,Unit dose form for oral administration ,"Threshold Pharmaceuticals, Inc.","Donald Jung, Mark Matteucci, Stewart Kroll",2011-04-15,2012-04-13,2014-03-13,,https://patents.google.com/patent/US20140072624A1/en,https://patentimages.storage.googleapis.com/0f/a5/51/f74c2292f7155d/US20140072624A1-20140313-D00001.png
US-2015005262-A1,Hypoxia activated prodrugs and mtor inhibitors for treating cancer ,"Threshold Pharmaceuticals, Inc.","Charles Hart, Jessica Sun, Fanying Meng",2011-12-22,2012-12-20,2015-01-01,,https://patents.google.com/patent/US20150005262A1/en,https://patentimages.storage.googleapis.com/1a/42/fb/76dbe500692a61/US20150005262A1-20150101-D00001.png
US-2006172953-A1,Treatment of benign prostatic hyperplasia using energolytic agents ,Threshold Pharmaceuticals Inc.,"George Tidmarsh, Harold Selick",2003-01-17,2004-01-16,2006-08-03,,https://patents.google.com/patent/US20060172953A1/en,https://patentimages.storage.googleapis.com/d2/4d/1b/e9b8036dfa196b/US20060172953A1-20060803-D00001.png
US-2008214576-A1,Topoisomerase Inhibitors and Prodrugs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Jian-Xin Duan, Photon Rao",2004-11-18,2005-11-27,2008-09-04,,https://patents.google.com/patent/US20080214576A1/en,
US-2007060534-A1,Anthracycline analogs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Jian-Xin Duan, Xiaohong Cai",2005-06-30,2006-06-30,2007-03-15,,https://patents.google.com/patent/US20070060534A1/en,
WO-2008151253-A1,Hypoxia activated prodrugs of antineoplastic agents ,"Threshold Pharmaceuticals, Inc., Chen, Tao","Hailong Jiao, Jason Lewis, Mark Matteucci, Difei Sun",2007-06-04,2008-06-04,2008-12-11,,https://patents.google.com/patent/WO2008151253A1/en,
US-2011182909-A1,Glufosfamide combination therapy ,"Threshold Pharmaceuticals, Inc.",George Tidmarsh,2004-12-23,2005-12-22,2011-07-28,,https://patents.google.com/patent/US20110182909A1/en,
US-9254299-B2,Administration of hypoxia activated prodrugs in combination with Chk1 inhibitors for treating cancer ,"Threshold Pharmaceuticals, Inc.","Charles Hart, Fanying Meng, Jessica Sun",2011-12-22,2012-12-20,2016-02-09,2016-02-09,https://patents.google.com/patent/US9254299B2/en,https://patentimages.storage.googleapis.com/59/e4/81/358f2716d78b87/US09254299-20160209-D00001.png
AU-2012236142-A1,Methods for treating cancer ,"Threshold Pharmaceuticals, Inc.","John Curd, Charles Hart, Mark Matteucci",2011-04-01,2012-03-30,2013-10-17,,https://patents.google.com/patent/AU2012236142A1/en,
WO-2016145092-A1,Dna alkylating agents ,"Threshold Pharmaceuticals, Inc.","Jian-Xin Duan, Yeyu Cao, Xiaohong Cai, Hailong Jiao, Jing Yuan MA, Mark Matteucci",2015-03-10,2016-03-09,2016-09-15,,https://patents.google.com/patent/WO2016145092A1/en,
WO-2006015191-A2,Multicyclic lonidamine analogs ,"Threshold Pharmaceuticals, Inc.","Mark Matteucci, Photon Rao, Jian-Xin Duan",2004-07-29,2005-07-29,2006-02-09,,https://patents.google.com/patent/WO2006015191A2/en,
WO-2008011588-A2,Glycoconjugates of phosphoramidate alkylators for treatment of cancer ,"Threshold Pharmaceuticals, Inc.","Jian-Xin Duan, Jason Lewis, Hailong Jiao",2006-07-20,2007-07-20,2008-01-24,,https://patents.google.com/patent/WO2008011588A2/en,
