search URL:,https://patents.google.com/?assignee=TOKAI+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9359395-B2,Prodrugs of steroidal CYP17 inhibitors/antiandrogens ,"Tokai Pharmaceuticals, Inc.",David S. Casebier,2009-02-05,2014-07-10,2016-06-07,2016-06-07,https://patents.google.com/patent/US9359395B2/en,
US-2015320770-A1,Novel compositions and methods for treating prostate cancer ,"Tokai Pharmaceuticals, Inc.","David Scott Casebier, Abdellah Sentissi, Richard Christian Moreton, Mark Turnbull",2011-07-18,2015-07-23,2015-11-12,,https://patents.google.com/patent/US20150320770A1/en,https://patentimages.storage.googleapis.com/9f/2a/2e/96a6a6881e4813/US20150320770A1-20151112-D00001.png
US-8791094-B2,Treatment of prostate cancer ,"Tokai Pharmaceuticals, Inc.","Jodie Pope Morrison, Cy Aaron Stein, David Scott Casebier",2009-08-07,2010-08-05,2014-07-29,2014-07-29,https://patents.google.com/patent/US8791094B2/en,https://patentimages.storage.googleapis.com/b2/f8/82/67d46bf0bc9a08/US08791094-20140729-D00001.png
US-9387216-B2,Biomarkers for treatment of neoplastic disorders using androgen-targeted therapies ,"Tokai Pharmaceuticals, Inc., University Of Washington, University Of Maryland, Baltimore","Vincent C. O. Njar, Amina Zoubeidi, Karen Ferrante, Eva Corey, Douglas B. Jacoby",2013-08-12,2015-07-06,2016-07-12,2016-07-12,https://patents.google.com/patent/US9387216B2/en,https://patentimages.storage.googleapis.com/14/0f/93/cb0b9d5003be06/US09387216-20160712-D00001.png
US-2011319369-A1,"Combination of a 17 alpha-hydroxylase/c17, 20-lyase inhibitor with an additional therapeutic agent ","Tokai Pharmaceuticals, Inc.","David Casebier, Scott Chappel",2009-02-05,2010-02-05,2011-12-29,,https://patents.google.com/patent/US20110319369A1/en,
EP-2793896-A1,Methods and compositions for combination therapy using p13k/mtor inhibitors ,"Tokai Pharmaceuticals, Inc.",Susan Stewart,2011-12-22,2012-12-21,2014-10-29,,https://patents.google.com/patent/EP2793896A1/en,
AU-2010319697-B2,Mammalian metabolites of steroids ,"Tokai Pharmaceuticals, Inc.","David S. Casebier, Scott C. Chappel",2009-11-13,2010-11-09,2016-05-19,2016-05-19,https://patents.google.com/patent/AU2010319697B2/en,
US-8791095-B2,Steroidal CYP17 inhibitors/antiandrogens ,"Tokai Pharmaceuticals, Inc.",David Casebier,2009-02-05,2010-02-05,2014-07-29,2014-07-29,https://patents.google.com/patent/US8791095B2/en,
WO-2016172517-A1,Methods of treating prostate cancer ,"Tokai Pharmaceuticals, Inc.",Karen J. Ferrante,2015-04-24,2016-04-22,2016-10-27,,https://patents.google.com/patent/WO2016172517A1/en,
WO-2013071177-A1,Methods and compositions for inhibition of androgen receptor activity ,"Tokai Pharmaceuticals, Inc.","Cy A. Stein, Harris Soifer, Bekir Cinar, Scott Chappel",2011-11-10,2012-11-09,2013-05-16,,https://patents.google.com/patent/WO2013071177A1/en,
WO-2010008561-A2,Methods and compositions for protecting against cytotoxic therapy ,"Tokai Pharmaceuticals, Inc.",Scott Chappel,2008-07-16,2009-07-16,2010-01-21,,https://patents.google.com/patent/WO2010008561A2/en,
