search URL:,https://patents.google.com/?assignee=TRANZYME+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7491695-B2,Methods of using macrocyclic modulators of the ghrelin receptor ,Tranzyme Pharma Inc.,"Graeme L. Fraser, Hamid R. Hoveyda, Mark L. Peterson",2003-06-18,2005-06-10,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491695B2/en,
US-8334256-B2,Pharmaceutical salts of macrocyclic modulators of the ghrelin receptor ,Tranzyme Pharma Inc.,"Eric Marsault, Carl St-Louis",2003-06-18,2009-01-09,2012-12-18,2012-12-18,https://patents.google.com/patent/US8334256B2/en,https://patentimages.storage.googleapis.com/d7/c0/3b/67e994facc7be8/US08334256-20121218-D00001.png
EP-1633774-B1,Macrocyclic antagonists of the motilin receptor ,Tranzyme Pharma Inc.,"Sylvie Beaubien, Kamel Benakli, Robert Deziel, Graeme Fraser, Hamid Hoveyda, Eric Marsault, Mark Peterson",2003-06-18,2004-06-18,2010-02-17,2010-02-17,https://patents.google.com/patent/EP1633774B1/en,
CA-2677399-C,Macrocyclic ghrelin receptor modulators and methods of using the same ,"Tranzyme Pharma, Inc., Hamid Hoveyda, Graeme Fraser, Sophie Beauchemin, Martin Brassard, David Drutz, Eric Marsault, Luc Ouellet, Mark L. Peterson, Zhigang Wang, Kamel Benakli, Ocera Therapeutics, Inc.","Hamid Hoveyda, Graeme Fraser, Sophie Beauchemin, Martin Brassard, David Drutz, Eric Marsault, Luc Ouellet, Mark L. Peterson, Zhigang Wang, Kamel Benakli",2007-02-09,2008-02-08,2016-09-13,2016-09-13,https://patents.google.com/patent/CA2677399C/en,
JP-5005865-B2,Combinatorial synthesis of macrocyclic compound libraries useful for drug discovery ,トランジーム  ファーマ  インコーポレイテッドＴｒａｎｚｙｍｅ  Ｐｈａｒｍａ  Ｉｎｃ．,"ウエレ、リュック, デロンシャン、ピエール, ドリー、イブ, ベルティオーム、ジル, ラン、リュオシー",1999-10-04,2000-10-04,2012-08-22,2012-08-22,https://patents.google.com/patent/JP5005865B2/en,https://patentimages.storage.googleapis.com/cd/f1/f7/efe2cdb766dcf6/0005005865-61.png
CA-2533818-C,Spatially-defined macrocyclic compounds useful for drug discovery ,"Tranzyme Pharma, Inc., Ruoxi Lan, Shigui Li, Sylvie Beaubien, Kamel Benakli, Pierre Deslongchamps, Yves Dory, Daniel Fortin, Hamid Hoveyda, Eric Marsault, Luc Ouellet, Mark Peterson, Mahesh Ramaseshan, Martin Vezina, Gerald Villeneuve, Graeme L. Fraser, Ocera Therapeutics, Inc.","Ruoxi Lan, Shigui Li, Sylvie Beaubien, Kamel Benakli, Pierre Deslongchamps, Yves Dory, Daniel Fortin, Hamid Hoveyda, Eric Marsault, Luc Ouellet, Mark Peterson, Mahesh Ramaseshan, Martin Vezina, Gerald Villeneuve, Graeme L. Fraser",2003-07-31,2004-08-02,2015-03-17,2015-03-17,https://patents.google.com/patent/CA2533818C/en,
EP-1648923-B1,Spatially-defined macrocycles incorporating peptide bond surrogates ,Tranzyme Pharma Inc.,"Pierre Deslongchamps, Yves Dory, Luc Ouellet, Gérald VILLENEUVE, Mahesh Ramaseshan, Daniel Fortin, Mark Peterson, Hamid Hoveyda, Sylvie Beaubien, Eric Marsault",2003-07-31,2004-08-02,2008-12-31,2008-12-31,https://patents.google.com/patent/EP1648923B1/en,https://patentimages.storage.googleapis.com/fe/69/4a/213a1b3d914288/imgf0001.png
US-8088733-B2,Methods of using macrocyclic agonists of the ghrelin receptor for treatment of gastrointestinal motility disorders ,Tranzyme Pharma Inc.,"Graeme L. Fraser, Hamid R. Hoveyda, Mark L. Peterson",2006-07-06,2007-07-06,2012-01-03,2012-01-03,https://patents.google.com/patent/US8088733B2/en,https://patentimages.storage.googleapis.com/f8/95/4b/31e610b34d5ce9/US08088733-20120103-D00001.png
US-2011105389-A1,Macrocyclic Ghrelin Receptor Antagonists and Inverse Agonists and Methods of Using the Same ,"Hoveyda Hamid R, Eric Marsault, Helmut Thomas, Graeme Fraser, Sylvie Beaubien, Axel Mathieu, Julien Beignet, Bonin Marc-Andre, Serge Phoenix, David Drutz, Mark Peterson, Sophie Beauchemin, Martin Brassard, Martin Vezina","Hamid R. Hoveyda, Eric Marsault, Helmut Thomas, Graeme Fraser, Sylvie Beaubien, Axel Mathieu, Julien Beignet, Marc-André Bonin, Serge Phoenix, David Drutz, Mark Peterson, Sophie Beauchemin, Martin Brassard, Martin Vezina",2009-10-30,2010-10-29,2011-05-05,,https://patents.google.com/patent/US20110105389A1/en,https://patentimages.storage.googleapis.com/07/d1/77/034c7d6012f583/US20110105389A1-20110505-D00000.png
US-2009275648-A1,Macrocyclic ghrelin receptor antagonists and inverse agonists and methods of using the same ,"Fraser Graeme L, Hoveyda Hamid R","Graeme L. Fraser, Hamid R. Hoveyda",2005-06-13,2006-04-26,2009-11-05,,https://patents.google.com/patent/US20090275648A1/en,
US-2011245159-A1,"Salts, Solvates and Pharmaceutical Compositions of Macrocyclic Ghrelin Receptor Agonists and Methods of Using the Same ","Hoveyda Hamid R, Vezina Martin, Eric Fournier, Gagnon Rene, Bherer Patrick","Hamid R. Hoveyda, Martin Vézina, Eric Fournier, René Gagnon, Patrick Bhérer",2009-09-30,2010-09-29,2011-10-06,,https://patents.google.com/patent/US20110245159A1/en,https://patentimages.storage.googleapis.com/2f/29/36/950b7e7cb9d207/US20110245159A1-20111006-D00000.png
US-RE42013-E,Macrocyclic modulators of the ghrelin receptor ,Tranzyme Pharma Inc.,"Hamid Hoveyda, Mark L. Peterson, Graeme L. Fraser, Mahesh Ramaseshan",2003-06-18,2009-12-11,2010-12-28,2010-12-28,https://patents.google.com/patent/USRE42013E1/en,https://patentimages.storage.googleapis.com/fb/4a/0f/013ba967abd56a/USRE042013-20101228-D00001.png
CA-2662897-C,Macrocyclic antagonists of the motilin receptor for treatment of gastrointestinal dysmotility disorders ,"Tranzyme Pharma, Inc., Eric Marsault, Graeme Fraser, Kamel Benakli, Carl St-Louis, Alain Rouillard, Helmut Thomas, Ocera Therapeutics, Inc.","Eric Marsault, Graeme Fraser, Kamel Benakli, Carl St-Louis, Alain Rouillard, Helmut Thomas",2006-09-11,2007-09-11,2017-11-07,2017-11-07,https://patents.google.com/patent/CA2662897C/en,
US-2009198050-A1,Macrocyclic Modulators of the Ghrelin Receptor ,Tranzyme Pharma Inc.,"Eric Marsault, Luc Ouellet, Carl St-Louis, Sylvie Beaubien, Kamel Benakli, Hamid R. Hoveyda, Mark L. Peterson, Shridhar Bhat",2003-06-18,2008-10-31,2009-08-06,,https://patents.google.com/patent/US20090198050A1/en,
EP-1891090-A2,Macrocyclic ghrelin receptor antagonists and inverse agonists and methods of using the same ,"Tranzyme Pharma, Inc.","Graeme Fraser, Hamid Hoveyda",2005-06-13,2006-04-26,2008-02-27,,https://patents.google.com/patent/EP1891090A2/en,
US-RE42624-E,Methods of using macrocyclic modulators of the ghrelin receptor ,Tranzyme Pharma Inc.,"Graeme L. Fraser, Hamid R. Hoveyda, Mark L. Peterson",2003-06-18,2009-12-11,2011-08-16,2011-08-16,https://patents.google.com/patent/USRE42624E1/en,https://patentimages.storage.googleapis.com/8c/47/6d/ac95112c59e53d/USRE042624-20110816-D00001.png
US-2003167500-A1,Methods and compositions for generating a genetically modified animal using lentiviral vectors ,"Ram Ramabhadran, Frank Koentgen, Wakefield John K.","Ram Ramabhadran, Frank Koentgen, John Wakefield",2001-12-21,2002-12-19,2003-09-04,,https://patents.google.com/patent/US20030167500A1/en,https://patentimages.storage.googleapis.com/2c/b8/16/4413f4edceb6b4/US20030167500A1-20030904-D00001.png
US-2003003582-A1,Trans-viral vector mediated gene transfer to the retina ,"Tranzyme, Inc.","John Wakefield, Jean Bennett",2001-05-08,2002-05-07,2003-01-02,,https://patents.google.com/patent/US20030003582A1/en,https://patentimages.storage.googleapis.com/46/1e/30/b7e2c108c3b1e1/US20030003582A1-20030102-D00001.png
WO-0104360-A2,Retroviral recombination assays and uses thereof ,"Uab Research Foundation, Tranzyme, Inc.","John C. Kappes, Xiaoyun Wu, John Wakeield",1999-07-09,2000-07-06,2001-01-18,,https://patents.google.com/patent/WO2001004360A2/en,
US-2008287371-A1,Macrocyclic antagonists of the motilin receptor for modulation of the migrating motor complex ,Tranzyme Pharma Inc.,"Graeme L. Fraser, Eric Marsault",2007-05-17,2008-05-16,2008-11-20,,https://patents.google.com/patent/US20080287371A1/en,
WO-2006046977-A1,Macrocyclic ghrelin receptor antagonists and methods of using the same ,"Tranzyme Pharma, Inc.","Graeme Fraser, Hamid Hoveyda",2004-10-26,2005-06-13,2006-05-04,,https://patents.google.com/patent/WO2006046977A1/en,
US-2012270769-A1,Methods of using macrocyclic inhibitors of serine protease enzymes ,"Marsault Eric, Olivier Leogane, Axel Mathieu, Sylvie Beaubien, Richard Leduc","Éric Marsault, Olivier Leogane, Axel Mathieu, Sylvie Beaubien, Richard Leduc",2009-10-23,2010-10-22,2012-10-25,,https://patents.google.com/patent/US20120270769A1/en,https://patentimages.storage.googleapis.com/22/d8/0a/1d9e6cb4087a52/US20120270769A1-20121025-D00001.png
US-8921521-B2,Macrocyclic modulators of the Ghrelin receptor ,"Ocera Therapeutics, Inc.","Eric Marsault, Carl St-Louis",2003-06-18,2012-12-17,2014-12-30,2014-12-30,https://patents.google.com/patent/US8921521B2/en,https://patentimages.storage.googleapis.com/e2/4c/ed/11d5f97a39c429/US08921521-20141230-D00001.png
AU-2015201862-B2,Macrocyclic ghrelin receptor modulators and methods of using the same ,"Tranzyme Pharma, Inc.","Sophie Beauchemin, Kamel Benakli, Martin Brassard, David Drutz, Graeme Fraser, Hamid Hoveyda, Eric Marsault, Luc Ouellet, Mark L. Peterson, Zhigang Wang",2007-02-09,2015-04-14,2016-10-13,2016-10-13,https://patents.google.com/patent/AU2015201862B2/en,
US-2008009225-A1,Toy strength measuring device ,Mark Barthold,Mark Barthold,2006-05-03,2007-05-03,2008-01-10,,https://patents.google.com/patent/US20080009225A1/en,https://patentimages.storage.googleapis.com/80/89/84/201bcf058abf72/US20080009225A1-20080110-D00000.png
WO-2011146845-A1,Modified macrocyclic ghrelin receptor modulators and methods of using the same ,"Tranzyme Pharma, Inc.","Éric MARSAULT, Helmut Thomas, Patrick BHÉRER, Lilian Clohs, Sophie Beauchemin, Martin Brassard, Felix Dupont, Serge Phoenix, Martin Vézina",2010-05-21,2011-05-20,2011-11-24,,https://patents.google.com/patent/WO2011146845A1/en,
WO-03072797-A1,Novel trans-viral vectors comprising multicistronic expression constructs and methods of use ,"Tranzyme, Inc., Uab Research Foundation","John K. Wakefield, John C. Kappes, Xiaoyun Wu",2002-02-22,2003-02-24,2003-09-04,,https://patents.google.com/patent/WO2003072797A1/en,
JP-2013040182-A,Method of using macrocyclic modulator of ghrelin receptor ,"Tranzyme Pharma Inc, トランザイム・ファーマ，インコーポレイテッド","Hamid Hoveyda, ホヴェイダ，ハミド, Mark Peterson, ピーターソン，マーク, Graeme Fraser, フレイザー，グレアム, Mahesh Ramaseshan, ラマスシャン，マヘシュ",2004-06-18,2012-10-01,2013-02-28,,https://patents.google.com/patent/JP2013040182A/en,https://patentimages.storage.googleapis.com/18/ee/16/4e384fd5bc7c61/2013040182-150.png
IN-2006DN07763-A,Macrocylclic modulators of the ghrelin receptor ,"Tranzyme Pharma,Inc","Hoveyda Hamid, Peterson Mark, Fraser Graeme, Ramaseshan Mahesh",2003-06-18,2006-12-20,2007-08-17,,https://patents.google.com/patent/IN2006DN07763A/en,
JP-2012006961-A,Method of using macrocyclic modulator of ghrelin receptor ,"Tranzyme Pharma Inc, トランザイム・ファーマ，インコーポレイテッド","Graeme Fraser, Hamid Hoveyda, Mark Peterson, Mahesh Ramaseshan, ピーターソン，マーク, フレイザー，グレアム, ホヴェイダ，ハミド, ラマスシャン，マヘシュ",2004-06-18,2011-08-15,2012-01-12,,https://patents.google.com/patent/JP2012006961A/en,https://patentimages.storage.googleapis.com/47/c2/86/17e480d5458b00/2012006961-150.png
