search URL:,https://patents.google.com/?assignee=TREVENA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9044469-B2,Opioid receptor ligands and methods of using and making same ,"Trevena, Inc.","Dennis Yamashita, Dimitar Gotchev, Philip Pitis, Xiao-Tao Chen, Guodong Liu, Catherine C. K. Yuan",2011-03-23,2013-08-12,2015-06-02,2015-06-02,https://patents.google.com/patent/US9044469B2/en,
US-9534017-B2,Beta-arrestin effectors and compositions and methods of use thereof ,"Trevena, Inc.","Dennis Yamashita, Xiao-Tao Chen",2008-12-29,2014-08-15,2017-01-03,2017-01-03,https://patents.google.com/patent/US9534017B2/en,
US-8946142-B2,Beta-arrestin effectors and compositions and methods of use thereof ,"Trevena, Inc.","Dennis Yamashita, Xiao Tao Chen",2012-01-31,2013-01-31,2015-02-03,2015-02-03,https://patents.google.com/patent/US8946142B2/en,
US-9518086-B2,Crystalline and amorphous forms of a β-arrestin effector ,"Trevena, Inc.","Ritesh Sanghvi, Gregory Alcorn, Graham Richard Lawton, Meiki Yu, Matthew Ronsheim, Jiaher Tian, Shao Hong Zhou, Yuriy B. Kalyan",2014-02-07,2015-02-06,2016-12-13,2016-12-13,https://patents.google.com/patent/US9518086B2/en,https://patentimages.storage.googleapis.com/c8/9f/bc/5ec96ea58f79a1/US09518086-20161213-D00001.png
US-10246436-B2,"6-membered aza-heterocyclic containing delta-opioid receptor modulating compounds, methods of using and making the same ","Trevena, Inc.","Aimee Crombie Speerschneider, Dennis Shinji Yamashita, Philip Michael Pitis, Michael John Hawkins, Guodong Liu, Tamara Ann Miskowski Daubert, Catherine C. K. Yuan, Robert Borbo Kargbo, Robert Jason Herr, Donna ROMERO, Gregory J. Pacofsky",2015-09-02,2016-08-30,2019-04-02,2019-04-02,https://patents.google.com/patent/US10246436B2/en,https://patentimages.storage.googleapis.com/7b/b7/a0/300b8c9e0a3656/US10246436-20190402-D00001.png
US-9611293-B2,Synthesis of beta-arrestin effectors ,"Trevena, Inc.","Nhut K. Diep, Yuriy Kalyan, Graham Lawton, Matthew Ronsheim, Shao Hong Zhou, Saibaba Racha",2014-05-19,2015-05-19,2017-04-04,2017-04-04,https://patents.google.com/patent/US9611293B2/en,https://patentimages.storage.googleapis.com/9a/00/24/1f4c0f65ad8e0b/US09611293-20170404-D00001.png
US-2017333385-A1,Methods of Treating Hyperalgesia ,"Trevena, Inc.","Conrad Cowan, Michael Koblish, Michael W. Lark",2015-12-14,2016-12-14,2017-11-23,,https://patents.google.com/patent/US20170333385A1/en,https://patentimages.storage.googleapis.com/55/3c/34/666780708a0862/US20170333385A1-20171123-D00000.png
KR-20180094938-A,Combination of opioid receptor ligand and cytochrome P450 inhibitor ,"트레베나, 인코포레이티드.","조나단 디. 바이올린, 데이비드 지. 소어겔",2015-12-17,2016-12-15,2018-08-24,,https://patents.google.com/patent/KR20180094938A/en,
WO-2016196750-A1,Beta-arrestin effectors and compositions and methods of use thereof ,"Trevena, Inc.","Michael Hawkins, David ROMINGER",2015-06-03,2016-06-02,2016-12-08,,https://patents.google.com/patent/WO2016196750A1/en,
WO-2018152293-A1,"5-membered aza-heterocyclic containing delta-opioid receptor modulating compounds, methods of using and making the same ","Trevena, Inc.","Aimee Crombie Speerschneider, Dennis Shinji Yamashita, Philip Michael Pitis, Michael John Hawkins, Guodong Liu, Tamara Ann MISKOWSKI DAUBERT, Catherine C.K. Yuan, Robert BORBO KARGBO, Robert Jason Herr, Donna Romero",2017-02-17,2018-02-15,2018-08-23,,https://patents.google.com/patent/WO2018152293A1/en,
WO-2018231745-A1,Compounds for modulating s1p1 activity and methods of using the same ,"Trevena, Inc.","Philip Michael Pitis, Robert Eugene BOYD, Tamara Ann Miskowski DAUBERT, Michael John Hawkins, Guodong Liu, Aimee Crombie SPEERSCHNEIDER",2017-06-14,2018-06-12,2018-12-20,,https://patents.google.com/patent/WO2018231745A1/en,
WO-2018152286-A1,"7-membered aza-heterocyclic containing delta-opioid receptor modulating compounds, methods of using and making the same ","Trevena, Inc.","Aimee Crombie Speerschneider, Dennis Shinji Yamashita, Philip Michael Pitis, Michael John Hawkins, Guodong Liu, Tamara Ann MISKOWSKI DAUBERT, Catherine C.K. Yuan, Robert BORBO KARGBO, Robert Jason Herr, Donna Romero",2017-02-17,2018-02-15,2018-08-23,,https://patents.google.com/patent/WO2018152286A1/en,
WO-2012075232-A1,Opioid receptor ligands and methods of using and making the same ,"Trevena, Inc.","Dennis Yamashita, Xiao-Tao Chen, Dimitar Gotchev, Catherine C.K. Yuan, Guodong Liu, Tamara A. Miskowski, Philip Pitis",2010-12-04,2011-12-01,2012-06-07,,https://patents.google.com/patent/WO2012075232A1/en,
