search URL:,https://patents.google.com/?assignee=TRIUS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8420676-B2,Oxazolidinone derivatives ,Dong-A Pharmaceuticals Co. Ltd.,"Jae Keol Rhee, Weon Bin Im, Chong Hwan Cho, Sung Hak Choi, Tae Ho Lee",2003-12-18,2008-09-16,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420676B2/en,
US-8728796-B2,Tiacumicin production ,"Optimer Pharmaceuticals, Inc.","Youe-Kong Shue, Chi-Jen Frank Du, Ming-His Chiou, Mei-Chiao Wu, Yuan-Ting Chen, Franklin W. Okumu, Jonathan James Duffield",2002-07-29,2012-06-12,2014-05-20,2014-05-20,https://patents.google.com/patent/US8728796B2/en,https://patentimages.storage.googleapis.com/88/21/f9/98bfe8407ab156/US08728796-20140520-D00001.png
CA-2738671-C,Methods for preparing oxazolidinones and compositions containing them ,"Trius Therapeutics, Inc., Carrie A. Costello, Jaqueline A. Ware, Robert J. Duguid, Douglas Phillipson, Merck Sharp & Dohme Corp.","Carrie A. Costello, Jaqueline A. Ware, Robert J. Duguid, Douglas Phillipson",2008-10-10,2009-10-09,2018-05-01,2018-05-01,https://patents.google.com/patent/CA2738671C/en,
US-2013252914-A1,"Macrolide Polymorphs, Compositions Comprising Such Polymorphs, and Methods of Use and Manufacture Thereof ","Optimer Pharmaceuticals, Inc.","Yu-Hung Chiu, Tessie Mary Che, Alex Romero, Yoshi Ichikawa, Youe-Kong Shue",2005-01-31,2013-03-15,2013-09-26,,https://patents.google.com/patent/US20130252914A1/en,https://patentimages.storage.googleapis.com/a2/a4/87/08fe42aa510812/US20130252914A1-20130926-D00001.png
US-9481675-B2,Gyrase inhibitors ,Merck Sharp & Dohme Corp.,"Christopher J Creighton, Leslie William Tari, Zhiyong Chen, Mark Hilgers, Thanh To Lam, Xiaoming Li, Michael Trzoss, Junhu Zhang, John Finn, Daniel Bensen",2009-09-11,2010-09-10,2016-11-01,2016-11-01,https://patents.google.com/patent/US9481675B2/en,
CA-2751392-C,Crystalline form of r)-3-(4-(2-(2-methyltetrazol-5-yl)pyridin-5-yl)-3-fluorophenyl)-5-hydroxymethyl oxazolidin-2-one dihydrogen phosphate ,"Trius Therapeutics, Inc., Douglas Phillipson, Katharina Reichenbacher, Robert J. Duguid, Jacqueline A. Ware, Merck Sharp & Dohme Corp.","Douglas Phillipson, Katharina Reichenbacher, Robert J. Duguid, Jacqueline A. Ware",2009-02-03,2010-02-03,2017-03-28,2017-03-28,https://patents.google.com/patent/CA2751392C/en,
US-2013065844-A1,Compositions of Stable Tiacumicins ,"Suketu Sanghvi, Mark Roach, Joseph F. Zhou, Eric Michael Mittleberg, Ping He","Suketu Sanghvi, Mark Roach, Joseph F. Zhou, Eric Michael Mittleberg, Ping He",2007-01-19,2012-03-09,2013-03-14,,https://patents.google.com/patent/US20130065844A1/en,https://patentimages.storage.googleapis.com/3b/76/47/74f43f01ad7a8f/US20130065844A1-20130314-D00001.png
US-2013274175-A1,Treatment of disease associated with the use of antibiotics ,"Optimer Pharmaceuticals, Inc.","Youe-Kong Shue, Farah Kondori Babakhani, Franklin W. Okumu, Pamela Suzanne Sears, Starr Louise Miller-Shangle, Robert Brian Walsh",2004-05-14,2012-04-26,2013-10-17,,https://patents.google.com/patent/US20130274175A1/en,https://patentimages.storage.googleapis.com/22/98/a8/fa8fde71ab0de6/US20130274175A1-20131017-D00001.png
US-2012040922-A1,Antibiotic macrocycle compounds and methods of manufacture and use thereof ,"Yoshi Ichikawa, Yu-Hung Chiu, Youe-Kong Shue, Farah Kondori Babakhani","Yoshi Ichikawa, Yu-Hung Chiu, Youe-Kong Shue, Farah Kondori Babakhani",2007-11-27,2011-10-24,2012-02-16,,https://patents.google.com/patent/US20120040922A1/en,https://patentimages.storage.googleapis.com/43/c0/f6/22eb741e2381cf/US20120040922A1-20120216-D00001.png
US-2013274174-A1,"Therapeutic combination of daptomycin and protein synthesis inhibitor antibiotic, and methods of use ","Trius Therapeutics, Inc.","Kenneth F. Bartizal, Jeffrey B. Locke, Karen Joy Shaw, Philippe G. Prokocimer",2011-10-20,2013-06-06,2013-10-17,,https://patents.google.com/patent/US20130274174A1/en,https://patentimages.storage.googleapis.com/58/4e/cd/8c05e3bac71005/US20130274174A1-20131017-D00001.png
