search URL:,https://patents.google.com/?assignee=TRUBION+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2007257692-B2,Single-chain multivalent binding proteins with effector function ,Aptevo Research And Development Llc,"Robert Bader, William Brady, Valerie Calabro, Maximillian T. Follettie, Laura Sue Grosmaire, Martha Susan Hayden-Ledbetter, Jeffrey A. Ledbetter, Alwin Schuler, Lioudmila Tchistiakova, Peter Armstrong Thompson",2006-06-12,2007-06-12,2013-11-14,2013-11-14,https://patents.google.com/patent/AU2007257692B2/en,
US-7829084-B2,Binding constructs and methods for use thereof ,"Trubion Pharmaceuticals, Inc.","Jeffrey A. Ledbetter, Martha Hayden-Ledbetter",2001-01-17,2003-07-26,2010-11-09,2010-11-09,https://patents.google.com/patent/US7829084B2/en,https://patentimages.storage.googleapis.com/18/e9/b1/3cee3983c72ff0/US07829084-20101109-D00001.png
US-8188237-B2,Binding domain-immunoglobulin fusion proteins ,"Emergent Product Development Seattle, Llc","Jeffrey A. Ledbetter, Martha Susan Hayden-Ledbetter",2001-01-17,2010-10-08,2012-05-29,2012-05-29,https://patents.google.com/patent/US8188237B2/en,https://patentimages.storage.googleapis.com/32/10/00/07410c0e7641bb/US08188237-20120529-D00001.png
US-7754208-B2,Binding domain-immunoglobulin fusion proteins ,"Trubion Pharmaceuticals, Inc.","Jeffrey A Ledbetter, Martha S Hayden-Ledbetter",2001-01-17,2002-07-25,2010-07-13,2010-07-13,https://patents.google.com/patent/US7754208B2/en,https://patentimages.storage.googleapis.com/87/88/23/47fdcb9b5dac3f/US07754208-20100713-D00001.png
CA-2433877-C,Binding domain-immunoglobulin fusion proteins ,"Genecraft, Inc., Jeffrey A. Ledbetter, Martha Hayden-Ledbetter, Trubion Pharmaceuticals, Inc., Emergent Product Development Seattle, Llc, Aptevo Research And Development Llc","Jeffrey A. Ledbetter, Martha Hayden-Ledbetter",2001-01-17,2002-01-17,2014-11-18,2014-11-18,https://patents.google.com/patent/CA2433877C/en,
CA-2719924-C,Cd37 immunotherapeutic and combination with bifunctional chemotherapeutic thereof ,"Philip Tan, Sandy Alexander Simon, Charles G. Cerveny, Christy Anne Nilsson, William Brady, Jeffrey A. Ledbetter, Martha Susan Hayden-Ledbetter, Peter Armstrong Thompson, Cecile Morales, Trubion Pharmaceuticals, Inc., Emergent Product Development Seattle, Llc, Aptevo Research And Development Llc","Philip Tan, Sandy Alexander Simon, Charles G. Cerveny, Christy Anne Nilsson, William Brady, Jeffrey A. Ledbetter, Martha Susan Hayden-Ledbetter, Peter Armstrong Thompson, Cecile Morales",2008-04-11,2009-04-11,2017-10-03,2017-10-03,https://patents.google.com/patent/CA2719924C/en,
CA-2616395-C,B-cell reduction using cd37-specific and cd20-specific binding molecules ,"Trubion Pharmaceuticals, Laura Sue Grosmaire, Martha Susan Hayden-Ledbetter, Jeffrey A. Ledbetter, Peter Armstrong Thompson, Sandy Alexander Simon, William Brady, Trubion Pharmaceuticals, Inc., Emergent Product Development Seattle, Llc, Aptevo Research And Development Llc","Laura Sue Grosmaire, Martha Susan Hayden-Ledbetter, Jeffrey A. Ledbetter, Peter Armstrong Thompson, Sandy Alexander Simon, William Brady",2005-07-25,2006-07-25,2016-10-04,2016-10-04,https://patents.google.com/patent/CA2616395C/en,
US-7754209-B2,Binding constructs and methods for use thereof ,Trubion Pharmaceuticals,"Jeffrey A. Ledbetter, Martha Susan Hayden-Ledbetter",2003-07-26,2003-12-24,2010-07-13,2010-07-13,https://patents.google.com/patent/US7754209B2/en,https://patentimages.storage.googleapis.com/81/b5/62/82b9ed3409e3e5/US07754209-20100713-D00001.png
US-2011177070-A1,TGF-Beta Antagonist Multi-Target Binding Proteins ,"Emergent Product Development Seatlle, LLC","Alan Keith Lofquist, Peter Robert Baum, Peter Armstrong Thompson, Lynda Misher",2008-07-02,2009-07-02,2011-07-21,,https://patents.google.com/patent/US20110177070A1/en,https://patentimages.storage.googleapis.com/7a/92/2d/240b9e305c7491/US20110177070A1-20110721-D00001.png
US-2008181892-A1,Binding Domain Fusion Protein ,Trubion Pharmaceuticals,"Jeffrey A. Ledbetter, Martha Susan Hayden-Ledbetter, Peter Armstrong Thompson, Philip H. Tan",2004-08-11,2005-08-10,2008-07-31,,https://patents.google.com/patent/US20080181892A1/en,https://patentimages.storage.googleapis.com/US20080181892A1/US20080181892A1-20080731-D00000.png
US-7118751-B1,DNA vaccines encoding antigen linked to a domain that binds CD40 ,"Trubion Pharmaceuticals, Inc.","Jeffrey A Ledbetter, Martha Hayden-Ledbetter",1999-10-14,2000-10-13,2006-10-10,2006-10-10,https://patents.google.com/patent/US7118751B1/en,https://patentimages.storage.googleapis.com/US7118751B1/US07118751-20061010-D00000.png
US-2013189261-A1,TCR Complex Immunotherapeutics ,"Emergent Product Development Seattle, Llc","Valerie Odegard, Catherine J. McMahan, Peter Robert Baum, Peter Armstrong Thompson, Philip Tan, John W. Blankenship, Sateesh Kumar Natarajan",2008-10-10,2013-03-14,2013-07-25,,https://patents.google.com/patent/US20130189261A1/en,https://patentimages.storage.googleapis.com/1d/48/bf/bdd62b8a56cd25/US20130189261A1-20130725-D00001.png
US-2008213273-A1,Single dose use of CD20-specific binding molecules ,Trubion Pharmaceuticals Inc.,Daniel J. Burge,2005-07-25,2006-07-25,2008-09-04,,https://patents.google.com/patent/US20080213273A1/en,https://patentimages.storage.googleapis.com/US20080213273A1/US20080213273A1-20080904-D00000.png
US-2009148447-A1,Binding Peptides Having a C-terminally Disposed Specific Binding Domain ,"Trubion Pharmaceuticals, Inc.","Jeffrey A. Ledbetter, William Brady",2007-07-06,2008-07-07,2009-06-11,,https://patents.google.com/patent/US20090148447A1/en,https://patentimages.storage.googleapis.com/b5/b2/3b/d401dac461f559/US20090148447A1-20090611-D00000.png
US-2010330089-A1,Anti-cd20 therapeutic compositions and methods ,"Wyeth, Trubion Pharmaceuticals Inc.","Nitin K. Damle, Lioudmila Tchistiakova, Kyriaki Dunussi-Joannopoulos, Sandy Alexander Simon, William Brady, Laura Sue Grosmaire, Jeffrey Alan Ledbetter",2007-06-12,2008-06-12,2010-12-30,,https://patents.google.com/patent/US20100330089A1/en,https://patentimages.storage.googleapis.com/80/1a/5a/19eb811cd14e71/US20100330089A1-20101230-D00001.png
US-2008227958-A1,Binding proteins comprising immunoglobulin hinge and fc regions having altered fc effector functions ,Trubion Pharmaceuticals Inc.,"Peter Armstrong Thompson, Erik Stephen Espling, Peter Robert Baum, Phillip Tan",2006-04-14,2007-04-13,2008-09-18,,https://patents.google.com/patent/US20080227958A1/en,
US-2011152173-A1,TNF-a ANTAGONIST MULTI-TARGET BINDING PROTEINS ,"Emergent Product Development Seattle ,LLC","Alan Keith Lofquist, Kendall Mark Mohler, Peter Robert Baum, Peter Armstrong Thompson, Lynda Misher",2008-07-02,2009-07-02,2011-06-23,,https://patents.google.com/patent/US20110152173A1/en,https://patentimages.storage.googleapis.com/50/84/94/e9a585310704eb/US20110152173A1-20110623-D00001.png
US-2010135900-A1,Cd37 immunotherapeutic combination therapies and uses thereof ,"Trubion Pharmaceuticals, Inc.","Charles G. Cerveny, Peter A. Thompson",2008-11-13,2009-11-13,2010-06-03,,https://patents.google.com/patent/US20100135900A1/en,https://patentimages.storage.googleapis.com/48/9c/6d/9c6086a16a2bf1/US20100135900A1-20100603-D00001.png
US-9493564-B2,CD86 antagonist multi-target binding proteins ,Aptevo Research And Development Llc,"Peter Armstrong Thompson, Peter Robert Baum, Philip Tan, John W. Blankenship, Sateesh Kumar Natarajan",2008-10-02,2009-10-02,2016-11-15,2016-11-15,https://patents.google.com/patent/US9493564B2/en,https://patentimages.storage.googleapis.com/f6/fc/64/841254b629f69a/US09493564-20161115-D00001.png
US-7846434-B2,Materials and methods for improved immunoglycoproteins ,"Trubion Pharmaceuticals, Inc.","Erik Stephen Espling, Peter Armstrong Thompson, Peter Robert Baum",2006-10-24,2008-04-11,2010-12-07,2010-12-07,https://patents.google.com/patent/US7846434B2/en,https://patentimages.storage.googleapis.com/95/ef/c3/badae063f4827e/US07846434-20101207-D00001.png
US-8632774-B2,Antagonists of IL-6 ,"Emergent Product Development Seattle, Llc","Lynda Misher, Alan Keith Lofquist, Peter Robert Baum, Peter Armstrong Thompson",2008-07-02,2009-07-02,2014-01-21,2014-01-21,https://patents.google.com/patent/US8632774B2/en,https://patentimages.storage.googleapis.com/de/6d/f2/faa8a2c9df66c0/US08632774-20140121-D00001.png
US-2008279850-A1,B-Cell Reduction Using CD37-Specific and CD20-Specific Binding Molecules ,"Trubion Pharmaceuticals, Inc.","William Brady, Martha S. Hayden-Ledbetter, Jeffrey A. Ledbetter, Sandy A. Simon, Peter A. Thompson",2005-07-25,2008-04-11,2008-11-13,,https://patents.google.com/patent/US20080279850A1/en,
AU-2007308983-B2,A method for increasing antibody-dependent cytotoxicity with castanospermine ,"Emergent Product Development Seattle, Llc","Peter Robert Baum, Erik Stephen ESPLING, Peter Armstrong Thompson",2006-10-24,2007-10-24,2012-12-06,2012-12-06,https://patents.google.com/patent/AU2007308983B2/en,
US-2009258005-A1,Therapeutic compositions and methods ,"Trubion Pharmaceuticals Inc., Wyeth","Davinder Gill, Fionnuala McAleese, Peter A. Thompson, Peter R. Baum, Paul A. Algate",2007-05-29,2008-05-29,2009-10-15,,https://patents.google.com/patent/US20090258005A1/en,https://patentimages.storage.googleapis.com/f5/65/03/916b46d904e040/US20090258005A1-20091015-D00027.png
CN-101490085-A,Single-chain multivalent binding proteins with effector function ,特鲁比昂药品公司;惠氏公司,"劳拉·休·格劳斯麦瑞, 威廉·布莱蒂, 彼得·阿姆斯壮·汤普森, 杰弗里·A·莱德佰特, 瓦莱丽·卡拉布罗, 罗伯特·贝德尔, 里奥德米拉·奇斯蒂阿阔娃, 阿尔文·舒勒, 马克西米立安·T·弗拉蒂耶, 马萨·苏珊·海登-莱德佰特",2006-06-12,2007-06-12,2009-07-22,,https://patents.google.com/patent/CN101490085A/en,
US-2011158995-A1,Multi-Specific Binding Proteins Targeting B Cell Disorders ,Renault S.A.S,"Philip Tan, Laura Sue Grosmaire, Peter Robert Baum, Peter Armstrong Thompson",2008-07-28,2009-07-28,2011-06-30,,https://patents.google.com/patent/US20110158995A1/en,https://patentimages.storage.googleapis.com/20/73/5d/12707fdce95946/US20110158995A1-20110630-D00001.png
US-2009304590-A1,Therapeutic compositions and methods ,"Wyeth, Trubion Pharmaceuticals, Inc.","Davinder Singh Gill, Laird BLOOM, Maximillian T. Follettie, Fionnuala McAleese, Sreekumar Kodangattil, John Francis DiJoseph, Nitin K. Damle, Peter R. Baum, Peter A. Thompson, John C. Kumer, Alan F. Wahl, Paul A. Algate, Sateesh Kumar Natarajan",2007-05-29,2008-10-27,2009-12-10,,https://patents.google.com/patent/US20090304590A1/en,https://patentimages.storage.googleapis.com/94/91/e4/2df6ac8258f8a1/US20090304590A1-20091210-D00027.png
