search URL:,https://patents.google.com/?assignee=VALERA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5266325-A,Preparation of homogeneous hydrogel copolymers ,Hydro Med Science Division Of National Patent Development Corp.,"Petr Kuzma, Daniel G. Moro, Harry Quandt",1990-09-28,1990-12-03,1993-11-30,1993-11-30,https://patents.google.com/patent/US5266325A/en,https://patentimages.storage.googleapis.com/79/6e/84/4be4c7b0aaaa27/US5266325-drawings-page-2.png
US-4026304-A,Bone generating method and device ,Hydro Med Sciences Inc.,Didya D. Levy,1972-04-12,1974-11-06,1977-05-31,1977-05-31,https://patents.google.com/patent/US4026304A/en,https://patentimages.storage.googleapis.com/f1/cc/d9/d0e901c25503c2/US4026304-drawings-page-2.png
US-7510549-B2,Method of inserting an object under the skin ,"Indevus Pharmaceutical, Inc.","Matthew L. Rue, David S. Tierney",2003-04-03,2006-09-13,2009-03-31,2009-03-31,https://patents.google.com/patent/US7510549B2/en,https://patentimages.storage.googleapis.com/US7510549B2/US07510549-20090331-D00000.png
US-3861396-A,Drainage tube ,Hydro Med Sciences Inc,"Vincent L Vaillancourt, Norman Bruckner, Edward Levine",1973-08-08,1973-08-08,1975-01-21,1975-01-21,https://patents.google.com/patent/US3861396A/en,https://patentimages.storage.googleapis.com/6b/85/a8/0fb067096a3493/US3861396-drawings-page-2.png
AU-651654-B2,Manufacture of water-swellable hydrophilic articles and drug delivery devices ,Endo Pharmaceuticals Solutions Inc.,"Peter Kuzma, Daniel Moro, Harry Quandt",1992-01-14,1992-01-14,1994-07-28,1994-07-28,https://patents.google.com/patent/AU651654B2/en,
US-7348802-B2,Differential receiver ,Stmicroelectronics Pvt. Ltd.,"Sunil C. Kasanyal, Rajat Chauhan",2004-06-15,2005-06-14,2008-03-25,2008-03-25,https://patents.google.com/patent/US7348802B2/en,https://patentimages.storage.googleapis.com/US7348802B2/US07348802-20080325-D00000.png
US-3765414-A,Drug release system ,Hydro Med Sciences Inc,M Arlen,1972-03-10,1972-03-10,1973-10-16,1973-10-16,https://patents.google.com/patent/US3765414A/en,https://patentimages.storage.googleapis.com/2f/53/01/af252f96056f88/US3765414-drawings-page-2.png
US-7452868-B2,Controlled release formulations of octreotide ,"Indevus Pharmaceuticals, Inc.","Petr Kuzma, Stephanie Decker",2005-03-11,2006-03-10,2008-11-18,2008-11-18,https://patents.google.com/patent/US7452868B2/en,
US-8529936-B2,Long term drug delivery devices with polyurethane based polymers and their manufacture ,Endo Pharmaceuticals Solutions Inc.,"Sheng-hung Kuo, Petr Kuzma",2003-08-11,2012-12-04,2013-09-10,2013-09-10,https://patents.google.com/patent/US8529936B2/en,https://patentimages.storage.googleapis.com/73/12/28/bdf52e718afa8f/US08529936-20130910-D00000.png
US-5468811-A,Hydrophilic composite polymer articles formed from a settable paste comprising a mixture of hydrophilic polymer and unsaturated monomer ,National Patent Development Corporation,"Daniel G. Moro, Samuel H. Ronel, Petr Kuzma",1989-11-02,1994-08-24,1995-11-21,1995-11-21,https://patents.google.com/patent/US5468811A/en,
CA-2325386-C,Hydrogel compositions useful for the sustained release of macromolecules and methods of making same ,"Hydromed Sciences A Division Of Gp Strategies Corporation, Petr Kuzma, Harry Quandt, Hydro Med Sciences, Inc., Valera Pharmaceuticals, Inc., Indevus Pharmaceuticals, Inc., Endo Pharmaceuticals Solutions Inc.","Petr Kuzma, Harry Quandt",1999-01-28,2000-01-26,2010-03-23,2010-03-23,https://patents.google.com/patent/CA2325386C/en,
EP-1210138-A4,Controlled delivery of bisphosphonates ,Hydro Med Sciences Inc,"Petr Kuzma, Agis Kydonieus",1999-04-22,2000-04-19,2003-05-07,,https://patents.google.com/patent/EP1210138A4/en,
US-5045266-A,Process of making a hearing aid earmold in situ ,National Patent Development Corporation,"Daniel G. Moro, Samuel H. Ronel, Petr Kuzma",1989-11-02,1989-11-02,1991-09-03,1991-09-03,https://patents.google.com/patent/US5045266A/en,
US-D492995-S,Implanting device ,"Valera Pharmaceuticals, Inc.","Matthew L. Rue, David S. Teirney",2003-04-03,2003-04-09,2004-07-13,2004-07-13,https://patents.google.com/patent/USD492995S1/en,https://patentimages.storage.googleapis.com/c4/65/ce/0bff7f5f94564f/USD0492995-20040713-D00000.png
EP-0551699-B1,Preparation of homogeneous hydrogel copolymers ,Hydro Med Sciences,"Peter Kuzma, Daniel Moro, Harry Quandt",1992-01-14,1992-01-16,1996-07-10,1996-07-10,https://patents.google.com/patent/EP0551699B1/en,https://patentimages.storage.googleapis.com/22/2d/b4/fad6fa2bb79a9b/imgf0001.png
US-8062652-B2,Compositions and methods for treating precocious puberty ,Endo Pharmaceuticals Solutions Inc.,Petr Kuzma,2004-06-17,2005-06-17,2011-11-22,2011-11-22,https://patents.google.com/patent/US8062652B2/en,https://patentimages.storage.googleapis.com/65/4b/bc/940f96eeb21a4a/US08062652-20111122-D00001.png
US-5177154-A,Environmental coating solution ,National Patent Development Corp.,Daniel G. Moro,1991-04-30,1991-04-30,1993-01-05,1993-01-05,https://patents.google.com/patent/US5177154A/en,
US-2015174301-A1,Long term drug delivery devices with polyurethane based polymers and their manufacture ,Braeburn Pharmaceutical Bvba Sprl,"Sheng-hung Kuo, Petr Kuzma",2003-08-11,2015-01-30,2015-06-25,,https://patents.google.com/patent/US20150174301A1/en,https://patentimages.storage.googleapis.com/4b/82/ac/1eeee93ecbfa97/US20150174301A1-20150625-D00000.png
IN-2006MN00282-A,Manufacture of long term drug delivery devices with polyrethane based polymers ,"Valera Pharmaceuticals, Inc.,","Sheng Hung Kuo, Petr Kuzma",2003-08-11,2006-03-10,2007-06-22,,https://patents.google.com/patent/IN2006MN00282A/en,
