search URL:,https://patents.google.com/?assignee=VANDA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8614232-B2,Injectable depot formulation comprising crystals of iloperidone ,Novartis Ag,"Dierk Wieckhusen, Alexandra Glausch, Markus Ahlheim",2002-07-15,2012-09-14,2013-12-24,2013-12-24,https://patents.google.com/patent/US8614232B2/en,https://patentimages.storage.googleapis.com/dc/a7/5e/1139624e04c6e7/US08614232-20131224-D00001.png
US-8314129-B2,Optical isomers of an iloperidone metabolite ,Novartis Ag,"Dominique Grimler, Hans O. Kalkman, Hequn Yin",2001-08-31,2011-04-28,2012-11-20,2012-11-20,https://patents.google.com/patent/US8314129B2/en,
US-2009306137-A1,Treatment for depressive disorders ,"Wolfgang Curt D, Polymeropoulos Mihael H","Curt D. Wolfgang, Mihael H. Polymeropoulos",2006-05-22,2007-05-21,2009-12-10,,https://patents.google.com/patent/US20090306137A1/en,
US-2003091645-A1,Organic compounds ,"Markus Ahlheim, Rolf Loeffler","Markus Ahlheim, Rolf Loeffler",2001-10-30,2002-10-30,2003-05-15,,https://patents.google.com/patent/US20030091645A1/en,
US-2009298880-A1,Methods for the administration of iloperidone ,"Wolfgang Curt D, Polymeropoulos Mihael H","Curt D. Wolfgang, Mihael H. Polymeropoulos",2004-09-30,2005-09-30,2009-12-03,,https://patents.google.com/patent/US20090298880A1/en,
US-8785492-B2,Treatment of circadian rhythm disorders ,Vanda Pharmaceuticals Inc.,"Marlene Michelle Dressman, John Joseph Feeney, Louis William Licamele, Mihael H. Polymeropoulos",2012-01-26,2013-01-25,2014-07-22,2014-07-22,https://patents.google.com/patent/US8785492B2/en,https://patentimages.storage.googleapis.com/7e/56/38/8415dd004ba648/US08785492-20140722-D00001.png
CN-101448805-B,Treatment for depressive disorders ,Vanda制药公司,"G·比兹尼克斯, D·费德克, M·H·波利梅罗波洛斯",2006-05-22,2007-05-22,2012-12-12,2012-12-12,https://patents.google.com/patent/CN101448805B/en,
CA-2468972-A1,Methods of treating psychosis and schizophrenia based on a polymorphism in the ctf gene ,"Novartis Ag, Sridhar Kudaravalli, Mihael Hristos Polymeropoulos, Vanda Pharmaceuticals, Inc.","Sridhar Kudaravalli, Mihael Hristos Polymeropoulos",2001-12-10,2002-12-09,2003-07-03,,https://patents.google.com/patent/CA2468972A1/en,
US-8558017-B2,Ruthenium (II) catalysts for use in stereoselective cyclopropanations ,"Vanda Pharmaceuticals, Inc.","David E. Pereira, Wade Aumiller, Raymond Dagger",2006-05-18,2011-12-12,2013-10-15,2013-10-15,https://patents.google.com/patent/US8558017B2/en,
CA-2666293-C,"Use of the melatonin agonist (1r-trans)-n[[2-(2,3-dihydro-4-benzofuranyl)cyclopropyl]methyl]propanamide in the treatment of circadian and sleep disorders ","Vanda Pharmaceuticals, Inc., Gunther Birznieks, Deepak Phadke, Mihael H. Polymeropoulos","Gunther Birznieks, Deepak Phadke, Mihael H. Polymeropoulos",2006-05-22,2007-05-22,2017-01-10,2017-01-10,https://patents.google.com/patent/CA2666293C/en,
US-9458507-B1,Antipsychotic treatment based on SNP genotype ,"Vanda Pharmaceuticals, Inc.","Christian Lavedan, Simona Volpi, Louis Licamele, Mihael H. Polymeropoulos",2007-09-10,2016-03-30,2016-10-04,2016-10-04,https://patents.google.com/patent/US9458507B1/en,https://patentimages.storage.googleapis.com/4e/18/45/ae7153a79c81f5/US09458507-20161004-D00001.png
AU-2006275824-B2,Method of improving wakefulness ,"Vanda Pharmaceuticals, Inc.","Christian N. Lavedan, Mihael H. Polymeropoulos",2005-07-29,2006-07-26,2010-12-16,2010-12-16,https://patents.google.com/patent/AU2006275824B2/en,
US-4261071-A,Shoe tree ,"Polly Products, Co., Inc.",Robert M. Forte,1979-07-27,1979-07-27,1981-04-14,1981-04-14,https://patents.google.com/patent/US4261071A/en,https://patentimages.storage.googleapis.com/bd/e9/eb/bb4850d268dee7/US4261071-drawings-page-2.png
AU-2013207585-A1,Melatonin agonist treatment ,"Vanda Pharmaceuticals, Inc.","Gunther Birznieks, Deepak Phadke, Mihael H. Polymeropoulos",2006-05-22,2013-07-17,2013-08-08,,https://patents.google.com/patent/AU2013207585A1/en,
US-9708291-B2,"Intermediate and process useful in the preparation of {2-[1-(3,5-bis-trifluoromethyl-benzyl)-5-pyridin-4-yl-1H-[1,2,3]triazol-4-yl]-pyridin-3-yl)-(2-chlorophenyl)-methanone ",Vanda Pharmaceuticals Inc.,"Michael Edward Kobierski, Michael E. Kopach, Pingyun Chen",2006-12-20,2015-11-10,2017-07-18,2017-07-18,https://patents.google.com/patent/US9708291B2/en,
EP-2195462-B1,Prediction of sleep parameter and response to sleep-inducing compound based on per3 vntr genotype ,Vanda Pharmaceuticals Inc.,"Christian Lavedan, Mihael H. Polymeropoulos, Gunther Birznieks",2007-09-13,2008-09-12,2013-06-12,2013-06-12,https://patents.google.com/patent/EP2195462B1/en,https://patentimages.storage.googleapis.com/f7/27/1f/24aa3c3f0760e3/imgf0001.png
US-1260335-A,Device for dispensing liquids. ,Henry G Cordley,Henry G Cordley,1917-02-07,1917-02-07,1918-03-26,1918-03-26,https://patents.google.com/patent/US1260335A/en,https://patentimages.storage.googleapis.com/41/ca/85/5205a0d55c079f/US1260335-drawings-page-1.png
EP-2134873-B1,Method of predicting a predisposition to qt prolongation ,Vanda Pharmaceuticals Inc.,"Christian Lavedan, Simona Volpi, Louis Licamele, Kendra Tomino Mack, Callie Michelle Heaton",2007-03-29,2008-03-28,2015-05-06,2015-05-06,https://patents.google.com/patent/EP2134873B1/en,
