search URL:,https://patents.google.com/?assignee=VERASTEM+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2701581-C,Pyrimidine substituted purine derivatives ,"S*Bio Pte Ltd, Harish Kumar Mysore Nagaraj, Meredith Williams, Verastem, Inc.","Harish Kumar Mysore Nagaraj, Meredith Williams",2007-10-05,2008-10-03,2016-12-20,2016-12-20,https://patents.google.com/patent/CA2701581C/en,
US-2015080368-A1,Sulfonyl amide derivatives for the treatment of abnormal cell growth ,"Verastem, Inc.","Michael Joseph Luzzio, Kevin Daniel Freeman-Cook, Samit Kumar Bhattacharya, Matthew Merrill Hayward, Catherine Angela Hulford, Christopher Lowell Autry, Xumiao Zhao, Jun Xiao, Kendra Louise Nelson",2007-04-18,2014-11-24,2015-03-19,,https://patents.google.com/patent/US20150080368A1/en,
US-9138437-B2,Pyrimidine substituted purine compounds as kinase (S) inhibitors ,"Verastem, Inc.","Dizhong Chen, Meredith Williams",2009-04-03,2014-05-07,2015-09-22,2015-09-22,https://patents.google.com/patent/US9138437B2/en,
US-8722884-B2,Pyrimidine derivatives for the treatment of abnormal cell growth ,"Verastem, Inc.","John Charles Kath, Michael Joseph Luzzio, Susan La Greca, Nandini Chaturbhai Patel",2005-12-01,2006-11-20,2014-05-13,2014-05-13,https://patents.google.com/patent/US8722884B2/en,https://patentimages.storage.googleapis.com/36/54/26/58542eede3fc1a/US08722884-20140513-D00001.png
US-2015030615-A1,Biomarkers for cancer stem cells and related methods of use ,"Verastem, Inc.","Alan G. Derr, David T. Weaver, Irina Shapiro, Daniel W. Paterson, Jonathan A. Pachter",2012-03-09,2013-03-08,2015-01-29,,https://patents.google.com/patent/US20150030615A1/en,https://patentimages.storage.googleapis.com/d6/8d/fd/e332d05eaec35a/US20150030615A1-20150129-D00001.png
AU-2011276552-B2,Oral formulation of kinase inhibitors ,"Verastem, Inc.","Andrew Xian Chen, Yali J. Tsai",2010-06-29,2011-06-28,2015-09-03,2015-09-03,https://patents.google.com/patent/AU2011276552B2/en,
US-2015071947-A1,Methods of identifying gene isoforms for anti-cancer treatments ,"Verastem, Inc.","David T. Weaver, Irina Shapiro, Daniel W. Paterson, Alan G. Derr, Jonathan A. Pachter",2012-03-09,2013-03-08,2015-03-12,,https://patents.google.com/patent/US20150071947A1/en,https://patentimages.storage.googleapis.com/ba/0a/8f/fcc8a0f3d71774/US20150071947A1-20150312-D00001.png
AU-2011280031-B2,Synthesis and use of Kinase inhibitors ,"Verastem, Inc.","Carl Henry Behrens, Yixiong Lei, Hui-Yin Li, Connie L. Sun",2010-06-30,2011-06-28,2015-09-10,2015-09-10,https://patents.google.com/patent/AU2011280031B2/en,
CA-2860526-A1,Therapeutic compounds and related methods of use ,"Kevin Sprott, Michael Lewis, Hyeongwook CHOI, Frank Fang, Mingde SHAN, Tsvetelina I. Lazarova, Lin Li, Arshad M. Siddiqui, Robin LAROUCHE-GAUTHIER, Verastem, Inc., Alexandre LEMIRE","Kevin Sprott, Michael Lewis, Hyeongwook CHOI, Frank Fang, Mingde SHAN, Tsvetelina I. Lazarova, Lin Li, Arshad M. Siddiqui, Robin LAROUCHE-GAUTHIER, Alexandre LEMIRE",2012-01-06,2013-01-07,2013-07-11,,https://patents.google.com/patent/CA2860526A1/en,
US-2014336248-A1,Therapeutic compositions and related methods of use ,"Verastem, Inc.","Wendi Ma, Peter Elliott, Mahesh Padval",2011-12-05,2012-12-05,2014-11-13,,https://patents.google.com/patent/US20140336248A1/en,https://patentimages.storage.googleapis.com/e8/5a/a7/2a39013038f993/US20140336248A1-20141113-D00001.png
US-9962385-B2,Methods and compositions for treating abnormal cell growth ,"Verastem, Inc.","Jonathan A. Pachter, Winnie Tam, Qunli Xu",2014-02-07,2015-02-06,2018-05-08,2018-05-08,https://patents.google.com/patent/US9962385B2/en,https://patentimages.storage.googleapis.com/49/73/23/aecbb7c9f0776f/US09962385-20180508-D00001.png
AU-2013251254-B2,Pyrimidine substituted purine derivatives ,"Verastem, Inc.","Harish Kumar Mysore Nagaraj, Meredith Williams",2007-10-05,2013-10-31,2015-10-08,2015-10-08,https://patents.google.com/patent/AU2013251254B2/en,
JP-5746777-B2,Pyrimidine substituted purine compounds as kinase inhibitors ,ベラステム・インコーポレーテッドＶｅｒａｓｔｅｍ，Ｉｎｃ．,"チェン，ディツホン, ウィリアムズ，メレディス",2014-01-21,2014-01-21,2015-07-08,2015-07-08,https://patents.google.com/patent/JP5746777B2/en,
US-2018177788-A1,"Therapeutic compositions, combinations, and methods of use ","Verastem, Inc.","Jonathan A. Pachter, Jennifer E. Ring, David T. Weaver, Yan Wang",2015-06-29,2016-06-29,2018-06-28,,https://patents.google.com/patent/US20180177788A1/en,https://patentimages.storage.googleapis.com/af/5e/34/e54d1ea32616f9/US20180177788A1-20180628-D00001.png
US-2015190346-A1,Compositions and methods for treatment of abnormal cell growth ,"Verastem, Inc., Pfizer, Inc.","Mahesh Padval, Paul Okwabi Nkansah",2014-01-09,2015-01-09,2015-07-09,,https://patents.google.com/patent/US20150190346A1/en,https://patentimages.storage.googleapis.com/08/d5/20/8c3d64a634f65a/US20150190346A1-20150709-D00001.png
AU-2015261692-A1,Oral formulation of kinase inhibitors ,Verastem Inc.,"Andrew Xian Chen, Yali J. Tsai",2010-06-29,2015-11-27,2015-12-17,,https://patents.google.com/patent/AU2015261692A1/en,
WO-2016109426-A1,Oral dosing regimen of a dual mtor and pi3 inhibitor ,"Verastem, Inc.",Mahesh Padval,2014-12-29,2015-12-28,2016-07-07,,https://patents.google.com/patent/WO2016109426A1/en,
CN-105037364-A,Pyrimidine replacing purine compound as kinase inhibitor ,维拉斯通股份有限公司,"陈迪忠, M·威廉姆斯",2009-04-03,2009-04-03,2015-11-11,,https://patents.google.com/patent/CN105037364A/en,
