search URL:,https://patents.google.com/?assignee=VITAE+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8575156-B2,Cyclic inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Wei He, Gerard McGeehan, Suresh B. Singh, Colin M. Tice, Zhenrong Xu, Yuanjie Ye, Wei Zhao, Linghang Zhuang, Salvacion Cacatian, Katerina Leftheris",2007-07-26,2008-07-25,2013-11-05,2013-11-05,https://patents.google.com/patent/US8575156B2/en,
AU-2009241727-B2,Cyclic inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc","Salvacion Cacatian, David A. Claremon, Katerina Leftheris, Suresh B. Singh, Colin M. Tice, Zhenrong Xu, Yuanjie Ye, Wei Zhao, Linghang Zhuang",2008-05-01,2009-04-30,2013-05-02,2013-05-02,https://patents.google.com/patent/AU2009241727B2/en,
US-8835426-B2,Cyclic urea and carbamate inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Gerard McGeehan, Suresh B. Singh, Colin M. Tice, Yuanjie Ye, Wei Zhao",2007-02-26,2008-02-26,2014-09-16,2014-09-16,https://patents.google.com/patent/US8835426B2/en,
EP-2324032-B1,Inhibitors of beta-secretase ,"Vitae Pharmaceuticals, Inc.","Lawrence W. Dillard, Jing Yuan, Lanqi Jia, Yajun Zheng",2008-08-19,2009-08-14,2014-10-01,2014-10-01,https://patents.google.com/patent/EP2324032B1/en,
US-8202857-B2,"1,3-oxazepan-2-one and 1,3-diazepan-2-one inhibitors of 11β-hydroxysteroid dehydrogenase 1 ","Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Colin M. Tice, Suresh B. Singh, Yuanjie Ye, Wei Zhao, Katerina Leftheris",2008-02-11,2009-08-11,2012-06-19,2012-06-19,https://patents.google.com/patent/US8202857B2/en,
EP-2291370-B1,Cyclic inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International GmbH","David A. Claremon, Linghang Zhuang, Katerina Leftheris, Colin M. Tice, Yuanjie Ye, Suresh B. Singh, Frank Himmelsbach",2008-05-01,2009-04-30,2013-11-27,2013-11-27,https://patents.google.com/patent/EP2291370B1/en,
EP-2291373-B1,Cyclic inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Katerina Leftheris, Colin M. Tice, Yuanjie Ye, Suresh B. Singh",2008-05-01,2009-04-30,2013-09-11,2013-09-11,https://patents.google.com/patent/EP2291373B1/en,
EP-2687525-B1,Cyclic inhibitors of 11-beta-hydroxysteroid dehydrogenase 1 ,"Boehringer Ingelheim International GmbH, Vitae Pharmaceuticals, Inc.","Frank Himmelsbach, Katerina Leftheris, David A Claremon, Zhenrong Xu, Linghang Zhuang, Colin M Tice",2008-07-25,2009-07-23,2015-09-23,2015-09-23,https://patents.google.com/patent/EP2687525B1/en,
EP-2274287-B1,Inhibitors of 11beta-hydroxysteroid dehydrogenase type 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Yuanjie Ye, Suresh B. Singh, Colin M. Tice, Gerard Mcgeehan",2008-03-18,2009-03-18,2016-03-09,2016-03-09,https://patents.google.com/patent/EP2274287B1/en,
US-8927715-B2,Inhibitors of 11β-hydroxysteroid dehydrogenase type 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Suresh B. Singh, Colin M. Tice, Yuanjie Ye, Salvacion Cacatian, Wei He, Robert Simpson, Zhenrong Xu, Wei Zhao",2006-08-25,2007-08-24,2015-01-06,2015-01-06,https://patents.google.com/patent/US8927715B2/en,
US-8846668-B2,Inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","Frank Himmelsbach, Matthias Eckhardt, Bradford S. Hamilton, Annette Schuler-Metz, Linghang Zhuang",2008-07-25,2009-07-23,2014-09-30,2014-09-30,https://patents.google.com/patent/US8846668B2/en,
US-9079861-B2,Cyclic urea inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","Salvacion Cacatian, David A. Claremon, Wei He, Suresh B. Singh, Colin M. Tice, Zhenrong Xu, Yuanjie Ye, Wei Zhao, Linghang Zhuang",2007-11-07,2008-11-07,2015-07-14,2015-07-14,https://patents.google.com/patent/US9079861B2/en,
US-8399504-B2,Carbamate and urea inhibitors of 11Beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Yuanjie Ye, Suresh B. Singh, Colin M. Tice",2008-04-22,2009-04-21,2013-03-19,2013-03-19,https://patents.google.com/patent/US8399504B2/en,
US-8598163-B2,"Derivatives of [1,3]Oxazin-2-one useful for the treatment of metabolic diseases such as lipid disorders ","Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","David Claremon, Colin Tice, Suresh Singh, Yuanjie Ye, Katerina Leftheris, Linghang Zhuang",2009-02-04,2010-02-03,2013-12-03,2013-12-03,https://patents.google.com/patent/US8598163B2/en,
US-8569292-B2,Cyclic inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","David A. Claremon, Linghang Zhuang, Katerina Leftheris, Colin M. Tice, Zhenrong Xu, Yuanjie Ye, Suresh B. Singh, Salvacion Cacatian, Frank Himmelsbach, Matthias Eckhardt, Wei Zhao",2008-05-01,2009-04-30,2013-10-29,2013-10-29,https://patents.google.com/patent/US8569292B2/en,
US-8598160-B2,Cycloalkyl lactame derivatives as inhibitors of 11-beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Yuanjie Ye, Suresh B. Singh, Colin M. Tice, Robert D. Simpson",2008-02-15,2009-02-13,2013-12-03,2013-12-03,https://patents.google.com/patent/US8598160B2/en,
US-8383629-B2,Inhibitors of 11β-hydroxysteroid dehydrogenase type 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Colin M. Tice, Yuanjie Ye, Suresh B. Singh, Wei He, Wei Zhao, Robert D. Simpson",2008-02-27,2009-02-26,2013-02-26,2013-02-26,https://patents.google.com/patent/US8383629B2/en,
US-8633212-B2,Inhibitors of beta-secretase ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","Salvacion Cacatian, David A. Claremon, Lawrence W. Dillard, Klaus Fuchs, Niklas Heine, Lanqi Jia, Katerina Leftheris, Brian McKEEVER, Angel MORALES-RAMOS, Suresh B. Singh, Shankar Venkatraman, Guosheng Wu, Zhongren WU, Zhenrong Xu, Jing Yuan, Yajun ZHENG",2009-03-13,2010-03-12,2014-01-21,2014-01-21,https://patents.google.com/patent/US8633212B2/en,
US-8680281-B2,Lactam inhibitors of 11-β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","David A. Claremon, Linghang Zhuang, Yuanjie Ye, Suresh B. Singh, Colin M. Tice, Zhenrong Xu, Robert D. Simpson",2008-01-07,2009-01-07,2014-03-25,2014-03-25,https://patents.google.com/patent/US8680281B2/en,
US-8592409-B2,Cyclic carbazate and semicarbazide inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Linghang Zhuang, Yuanjie Ye, Suresh B. Singh, Colin M. Tice, Salvacion Cacatian",2008-01-24,2009-01-21,2013-11-26,2013-11-26,https://patents.google.com/patent/US8592409B2/en,
US-8748444-B2,Cyclic urea inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","Salvacion Cacatian, David A. Claremon, Wei He, Suresh B. Singh, Colin M. Tice, Zhenrong Xu, Yuanjie Ye, Wei Zhao, Linghang Zhuang",2007-12-11,2013-04-30,2014-06-10,2014-06-10,https://patents.google.com/patent/US8748444B2/en,
AU-2005294123-B2,Diaminoalkane aspartic protease inhibitors ,"Vitae Pharmaceuticals, Inc.","John J. Baldwin, Salvacion Cacatian, David A. Claremon, Lawrence W. Dillard, Patrick T Flaherty, Alexey V. Ishchenko, Gerard Mcgeehan, Robert D Simpson, Suresh B. Singh, Colin Tice, Jean-Pierre Wery, Zhenrong Xu, Jing Yuan, Wei Zhao",2004-10-07,2005-10-07,2009-07-02,2009-07-02,https://patents.google.com/patent/AU2005294123B2/en,
US-8680093-B2,Cyclic inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","Martin Renz, Martin Schuehle, Zhenrong Xu",2009-04-30,2010-04-30,2014-03-25,2014-03-25,https://patents.google.com/patent/US8680093B2/en,https://patentimages.storage.googleapis.com/e9/1a/54/6e4a811fa72291/US08680093-20140325-D00001.png
US-8497281-B2,Aryl- and heteroarylcarbonyl derivatives of hexahydroindenopyridine and octahydrobenzoquinoline ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","Matthias Eckhardt, Stefan Peters, Herbert Nar, Frank Himmelsbach, Linghang Zhuang",2009-11-06,2010-11-05,2013-07-30,2013-07-30,https://patents.google.com/patent/US8497281B2/en,
US-9163012-B2,Carbamate and urea inhibitors of 11β-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc.","David A. Claremon, Colin M. Tice, Linghang Zhuang, Katerina Leftheris, Yuanjie Ye, Suresh B. Singh",2009-06-02,2010-06-01,2015-10-20,2015-10-20,https://patents.google.com/patent/US9163012B2/en,
US-2010331320-A1,Cyclic inhibitors of 11beta-hydroxysteroid dehydrogenase 1 ,"Vitae Pharmaceuticals, Inc., Boehringer Ingelheim International Gmbh","Martin Renz, Martin Schuehle, Zhenrong Xu",2009-04-30,2010-04-30,2010-12-30,,https://patents.google.com/patent/US20100331320A1/en,https://patentimages.storage.googleapis.com/2b/1c/b9/8e85a9c5b955f5/US20100331320A1-20101230-D00001.png
