search URL:,https://patents.google.com/?assignee=XBIOTECH+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8388956-B2,Interleukin-1 alpha antibodies and methods of use ,"Xbiotech, Inc.",John Simard,2008-05-30,2011-09-02,2013-03-05,2013-03-05,https://patents.google.com/patent/US8388956B2/en,
US-2010068212-A1,Targeting pathogenic monocytes ,"Xbiotech, Inc.",John Simard,2008-09-12,2009-09-14,2010-03-18,,https://patents.google.com/patent/US20100068212A1/en,
CA-2617637-C,"Diagnosis, treatment, and prevention of vascular disorders using il-1.alpha. autoantibodies ","Xbiotech Inc., John Simard, Klaus Bendtzen","Klaus Bendtzen, John Simard",2005-08-02,2006-07-26,2017-07-18,2017-07-18,https://patents.google.com/patent/CA2617637C/en,
CA-2652870-C,Treatment of cancer with anti-il-1a antibodies ,"Xbiotech Inc., John Simard",John Simard,2006-05-22,2007-05-22,2014-12-02,2014-12-02,https://patents.google.com/patent/CA2652870C/en,
EP-2021033-B1,Il-1-alpha for use in a method of treatment of atherosclerotic plaques. ,"XBiotech, Inc",John Simard,2006-05-15,2007-05-15,2012-03-28,2012-03-28,https://patents.google.com/patent/EP2021033B1/en,https://patentimages.storage.googleapis.com/ff/11/5b/cebe1286e4d0f1/imgf0001.png
RU-2636780-C1,Compositions and methods for treatment and prevention of infections caused by staphylococcus aureus ,"ИксБиотеч, Инк.",Джон СИМАРД,2014-06-03,2015-06-03,2017-11-28,2017-11-28,https://patents.google.com/patent/RU2636780C1/en,https://patentimages.storage.googleapis.com/f0/a1/90/fcda837766dabd/00000001.png
AU-2010298264-B2,"Methods, compositions, and kits for reducing anti-antibody responses ","Xbiotech, Inc.",John Simard,2009-09-24,2010-09-23,2014-10-23,2014-10-23,https://patents.google.com/patent/AU2010298264B2/en,
US-9724409-B2,Treatment of inflammatory skin disease ,"Xbiotech, Inc.",John Simard,2011-04-01,2012-10-04,2017-08-08,2017-08-08,https://patents.google.com/patent/US9724409B2/en,
US-2011008282-A1,IL-1alpha immunization induces autoantibodies protective against atherosclerosis ,"Xbiotech, Inc.",John Simard,2006-05-15,2010-09-22,2011-01-13,,https://patents.google.com/patent/US20110008282A1/en,https://patentimages.storage.googleapis.com/1f/2a/2e/6b13a2d2bbfaaa/US20110008282A1-20110113-D00001.png
AU-2017201201-B2,Treatment for dermatological pathologies ,"Xbiotech, Inc.",John Simard,2011-04-01,2017-02-22,2018-12-13,2018-12-13,https://patents.google.com/patent/AU2017201201B2/en,
