search URL:,https://patents.google.com/?assignee=XCYTE+THERAPIES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2001243288-B2,Simultaneous stimulation and concentration of cells ,Life Technologies Corporation,"Ron Berenson, Mark Bonyhadi, Stewart Craig, Alan Hardwick, Dale Kalamasz, Che Law, David Mcmillen, Narinder Saund",2000-02-24,2001-02-26,2005-11-24,2005-11-24,https://patents.google.com/patent/AU2001243288B2/en,
US-6797514-B2,Simultaneous stimulation and concentration of cells ,"Xcyte Therapies, Inc.","Ronald Berenson, Che Law, Mark Bonyhadi, Narinder Saund, Stewart Craig, Alan Hardwick, Dale Kalamasz, David McMillen",2000-02-24,2001-09-20,2004-09-28,2004-09-28,https://patents.google.com/patent/US6797514B2/en,https://patentimages.storage.googleapis.com/88/6f/6d/97a9449de7bf00/US06797514-20040928-D00001.png
US-6867041-B2,Simultaneous stimulation and concentration of cells ,"Xcyte Therapies, Inc.","Ronald Berenson, Che Law, Mark Bonyhadi, Narinder Saund, Stewart Craig, Alan Hardwick, Dale Kalamasz, David McMillen",2000-02-24,2002-04-26,2005-03-15,2005-03-15,https://patents.google.com/patent/US6867041B2/en,https://patentimages.storage.googleapis.com/37/ae/12/b2ac24673dcf92/US06867041-20050315-D00001.png
US-7572631-B2,Activation and expansion of T cells ,Invitrogen Corporation,"Ronald J Berenson, Che Law, Mark Bonyhadi, Zahbea Saund, Stewart Craig, Alan Hardwick, Dale Kalamasz, David McMillen, Harjinder Singh Chana",2000-02-24,2005-03-02,2009-08-11,2009-08-11,https://patents.google.com/patent/US7572631B2/en,https://patentimages.storage.googleapis.com/b4/1b/b4/fe9a4f4f35a4ce/US07572631-20090811-D00014.png
CA-2393682-C,Depsipeptide and congeners thereof for use as immunosuppressants ,"Xcyte Therapies, Inc., Soren Skov, Cyclacel Pharmaceuticals, Inc., Celgene Corporation",Soren Skov,1999-12-08,2000-12-06,2012-01-31,2012-01-31,https://patents.google.com/patent/CA2393682C/en,
AU-2002331808-B2,Activation and expansion of cells ,Life Technologies Corporation,"Ronald Berenson, Mark Bonyhadi, Harjinder Singh Chana, Stewart Craig, Alan R Hardwick, Dale Kalamasz, Che Law, David Mcmillen, Narinder Saund",2001-09-20,2002-09-04,2008-01-24,2008-01-24,https://patents.google.com/patent/AU2002331808B2/en,
US-2002155604-A1,Compositions and methods for regulating lymphocyte activation ,"Jeffrey A. Ledbetter, Martha Hayden Ledbetter, William A. Brady, Laura S. Grosmaire, Che-Leung Law, Raj Dua","Jeffrey A. Ledbetter, Martha Hayden Ledbetter, William A. Brady, Laura S. Grosmaire, Che-Leung Law, Raj Dua",1998-02-19,1999-02-18,2002-10-24,,https://patents.google.com/patent/US20020155604A1/en,https://patentimages.storage.googleapis.com/5f/45/9c/d6305d940583d9/US20020155604A1-drawings-page-2.png
US-2004224402-A1,Generation and isolation of antigen-specific T cells ,"Xcyte Therapies, Inc.","Mark Bonyhadi, Dale Kalamasz",2003-05-08,2003-12-19,2004-11-11,,https://patents.google.com/patent/US20040224402A1/en,https://patentimages.storage.googleapis.com/d4/b3/a8/73706e94d5f800/US20040224402A1-20041111-D00001.png
US-2003082806-A1,Maturation of antigen-presenting cells using activated T cells ,"Xcyte Therapies, Inc.","Ronald Berenson, Mark Bonyhadi, Stewart Craig, Dale Kalamasz, Tatsue Monji",2001-04-27,2002-04-29,2003-05-01,,https://patents.google.com/patent/US20030082806A1/en,https://patentimages.storage.googleapis.com/0d/33/f6/b4d63f4b25a903/US20030082806A1-20030501-D00001.png
CA-2514052-C,Activation and expansion of cells ,"Xcyte Therapies, Inc., Ronald J. Berenson, Che Law, Mark Bonyhadi, Narinder Saund, Stewart Craig, Alan Hardwick, Dale Kalamasz, David Mcmillen, Harjinder Singh Chana, Invitrogen Corporation, Life Technologies Corporation","Ronald J. Berenson, Che Law, Mark Bonyhadi, Narinder Saund, Stewart Craig, Alan Hardwick, Dale Kalamasz, David Mcmillen, Harjinder Singh Chana",2003-01-22,2004-01-20,2016-06-28,2016-06-28,https://patents.google.com/patent/CA2514052C/en,
