search URL:,https://patents.google.com/?assignee=XENCOR+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2006299429-B2,Fc variants with optimized Fc receptor binding properties ,"Xencor, Inc.","David F. Carmichael, John R. Desjarlais, Sher Bahadur Karki, Gregory Alan Lazar, Gregory L. Moore, John O. Richards",2005-10-03,2006-10-03,2012-02-23,2012-02-23,https://patents.google.com/patent/AU2006299429B2/en,
AU-2008261120-B2,Optimized Fc variants and methods for their generation ,"Xencor, Inc","Arthur J. Chirino, Wei Dang, John Rudolph Desjarlais, Stephen Kohl Doberstein, Robert J. Hayes, Sher Bahadur Karki, Gregory Alan Lazar, Omid Vafa",2003-05-02,2008-12-18,2012-03-15,2012-03-15,https://patents.google.com/patent/AU2008261120B2/en,
AU-2005227326-B2,Immunoglobulin variants outside the Fc region ,"Xencor, Inc.","Sher Bahadur Karki, Gregory Alan Lazar",2004-03-24,2005-03-24,2009-12-03,2009-12-03,https://patents.google.com/patent/AU2005227326B2/en,
JP-4652414-B2,Fc variants with altered binding to FcRn ,ゼンコー・インコーポレイテッドＸｅｎｃｏｒ、  Ｉｎｃ．,"アーロン・キース・チェインバーレイン, グレゴリー・アラン・ラザー, シーン・クリストファー・ヨダー, シャー・バハドゥル・カーキ, ジョン・アール・デスジャーレイス, ヨスト・フィールメッター",2004-11-12,2005-11-14,2011-03-16,2011-03-16,https://patents.google.com/patent/JP4652414B2/en,https://patentimages.storage.googleapis.com/fd/7f/73/1cb0afad200eea/0004652414-2.png
AU-2005272993-B2,Optimized Fc variants ,"Xencor, Inc","Wei Dang, John R. Desjarlais, Robert Hayes, Sher Bahadur Karki, Gregory Alan Lazar, Omid Vafa",2004-07-15,2005-05-05,2010-02-11,2010-02-11,https://patents.google.com/patent/AU2005272993B2/en,
AU-2004297616-B2,Methods of generating variant proteins with increased host string content and compositions thereof ,"Xencor, Inc.","John R. Desjarlais, Philip W. Hammond, Gregory Alan Lazar",2003-12-04,2004-12-03,2008-12-18,2008-12-18,https://patents.google.com/patent/AU2004297616B2/en,
AU-2003279719-B2,Optimized Fc variants and methods for their generation ,Xencor Inc.,"Arthur J. Chirino, Wei Dang, John Rudolph Desjarlais, Stephen Kohl Doberstein, Robert J. Hayes, Sher Bahadur Karki, Gregory Alan Lazar, Omid Vafa",2002-09-27,2003-09-26,2008-12-11,2008-12-11,https://patents.google.com/patent/AU2003279719B2/en,
US-8802823-B2,Optimized Fc variants ,"Xencor, Inc.","Gregory Alan Lazar, Wei Dang, John Desjarlais, Sher Bahadur Karki, Omid Vafa, Robert Hayes, Jost Vielmetter",2002-09-27,2013-11-12,2014-08-12,2014-08-12,https://patents.google.com/patent/US8802823B2/en,https://patentimages.storage.googleapis.com/c9/63/84/c121ad5fc18eb6/US08802823-20140812-D00001.png
US-7315786-B2,Protein design automation for protein libraries ,Xencor,"Bassil I. Dahiyat, Jörg Bentzien, Klaus M. Fiebig, Robert J. Hayes",1998-10-16,2001-08-10,2008-01-01,2008-01-01,https://patents.google.com/patent/US7315786B2/en,https://patentimages.storage.googleapis.com/e9/70/25/2e8a890450ea0d/US07315786-20080101-D00004.png
US-8188231-B2,Optimized FC variants ,"Xencor, Inc.","Gregory Alan Lazar, Wei Dang, John R. Desjarlais, Sher Bahadur Karki, Omid Vafa, Robert Hayes, Jost Vielmetter",2002-09-27,2005-05-05,2012-05-29,2012-05-29,https://patents.google.com/patent/US8188231B2/en,https://patentimages.storage.googleapis.com/3c/5a/21/3e5bbdfdca806b/US08188231-20120529-D00001.png
