search URL:,https://patents.google.com/?assignee=XENOGEN+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7383078-B2,Imaging apparatus with heating element ,Xenogen Corporation,"Michael D. Cable, Michael B. Nelson, Christopher A. Rasco",2000-02-25,2004-08-09,2008-06-03,2008-06-03,https://patents.google.com/patent/US7383078B2/en,https://patentimages.storage.googleapis.com/US7383078B2/US07383078-20080603-D00000.png
US-7581191-B2,Graphical user interface for 3-D in-vivo imaging ,Xenogen Corporation,"Bradley W. Rice, Michael D. Cable, Binoy Mirvar, Olivier Coquoz, Chaincy Kuo",1999-11-15,2004-12-06,2009-08-25,2009-08-25,https://patents.google.com/patent/US7581191B2/en,https://patentimages.storage.googleapis.com/26/74/1d/899ef4f21cf9fc/US07581191-20090825-D00006.png
EP-0900376-B1,Biodetectors targeted to specific ligands ,Xenogen,"Pamela R. Contag, David A. Benaron, Christopher H. Contag",1996-04-19,1997-04-21,2007-06-27,2007-06-27,https://patents.google.com/patent/EP0900376B1/en,https://patentimages.storage.googleapis.com/49/c2/b7/734e3ebbb19ebe/imgf0001.png
US-7190991-B2,Multi-mode internal imaging ,Xenogen Corporation,"Michael D. Cable, Bradley W. Rice, David Nilson",2003-07-01,2004-06-29,2007-03-13,2007-03-13,https://patents.google.com/patent/US7190991B2/en,https://patentimages.storage.googleapis.com/US7190991B2/US07190991-20070313-D00000.png
EP-1889470-B1,Structured light imaging apparatus ,Xenogen Corporation,"Bradley W. Rice, Michael D. Cable, David Nilson, Kevin Kearney",2005-05-11,2006-05-09,2015-09-09,2015-09-09,https://patents.google.com/patent/EP1889470B1/en,https://patentimages.storage.googleapis.com/a5/d9/49/7f07878b30384a/imgf0001.png
EP-1521959-B1,Method and apparatus for 3-d imaging of internal light sources ,Xenogen Corporation,"Daniel G. Stearns, Bradley W. Rice, Michael D. Cable",2002-07-16,2003-07-15,2010-09-08,2010-09-08,https://patents.google.com/patent/EP1521959B1/en,https://patentimages.storage.googleapis.com/52/1c/fe/b05205860c3f93/imgf0001.png
US-7765487-B2,Graphical user interface for in-vivo imaging ,Xenogen Corporation,Michael D. Cable,1999-11-15,2007-11-12,2010-07-27,2010-07-27,https://patents.google.com/patent/US7765487B2/en,https://patentimages.storage.googleapis.com/7a/e8/9a/80311ec3a2ebae/US07765487-20100727-D00000.png
EP-1407251-B1,Multi-view imaging apparatus ,Xenogen Corporation,"David Nilson, Michael D. Cable, Bradley W. Rice",2001-07-13,2002-07-12,2012-05-09,2012-05-09,https://patents.google.com/patent/EP1407251B1/en,https://patentimages.storage.googleapis.com/f1/a4/de/c5328872a10d67/imgf0001.png
US-7403812-B2,"Method and apparatus for determining target depth, brightness and size within a body region ",Xenogen Corporation,"Bradley W. Rice, Daniel G. Stearns, Tamara L. Troy",2001-05-17,2002-05-17,2008-07-22,2008-07-22,https://patents.google.com/patent/US7403812B2/en,
US-7503323-B2,Multiple output anesthesia system ,Xenogen Corporation,"Richard G. Dalgetty, Brian R. Bates, Michael B. Nelson",2002-02-20,2002-02-20,2009-03-17,2009-03-17,https://patents.google.com/patent/US7503323B2/en,https://patentimages.storage.googleapis.com/db/2a/77/c166c72b9ca2ce/US07503323-20090317-D00002.png
US-5824468-A,Detection of listeria by means of recombinant bacteriophages ,Merck Patent Gesellschaft Mit Beschrankkter Haftung,"Siegfried Scherer, Martin Loessner",1995-05-18,1996-05-17,1998-10-20,1998-10-20,https://patents.google.com/patent/US5824468A/en,https://patentimages.storage.googleapis.com/bc/ab/aa/3236a253a58a95/US5824468-drawings-page-2.png
US-7599731-B2,Fluorescent light tomography ,Xenogen Corporation,"Bradley W. Rice, Chaincy Kuo, Daniel G. Stearns, Heng Xu",2002-07-16,2007-04-10,2009-10-06,2009-10-06,https://patents.google.com/patent/US7599731B2/en,https://patentimages.storage.googleapis.com/be/68/74/cf20fe4e0eb570/US07599731-20091006-D00001.png
US-7663664-B2,Absolute intensity determination for a fluorescent light source in low level light imaging systems ,Xenogen Corporation,"Bradley Rice, Michael D. Cable",2001-06-20,2006-09-18,2010-02-16,2010-02-16,https://patents.google.com/patent/US7663664B2/en,https://patentimages.storage.googleapis.com/US7663664B2/US07663664-20100216-D00000.png
US-8044996-B2,Surface construction using combined photographic and structured light information ,Xenogen Corporation,"Bradley W. Rice, Heng Xu, Chaincy Kuo",2005-05-11,2006-05-04,2011-10-25,2011-10-25,https://patents.google.com/patent/US8044996B2/en,https://patentimages.storage.googleapis.com/c0/69/37/a0a599d54f6e96/US08044996-20111025-D00000.png
US-6922246-B2,Bottom fluorescence illumination assembly for an imaging apparatus ,Xenogen Corporation,"David Nilson, Brad Rice, Tamara Troy",2002-02-22,2003-02-21,2005-07-26,2005-07-26,https://patents.google.com/patent/US6922246B2/en,https://patentimages.storage.googleapis.com/15/01/c2/726ea5dcc98377/US06922246-20050726-D00000.png
AU-774183-B2,Non-invasive evaluation of physiological response in a mammal ,Xenogen Corporation,"Pamela R. Contag, Ning Zhang",1998-12-17,1999-12-16,2004-06-17,2004-06-17,https://patents.google.com/patent/AU774183B2/en,
EP-1478916-B1,Fluorescence illumination assembly for an imaging apparatus ,Xenogen Corporation,"David Nilson, Brad Rice, Tamara Troy",2002-02-22,2003-02-21,2008-07-09,2008-07-09,https://patents.google.com/patent/EP1478916B1/en,https://patentimages.storage.googleapis.com/43/4e/76/f73b89dde555fc/imgf0001.png
US-6919919-B2,Light calibration device for use in low level light imaging systems ,Xenogen Corporation,"Michael B. Nelson, Bradley Rice, Brian R. Bates, Barton V. Beeman",2002-02-06,2002-02-06,2005-07-19,2005-07-19,https://patents.google.com/patent/US6919919B2/en,https://patentimages.storage.googleapis.com/80/6b/50/cfb9ef54ded473/US06919919-20050719-D00000.png
AU-2001241758-A1,Imaging apparatus with light-tight-box ,Xenogen Corporation,"Michael D. Cable, Rick Dalgetty, Michael B. Nelson, David Nilson, Christopher A. Rasco, Bradley W. Rice, David N. Sprague",2000-02-25,2001-02-23,2001-11-15,,https://patents.google.com/patent/AU2001241758A1/en,
US-9080977-B2,Apparatus and methods for fluorescence guided surgery ,Xenogen Corporation,"Pamela Contag, Bradley W. Rice",2006-10-23,2007-10-23,2015-07-14,2015-07-14,https://patents.google.com/patent/US9080977B2/en,https://patentimages.storage.googleapis.com/4f/df/7e/e8e639c3cf3163/US09080977-20150714-D00000.png
US-2008051665-A1,Spectral unmixing for in-vivo imaging ,Xenogen Corporation,"Heng Xu, Bradley Rice",2006-08-24,2007-08-24,2008-02-28,,https://patents.google.com/patent/US20080051665A1/en,https://patentimages.storage.googleapis.com/ae/66/a4/486d6e0dce36f2/US20080051665A1-20080228-D00000.png
US-7474399-B2,Dual illumination system for an imaging apparatus and method ,Xenogen Corporation,"David Nilson, Brad Rice, Tamara Troy",2002-02-22,2006-05-15,2009-01-06,2009-01-06,https://patents.google.com/patent/US7474399B2/en,https://patentimages.storage.googleapis.com/US7474399B2/US07474399-20090106-D00000.png
US-7555334-B2,Small animal light intensity monitor ,Xenogen Corporation,"Olivier Coquoz, Bradley W. Rice, David G. Nilson, Michael D. Cable",2003-10-20,2004-10-19,2009-06-30,2009-06-30,https://patents.google.com/patent/US7555334B2/en,https://patentimages.storage.googleapis.com/US7555334B2/US07555334-20090630-D00000.png
US-6867348-B1,Methods and compositions for screening for angiogenesis modulating compounds ,Xenogen Corporation,"Ning Zhang, Anthony F. Purchio",1999-12-16,1999-12-16,2005-03-15,2005-03-15,https://patents.google.com/patent/US6867348B1/en,https://patentimages.storage.googleapis.com/70/11/f2/e790c96526f661/US6867348-drawings-page-3.png
US-7629573-B2,Tissue phantom calibration device for low level light imaging systems ,Xenogen Corporation,"Bradley W. Rice, David G. Nilson, Normand P. Nantel, Tamara L. Troy",2002-02-06,2004-11-24,2009-12-08,2009-12-08,https://patents.google.com/patent/US7629573B2/en,https://patentimages.storage.googleapis.com/US7629573B2/US07629573-20091208-D00000.png
EP-1728866-B1,Luciferase expression cassettes and methods of use ,Xenogen Corporation,"Kevin P. Francis, Pamela R. Contag, Danny J. Joh",1999-09-08,2000-09-07,2009-11-11,2009-11-11,https://patents.google.com/patent/EP1728866B1/en,https://patentimages.storage.googleapis.com/18/33/e1/c847e8cfb45123/imgf0001.png
US-6610503-B1,Animal models for predicting sepsis mortality ,Xenogen Corporation,"Carole Bellinger-Kawahara, Pamela R Contag, Alan Hubbard",1999-03-17,2000-03-16,2003-08-26,2003-08-26,https://patents.google.com/patent/US6610503B1/en,https://patentimages.storage.googleapis.com/98/6e/e8/f2da1b19e02958/US06610503-20030826-D00003.png
WO-0118225-A1,Targeting constructs and transgenic animals produced therewith ,Xenogen Corporation,Ning Zhang,1999-09-03,1999-12-16,2001-03-15,,https://patents.google.com/patent/WO2001018225A1/en,
US-7449567-B2,Isolation and identification of mouse and human transcription control elements associated with cytochrome expression ,Xenogen Corporation,"Weisheng Zhang, Pamela Contag, Anthony Purchio, Sandy Hashima, Shirley Ma, Kevin Nawotka",2001-04-12,2002-04-11,2008-11-11,2008-11-11,https://patents.google.com/patent/US7449567B2/en,https://patentimages.storage.googleapis.com/US7449567B2/US07449567-20081111-D00001.png
US-6737245-B1,Luciferase expression cassettes and methods of use ,Xenogen Corporation,"Kevin P. Francis, Pamela R. Contag, Danny J. Joh",1999-09-08,2000-09-07,2004-05-18,2004-05-18,https://patents.google.com/patent/US6737245B1/en,https://patentimages.storage.googleapis.com/38/27/7b/150da369e86821/US06737245-20040518-D00001.png
US-7056728-B2,Compositions and methods for use thereof in modifying the genomes of microorganisms ,Xenogen Corporation,"Kevin P. Francis, Anthony F. Purchio",2000-07-06,2001-06-21,2006-06-06,2006-06-06,https://patents.google.com/patent/US7056728B2/en,
US-2006203243-A1,Illumination system for an imaging apparatus with low profile output device ,Xenogen Corporation,"David Nilson, Brad Rice, Tamara Troy",2002-02-22,2006-05-15,2006-09-14,,https://patents.google.com/patent/US20060203243A1/en,https://patentimages.storage.googleapis.com/60/b2/b1/a5292056862dc6/US20060203243A1-20060914-D00000.png
US-6754008-B1,Imaging lens arrangement designed for low light conditions ,Xenogen Corporation,"Edward P. Wallerstein, David Nilson, Bradley W. Rice, Raymond Fraze",2001-09-17,2001-09-17,2004-06-22,2004-06-22,https://patents.google.com/patent/US6754008B1/en,https://patentimages.storage.googleapis.com/f4/eb/72/afb734e4af81db/US06754008-20040622-D00000.png
US-7090994-B2,Methods of screening for introduction of DNA into a target cell ,Xenogen Corporation,"Kevin P. Francis, Timothy C. Doyle, Kevin A. Nawotka",2001-03-07,2002-03-07,2006-08-15,2006-08-15,https://patents.google.com/patent/US7090994B2/en,https://patentimages.storage.googleapis.com/US7090994B2/US07090994-20060815-D00001.png
US-7649185-B2,Fluorescent phantom device ,Xenogen Corporation,"Bradley W. Rice, David G. Nilson, Tamara L. Troy",2002-02-06,2007-03-06,2010-01-19,2010-01-19,https://patents.google.com/patent/US7649185B2/en,https://patentimages.storage.googleapis.com/US7649185B2/US07649185-20100119-D00000.png
