search URL:,https://patents.google.com/?assignee=XENOPORT+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7560483-B2,Methods for synthesis of prodrugs from 1-acyl-alkyl derivatives and compositions thereof ,"Xenoport, Inc.","Mark A. Gallop, Jia-Ning Xiang, Fenmei Yao, Laxminarayan Bhat, Cindy X. Zhou",2002-02-19,2005-06-21,2009-07-14,2009-07-14,https://patents.google.com/patent/US7560483B2/en,
US-8148414-B2,"Prodrugs of methyl hydrogen fumarate, pharmaceutical compositions thereof, and methods of use ","Xenoport, Inc.","Archana Gangakhedkar, Xuedong Dai, Noa Zerangue, Peter A. Virsik",2008-08-19,2009-08-19,2012-04-03,2012-04-03,https://patents.google.com/patent/US8148414B2/en,
US-7956212-B2,"Levodopa prodrugs, and compositions and uses thereof ","Xenoport, Inc.","Jia-Ning Xiang, Mark A. Gallop, Cindy X. Zhou, Mark Nguyen, Xuedong Dai, Jianhua Li, Kenneth C. Cundy, Nelson L. Jumbe",2004-06-04,2009-02-02,2011-06-07,2011-06-07,https://patents.google.com/patent/US7956212B2/en,
US-9150503-B2,Crystalline form of γ-aminobutyric acid analog ,"Xenoport, Inc.","Tono Estrada, Stephen P. Raillard, Christine Frauenfelder, Uwe Zacher",2003-10-14,2014-03-12,2015-10-06,2015-10-06,https://patents.google.com/patent/US9150503B2/en,https://patentimages.storage.googleapis.com/90/ce/68/fcba83028519fc/US09150503-20151006-D00001.png
US-7101912-B2,"Carbidopa prodrugs and derivatives, and compositions and uses thereof ","Xenoport, Inc.","Jia-Ning Xiang, Mark A. Gallop, Kenneth C. Cundy, Jianhua Li, Feng Xu, Cindy X. Zhou, Laxminarayan Bhat",2002-12-06,2003-12-08,2006-09-05,2006-09-05,https://patents.google.com/patent/US7101912B2/en,
AU-2007203364-B2,"Prodrugs of gaba analogs, compositions and uses thereof ","Xenoport, Inc.","Kenneth C. Cundy, Mark A. Gallop, Ian R. Ollmann, Fayang G. Qiu, Jia-Ning Xiang, Fenmei Yao, Cindy X. Zhou",2001-06-11,2007-07-19,2010-07-29,2010-07-29,https://patents.google.com/patent/AU2007203364B2/en,
US-6972341-B2,"Prodrugs of GABA analogs, compositions and uses thereof ","Xeno Port, Inc.","Mark A. Gallop, Kenneth C. Cundy, Cindy X. Zhou, Fayang G. Qiu, Fenmei Yao, Jia-Ning Xiang, Ian R. Ollman",2001-06-11,2003-06-10,2005-12-06,2005-12-06,https://patents.google.com/patent/US6972341B2/en,
US-8003809-B2,Synthesis of acyloxyalkyl carbamate prodrugs and intermediates thereof ,"Xenoport, Inc.","Mark A. Gallop, Xuedong Dai, Randall A. Scheuerman, Stephen P. Raillard, Suresh K. Manthati, Fenmei Yao, Thu Phan, Maria J. Ludwikow, Ge Peng, Seema Bhat",2003-12-30,2009-02-20,2011-08-23,2011-08-23,https://patents.google.com/patent/US8003809B2/en,
US-7601708-B2,Bile-acid derived compounds for providing sustained systemic concentrations of drugs after oral administration ,"Xenoport, Inc.","Kenneth C. Cundy, Mark A. Gallop, Cindy X. Zhou",2000-10-06,2005-07-19,2009-10-13,2009-10-13,https://patents.google.com/patent/US7601708B2/en,
US-7413536-B1,Substrates and screening methods for transport proteins ,"Xenoport, Inc.","William J. Dower, Mark A. Gallop, Ronald W. Barrett, Kenneth C. Cundy, Tania Chernov-Rogan",1999-09-14,2000-09-14,2008-08-19,2008-08-19,https://patents.google.com/patent/US7413536B1/en,
US-7265096-B2,"Gemcitabine prodrugs, pharmaceutical compositions and uses thereof ","Xenoport, Inc.","Mark A. Gallop, Ge Peng, Thomas F. Woiwode, Kenneth C. Cundy",2002-11-04,2003-11-04,2007-09-04,2007-09-04,https://patents.google.com/patent/US7265096B2/en,
US-7144877-B2,Bile-acid derived compounds for enhancing oral absorption and systemic bioavailability of drugs ,"Xenoport, Inc.","Mark A. Gallop, Kenneth C. Cundy",2000-10-06,2001-10-05,2006-12-05,2006-12-05,https://patents.google.com/patent/US7144877B2/en,
US-6984634-B2,Bile-acid conjugates for providing sustained systemic concentrations of drugs ,"Xenoport, Inc.","Kenneth C. Cundy, Mark A. Gallop",2000-10-06,2001-10-09,2006-01-10,2006-01-10,https://patents.google.com/patent/US6984634B2/en,https://patentimages.storage.googleapis.com/61/50/1b/4e078423daf4ec/US06984634-20060110-D00001.png
US-7662987-B2,Methods for synthesis of acyloxyalkyl compounds ,"Xenoport, Inc.","Laxminarayan Bhat, Mark A. Gallop",2003-07-15,2004-07-15,2010-02-16,2010-02-16,https://patents.google.com/patent/US7662987B2/en,
