search URL:,https://patents.google.com/?assignee=ZAFGEN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8642650-B2,Methods of treating an overweight or obese subject ,"Zafgen, Inc.","Thomas E. Hughes, James E. Vath",2008-12-04,2009-12-04,2014-02-04,2014-02-04,https://patents.google.com/patent/US8642650B2/en,https://patentimages.storage.googleapis.com/c2/a8/8f/68c0f47d3270c0/US08642650-20140204-D00001.png
US-9656979-B2,Methods of treating an overweight or obese subject ,"Zafgen, Inc.",James E. Vath,2008-12-04,2015-02-06,2017-05-23,2017-05-23,https://patents.google.com/patent/US9656979B2/en,https://patentimages.storage.googleapis.com/77/2c/4c/8c18e3669ece11/US09656979-20170523-D00001.png
US-9371312-B2,Crystalline solids of a MetAP-2 inhibitor and methods of making and using same ,"Zafgen, Inc.","Thomas Crawford, Hayley A. Reece",2010-11-09,2014-02-12,2016-06-21,2016-06-21,https://patents.google.com/patent/US9371312B2/en,https://patentimages.storage.googleapis.com/8e/ac/40/5c103214736313/US09371312-20160621-D00000.png
US-2014155348-A1,"Inclusion Compounds of Fumagillol Derivative or its Salt, and Pharmaceutical Compositions Comprising the Same ","Zafgen, Inc.","Jae Hyun Kim, Su Kyung LEE, Won Kyu CHOI, Jong Lae Lim, Soon Kil Ahn, Hee Jong Shin, Chung Il Hong",2002-03-28,2013-06-24,2014-06-05,,https://patents.google.com/patent/US20140155348A1/en,https://patentimages.storage.googleapis.com/3f/3a/09/e2fae87be8dfd6/US20140155348A1-20140605-D00001.png
US-9925166-B2,Methods of treating an overweight or obese subject ,"Zafgen, Inc.",James E. Vath,2008-07-18,2016-04-08,2018-03-27,2018-03-27,https://patents.google.com/patent/US9925166B2/en,https://patentimages.storage.googleapis.com/cf/0f/ac/c41dc6d16408e3/US09925166-20180327-D00001.png
US-2012010290-A1,Methods of Treating an Overweight or Obese Subject ,Vath James E,James E. Vath,2008-12-04,2009-12-04,2012-01-12,,https://patents.google.com/patent/US20120010290A1/en,
EP-2486004-B1,Sulphone compounds for use in the treatment of obesity ,"Zafgen, Inc.","Hazel Joan Dyke, Susan Mary Cramp, Thomas David Pallin, Janusz Jozef Kulagowski, John Gary Montana, Robert Zahler",2009-10-09,2010-10-08,2017-05-03,2017-05-03,https://patents.google.com/patent/EP2486004B1/en,
US-9187494-B2,Aryl-substituted tricyclic sulfonamides as methionyl aminopeptidase 2 modulators ,"Zafgen, Inc.","Susan Mary Cramp, Hazel Joan Dyke, Thomas David Pallin, Robert Zahler",2011-05-06,2012-05-07,2015-11-17,2015-11-17,https://patents.google.com/patent/US9187494B2/en,
US-9242997-B2,Tricyclic pyrazole sulphonamide compunds and methods of making and using same ,"Zafgen, Inc.","Susan Mary Cramp, Hazel Joan Dyke, Thomas David Pallin, Robert Zahler",2011-05-06,2012-05-07,2016-01-26,2016-01-26,https://patents.google.com/patent/US9242997B2/en,
EP-2705030-B1,Partially saturated tricyclic compounds and methods of making and using same ,"Zafgen, Inc.","Susan Mary Cramp, Hazel Joan Dyke, Thomas David Pallin, Robert Zahler",2011-05-06,2012-05-07,2016-07-27,2016-07-27,https://patents.google.com/patent/EP2705030B1/en,
US-9173865-B2,Treatment of obesity using non-daily administration of 6-O-(4-dimethylaminoethoxy) cinnamoyl fumagillol ,"Zafgen, Inc.",Thomas E. Hughes,2010-11-29,2011-11-29,2015-11-03,2015-11-03,https://patents.google.com/patent/US9173865B2/en,https://patentimages.storage.googleapis.com/57/b7/af/8151c35f992939/US09173865-20151103-D00000.png
US-2013052283-A1,Methods of Treating a Subject with Benign Prostate Hyperplasia ,James E. Vath,James E. Vath,2010-01-08,2011-01-07,2013-02-28,,https://patents.google.com/patent/US20130052283A1/en,
US-9221787-B2,Sulphonamine compounds and methods of making and using same ,"Zafgen, Inc.","Robert Zahler, Hazel Joan Dyke, Thomas David Pallin, Susan Mary Cramp",2010-10-12,2011-10-12,2015-12-29,2015-12-29,https://patents.google.com/patent/US9221787B2/en,
US-9266896-B2,Tricyclic compounds and methods of making and using same ,"Zafgen, Inc.","David Clark, Susan Mary Cramp, Hazel Joan Dyke, Thomas David Pallin, Robert Zahler",2010-07-22,2011-07-21,2016-02-23,2016-02-23,https://patents.google.com/patent/US9266896B2/en,
US-2012010259-A1,Methods of Treating an Overweight or Obese Subject ,Vath James E,James E. Vath,2008-12-04,2009-12-04,2012-01-12,,https://patents.google.com/patent/US20120010259A1/en,
EP-2668169-B1,Tetrazole compounds and methods of making and using same ,"Zafgen, Inc.","Hazel Joan Dyke, Thomas David Pallin, Susan Mary Cramp",2011-01-26,2012-01-26,2017-11-15,2017-11-15,https://patents.google.com/patent/EP2668169B1/en,
US-9649293-B2,Methods of treating an overweight subject ,"Zafgen, Inc., Vanderbilt University","Thomas E. Hughes, James E. Vath, Alan D. Cherrington",2010-04-07,2014-12-17,2017-05-16,2017-05-16,https://patents.google.com/patent/US9649293B2/en,https://patentimages.storage.googleapis.com/06/98/ef/258ae5035fb633/US09649293-20170516-D00001.png
US-2016166531-A1,Methods and compositions for treating cardiovascular disorders ,"Zafgen, Inc.",Thomas E. Hughes,2010-01-12,2015-07-15,2016-06-16,,https://patents.google.com/patent/US20160166531A1/en,https://patentimages.storage.googleapis.com/d2/2b/a8/e6addb99b88842/US20160166531A1-20160616-D00001.png
US-9067913-B2,Fumigillol type compounds and methods of making and using same ,"Zafgen, Inc.",James E. Vath,2010-01-08,2014-05-22,2015-06-30,2015-06-30,https://patents.google.com/patent/US9067913B2/en,https://patentimages.storage.googleapis.com/0b/ee/6a/ad4fcedf1f27d6/US09067913-20150630-D00001.png
US-2013316994-A1,Methods of Reducing Risk of Hepatobiliary Dysfunction During Rapid Weight Loss with METAP-2 Inhibitors ,"Zafgen, Inc.",Thomas E. Hughes,2010-11-29,2011-11-29,2013-11-28,,https://patents.google.com/patent/US20130316994A1/en,https://patentimages.storage.googleapis.com/01/ab/65/ee1cc02db1311b/US20130316994A1-20131128-D00001.png
US-2014073691-A1,Methods and composition for Treating Thyroid Hormone Related Disorders ,"Zafgen, Inc.",Thomas E. Hughes,2010-11-10,2011-11-10,2014-03-13,,https://patents.google.com/patent/US20140073691A1/en,https://patentimages.storage.googleapis.com/88/7d/60/7ad36fd70d7817/US20140073691A1-20140313-D00001.png
US-2014011870-A1,Methods of Treating Obesity Using an Effective Dose of a METAP-2 Inhibitor ,"Zafgen, Inc.",Thomas E. Hughes,2010-11-29,2011-11-29,2014-01-09,,https://patents.google.com/patent/US20140011870A1/en,https://patentimages.storage.googleapis.com/a7/4f/79/f0979071fe2c9c/US20140011870A1-20140109-D00001.png
US-2013210821-A1,Methods for Treating Obesity ,James E. Vath,James E. Vath,2010-05-27,2011-05-27,2013-08-15,,https://patents.google.com/patent/US20130210821A1/en,
EP-2804856-B1,Tricyclic sulfone compounds and methods of making and using same ,"Zafgen, Inc.","Thomas David Pallin, Hazel Joan Dyke, Susan Mary Cramp, Robert Zahler",2012-01-18,2013-01-17,2017-03-15,2017-03-15,https://patents.google.com/patent/EP2804856B1/en,
EP-2804866-B1,Tricyclic sulfonamide compounds and methods of making and using same ,"Zafgen, Inc.","Thomas David Pallin, Hazel Joan Dyke, Susan Mary Cramp, Robert Zahler",2012-01-18,2013-01-17,2016-11-16,2016-11-16,https://patents.google.com/patent/EP2804866B1/en,
