search URL:,https://patents.google.com/?assignee=ZOGENIX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2167586-C,Needle-less injector ,"Terence Edward Weston, Weston Medical Limited, Aradigm Corporation, Sj2 Therapeutics, Inc., Zogenix, Inc.",Terence Edward Weston,1993-07-31,1994-07-27,2005-01-25,2005-01-25,https://patents.google.com/patent/CA2167586C/en,
US-6135979-A,Spring-powered dispensing device for medical purposes ,Weston Medical Limited,Terence Edward Weston,1996-04-11,1998-10-09,2000-10-24,2000-10-24,https://patents.google.com/patent/US6135979A/en,https://patentimages.storage.googleapis.com/92/4c/40/cfa3a1afaef38d/US6135979-drawings-page-2.png
US-6174304-B1,Filling device for a needless injector cartridge ,Weston Medical Limited,Terence Edward Weston,1994-12-20,1995-12-13,2001-01-16,2001-01-16,https://patents.google.com/patent/US6174304B1/en,https://patentimages.storage.googleapis.com/ee/a3/a3/6826416dfc82ca/US6174304-drawings-page-2.png
US-5480381-A,Needle-less injector ,Weston Medical Limited,Terence E. Weston,1991-08-23,1992-08-21,1996-01-02,1996-01-02,https://patents.google.com/patent/US5480381A/en,https://patentimages.storage.googleapis.com/8a/d1/65/67c6071fdcb1e0/US5480381-drawings-page-3.png
US-5957886-A,Spring-Powered dispensing device ,Weston Medical Limited,Terence Edward Weston,1995-03-10,1996-03-08,1999-09-28,1999-09-28,https://patents.google.com/patent/US5957886A/en,https://patentimages.storage.googleapis.com/e5/cf/c6/250b925932ca60/US5957886-drawings-page-2.png
US-6681810-B2,Filling device for a needleless injector cartridge ,Aradigm Corporation,Terence Edward Weston,1994-12-20,2000-12-13,2004-01-27,2004-01-27,https://patents.google.com/patent/US6681810B2/en,https://patentimages.storage.googleapis.com/69/f9/6f/eee79ee9433f7b/US06681810-20040127-D00000.png
US-6620135-B1,Needleless injectors ,Weston Medical Limited,"Terence Edward Weston, Graham Roger Gibbins, Matthew Simon Nussey",1998-08-19,1999-08-05,2003-09-16,2003-09-16,https://patents.google.com/patent/US6620135B1/en,https://patentimages.storage.googleapis.com/9d/0c/ee/e8f7bb8e39eb79/US6620135-drawings-page-2.png
DE-60315429-T2,casing ,"Zogenix Inc., Emeryville","Gregor John Ware ANDERSON, John Indes Design Consultants MITCHELL",2002-03-20,2003-03-18,2008-06-26,2008-06-26,https://patents.google.com/patent/DE60315429T2/en,
US-6280410-B1,Method of filling a drug capsule and article produced thereby ,"Weston Medical Limited, Medeva Europe Limited","Terence Edward Weston, John Nicholas Walker",1996-04-02,1998-10-02,2001-08-28,2001-08-28,https://patents.google.com/patent/US6280410B1/en,https://patentimages.storage.googleapis.com/93/10/b5/1cc93d479af8c4/US6280410-drawings-page-2.png
EP-2829265-B1,Novel formulations for treatment of migraine ,"Zogenix, Inc.","Stephen J. Farr, John Turanin, Roger Hawley, Jeffrey A. Schuster",2008-04-28,2009-04-24,2016-08-24,2016-08-24,https://patents.google.com/patent/EP2829265B1/en,https://patentimages.storage.googleapis.com/eb/0c/d7/8321266fdea4e1/imgf0001.png
US-6673038-B2,Needleless injector cartridge ,Aradigm Corporation,Terence Edward Weston,1998-09-15,2001-02-26,2004-01-06,2004-01-06,https://patents.google.com/patent/US6673038B2/en,https://patentimages.storage.googleapis.com/5b/b5/f1/856a409593a09b/US06673038-20040106-D00000.png
US-6251091-B1,Needleless injector drug capsule and filling method ,Weston Medical Limited,Terence Edward Weston,1995-12-16,1996-12-09,2001-06-26,2001-06-26,https://patents.google.com/patent/US6251091B1/en,https://patentimages.storage.googleapis.com/15/3f/8b/60d6d37ca806ed/US6251091-drawings-page-2.png
US-6415631-B1,Method and apparatus for making an article from a formable material ,Weston Medical Limited,"Terence Edward Weston, Christopher John Briggs",1996-09-25,2000-11-01,2002-07-09,2002-07-09,https://patents.google.com/patent/US6415631B1/en,https://patentimages.storage.googleapis.com/ea/b6/ce/0f69203e2429be/US06415631-20020709-D00000.png
US-6409032-B1,Assembly of container and break-off closure and method of producing it ,"Plastic Moulding Appliances Bv, Weston Medical Limited","Henricus Antonius Maria Bekkers, Terence Edward Weston",1996-09-18,1999-03-17,2002-06-25,2002-06-25,https://patents.google.com/patent/US6409032B1/en,https://patentimages.storage.googleapis.com/7c/e2/01/c1296ed652a70c/US6409032-drawings-page-2.png
US-8241244-B2,Needleless injector drug capsule and a method for filling thereof ,"Zogenix, Inc.","William Henry, Andrew Lewis",2001-11-21,2011-05-18,2012-08-14,2012-08-14,https://patents.google.com/patent/US8241244B2/en,https://patentimages.storage.googleapis.com/67/6d/61/783b761456d596/US08241244-20120814-D00000.png
US-2005154346-A1,Needleless injector with shock absorbing means between ram and piston ,Terry Green,Terry Green,2001-10-24,2002-10-18,2005-07-14,,https://patents.google.com/patent/US20050154346A1/en,https://patentimages.storage.googleapis.com/b5/bf/bf/96bd1cf70f091e/US20050154346A1-20050714-D00000.png
US-7351220-B2,Portable device for delivering medicaments and the like ,Team Holdings (Uk) Limited,"States Gwinyai Chiwanga, Terence George Fielder, Andrew Robert Fry",2000-05-20,2001-05-21,2008-04-01,2008-04-01,https://patents.google.com/patent/US7351220B2/en,https://patentimages.storage.googleapis.com/US7351220B2/US07351220-20080401-D00000.png
EP-3058972-A1,Delivery of viscous formulations by needle-free injection ,"Zogenix, Inc.","Brooks Boyd, Sujata Mudumba, Stephen Farr",2005-11-17,2006-11-16,2016-08-24,,https://patents.google.com/patent/EP3058972A1/en,https://patentimages.storage.googleapis.com/3c/bc/b4/5b5d82c558851f/imgf0001.png
