search URL:,https://patents.google.com/?assignee=ZS+PHARMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
ES-2709004-T3,Use of a zirconium silicate for the treatment of hyperkalemia ,Zs Pharma Inc,"Donald Jeffrey Keyser, Alvaro F Guillem",2011-02-11,2012-02-10,2019-04-12,2019-04-12,https://patents.google.com/patent/ES2709004T3/en,
US-8877255-B2,Microporous zirconium silicate for the treatment of hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2012-10-22,2013-10-22,2014-11-04,2014-11-04,https://patents.google.com/patent/US8877255B2/en,https://patentimages.storage.googleapis.com/29/36/9d/94d47e099ec329/US08877255-20141104-D00000.png
US-9707255-B2,Microporous zirconium silicate for the treatment of hyperkalemia in hypercalcemic patients and improved calcium-containing compositions for the treatment of hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2012-07-11,2013-07-11,2017-07-18,2017-07-18,https://patents.google.com/patent/US9707255B2/en,https://patentimages.storage.googleapis.com/03/41/28/809e8571251735/US09707255-20170718-D00000.png
US-2015374748-A1,Microporous Zirconium Silicate for the Treatment of Hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2013-11-08,2015-06-26,2015-12-31,,https://patents.google.com/patent/US20150374748A1/en,https://patentimages.storage.googleapis.com/ed/d6/06/feb5dec8f71584/US20150374748A1-20151231-D00001.png
US-10300087-B2,Extended use zirconium silicate compositions and methods of use thereof ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2015-10-14,2017-01-31,2019-05-28,2019-05-28,https://patents.google.com/patent/US10300087B2/en,https://patentimages.storage.googleapis.com/ba/34/4e/cae82e041052f3/US10300087-20190528-D00000.png
AU-2014248081-B2,Microporous zirconium silicate and diuretics for the reduction of potassium and treatment of chronic kidney and/or chronic heart disease ,"ZS Pharma, Inc.","Alvaro F. Guillem, Donald Jeffrey Keyser",2013-04-05,2014-04-03,2019-02-28,2019-02-28,https://patents.google.com/patent/AU2014248081B2/en,
AU-2016253652-B2,Production of improved microporous zirconium silicate ,"ZS Pharma, Inc.","Alvaro F. Guillem, Donald Jeffrey Keyser",2012-06-11,2016-11-04,2018-03-15,2018-03-15,https://patents.google.com/patent/AU2016253652B2/en,
US-2015313938-A1,Microporous zirconium silicate for the treatment of hyperkalemia without co-administration of lithium ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2013-12-10,2014-12-10,2015-11-05,,https://patents.google.com/patent/US20150313938A1/en,https://patentimages.storage.googleapis.com/8b/1f/59/c879dc220c420f/US20150313938A1-20151105-D00001.png
US-2016038538-A1,Microporous zirconium silicate for the treatment of hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2013-11-08,2015-10-26,2016-02-11,,https://patents.google.com/patent/US20160038538A1/en,https://patentimages.storage.googleapis.com/30/e4/82/4b0d8c5f070948/US20160038538A1-20160211-D00001.png
US-2016375054-A1,Microporous Zirconium Silicate for the Treatment of Hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2013-11-08,2014-11-07,2016-12-29,,https://patents.google.com/patent/US20160375054A1/en,https://patentimages.storage.googleapis.com/b0/eb/60/23b803e9f6fff2/US20160375054A1-20161229-D00001.png
US-2018214479-A1,Microporous zirconium silicate for the treatment of hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2012-10-22,2018-01-23,2018-08-02,,https://patents.google.com/patent/US20180214479A1/en,https://patentimages.storage.googleapis.com/39/c1/1a/123f0a116069d7/US20180214479A1-20180802-D00001.png
US-2015359821-A1,Microporous Zirconium Silicate for the Treatment of Hyperkalemia ,"ZS Pharma, Inc.","Donald Jeffrey Keyser, Alvaro F. GUILLEM",2012-10-22,2015-08-13,2015-12-17,,https://patents.google.com/patent/US20150359821A1/en,https://patentimages.storage.googleapis.com/b8/53/b5/e2d7331c61c1a1/US20150359821A1-20151217-D00000.png
AR-095783-A1,Zirconium silicate microporous diuretics to reduce the potassium level and treatment of chronic kidney disease and / or chronic heart ,Zs Pharma Inc,"Guillem Alvaro, Keyser Donald",2013-04-05,2014-04-04,2015-11-11,,https://patents.google.com/patent/AR095783A1/en,
AR-098367-A1,Silicate compound microporous zirconium for treating hyperkalemia ,Zs Pharma Inc,"F Guillem Alvaro, Jeffrey Keyser Donald",2013-11-08,2014-11-10,2016-05-26,,https://patents.google.com/patent/AR098367A1/en,
AR-095600-A1,Zirconium silicate microporous for treating hyperkalemia ,Zs Pharma Inc,"Jeffrey Keyser Donald, F Guillem Alvaro",2013-03-15,2014-03-17,2015-10-28,,https://patents.google.com/patent/AR095600A1/en,
