search URL:,https://patents.google.com/?assignee=ZYNERBA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9533942-B2,Use of cannabidiol prodrugs in topical and transdermal administration with microneedles ,"Zynerba Pharmaceuticals, Inc.","Audra Lynn Stinchcomb, Stan Lee Banks, Miroslaw Jerzy Golinski, Jeffery Lynn Howard, Dana Carmel Hammell",2009-08-31,2014-11-12,2017-01-03,2017-01-03,https://patents.google.com/patent/US9533942B2/en,https://patentimages.storage.googleapis.com/a4/7f/48/760448fe5a18ff/US09533942-20170103-D00000.png
CA-2760460-C,Transdermal formulations of cannabidiol comprising a penetration enhancer and methods of using the same ,"Alltranz Inc., Audra Lynn Stinchcomb, Stan Lee Banks, Zynerba Pharmaceuticals, Inc.","Audra Lynn Stinchcomb, Stan Lee Banks",2009-04-28,2010-04-28,2019-04-02,2019-04-02,https://patents.google.com/patent/CA2760460C/en,
US-8481560-B2,Abuse deterrent transdermal formulations of opiate agonists and agonist-antagonists ,Alltranz Inc.,"Audra Lynn Stinchcomb, Guohua Li, Stan Lee Banks, Jeffery Lynn Howard, Miroslaw Jerzy Golinski",2010-04-02,2011-04-04,2013-07-09,2013-07-09,https://patents.google.com/patent/US8481560B2/en,https://patentimages.storage.googleapis.com/d1/22/6b/30af7e997501c3/US08481560-20130709-D00001.png
CA-2694325-C,"Prodrugs of cannabidiol, compositions comprising prodrugs of cannabidiol and methods of using the same ","Alltranz Inc., Audra Lynn Stinchcomb, Miroslaw Jerzy Golinski, Jeffery Lynn Howard, Dana Carmel Hammell, Stan Lee Banks, Zynerba Pharmaceuticals, Inc.","Audra Lynn Stinchcomb, Miroslaw Jerzy Golinski, Jeffery Lynn Howard, Dana Carmel Hammell, Stan Lee Banks",2007-07-30,2008-07-30,2015-09-22,2015-09-22,https://patents.google.com/patent/CA2694325C/en,
US-2002111377-A1,Transdermal delivery of cannabinoids ,Albany College Of Pharmacy,Audra Stinchcomb,2000-12-22,2001-12-21,2002-08-15,,https://patents.google.com/patent/US20020111377A1/en,https://patentimages.storage.googleapis.com/02/d9/bd/a62e50d85d33dc/US20020111377A1-20020815-D00001.png
US-2008008745-A1,"Transdermal delivery of naltrexone hydrochloride, naltrexol hydrochloride, and bis(hydroxy-methyl)propionyl-3-0 ester naltrexone using microneedles ",University Of Kentucky Research Foundation,"Audra Stinchcomb, Stan Banks, Raghotham Pinninti",2006-06-21,2007-06-15,2008-01-10,,https://patents.google.com/patent/US20080008745A1/en,https://patentimages.storage.googleapis.com/77/b5/2d/34f463877d1932/US20080008745A1-20080110-D00000.png
US-2009246265-A1,Abuse deterrent transdermal formulations of opiate agonists and agonist-antagonists ,Alltranz Inc.,"Audra Lynn Stinchcomb, Stan Lee Banks",2008-03-26,2009-03-26,2009-10-01,,https://patents.google.com/patent/US20090246265A1/en,
US-8435556-B2,Transdermal delivery of cannabidiol ,"Alltranz, Llc","Audra L. Stinchcomb, Buchi N. Nalluri",2000-12-22,2009-07-29,2013-05-07,2013-05-07,https://patents.google.com/patent/US8435556B2/en,https://patentimages.storage.googleapis.com/bc/8b/45/cbaba4d571ab4e/US08435556-20130507-D00000.png
US-7511054-B2,"Transdermally deliverable opioid prodrugs, abuse-resistant compositions and methods of using opioid prodrugs ",Alltranz Inc.,"Audra Lynn Stinchcomb, Miroslaw Jerzy Golinski, Dana Carmel Hammell, Jeffrey Lynn Howard",2006-09-22,2007-09-24,2009-03-31,2009-03-31,https://patents.google.com/patent/US7511054B2/en,
US-2012202891-A1,Cannabinoid-Containing Compositions and Methods for Their Use ,University Of Kentucky Research Foundation,"Audra L. Stinchcomb, Stan Lee Banks",2009-04-29,2009-04-29,2012-08-09,,https://patents.google.com/patent/US20120202891A1/en,https://patentimages.storage.googleapis.com/a6/24/ee/e6dfa93ddf55c5/US20120202891A1-20120809-D00001.png
